Score From 04/04/19,,Team Hitting Stats from 03/28/19-04/03/19,,,,,,Ill take care of this,,,,,,,Team Bullpen Stats From 03/28/19-04/03/19,,,,,,,Defense,Ill take care of these,,,,,,
Runs,Team,BB%,K%,ISO,BABIP,wOBA,wRAA,Expected IP,WHIP,BABIP,LOB,FIP-,xFIP-,SIERA,Expected IP,WHIP,BABIP,LOB%,FIP-,xFIP-,SIERA,DEF,Temp,Wind,In,Out,Across,Dome,Rain
2,OAK,0.092,0.177,.162,.244,.302,-3.9,,,,,,,,,0.78,.267,0.755,40,52,2.25,0.2
2,PIT,0.131,0.155,.113,.281,.312,-1.1,,,,,,,,,1.58,.322,0.769,93,125,5.76,0.2
0,MIA,0.054,0.226,.113,.340,.305,-2.9,,,,,,,,,1.57,.288,0.82,160,113,4.72,1.5
2,TOR,0.095,0.238,.154,.252,.287,-7.1,,,,,,,,,1.50,.333,0.733,99,110,4.35,0.4
0,CIN,0.091,0.269,.063,.218,.209,-16.8,,,,,,,,,1.50,.300,0.69,101,117,4.32,0.1
""
Score From 04/06/19,,Team Hitting Stats from 03/30/19-04/05/19,,,,,,Ill take care of this,,,,,,,Team Bullpen Stats From 03/30/19-04/05/19,,,,,,,Defense,Ill take care of these,,,,,,
Runs,Team,BB%,K%,ISO,BABIP,wOBA,wRAA,Expected IP,WHIP,BABIP,LOB,FIP-,xFIP-,SIERA,Expected IP,WHIP,BABIP,LOB%,FIP-,xFIP-,SIERA,DEF,Temp,Wind,In,Out,Across,Dome,Rain
14,CHC,0.101,0.215,.166,.359,.361,8.7,,,,,,,,,0.83,.204,0.743,82,75,3.31,2.9
9,SEA,0.114,0.223,.220,.314,.358,6.3,,,,,,,,,1.47,.295,0.44,95,115,4.72,-2.4
6,SD,0.09,0.217,.151,.274,.292,-5.4,,,,,,,,,1.38,.170,0.755,137,148,6.03,1.8
6,NYM,0.077,0.268,.112,.370,.308,-2.6,,,,,,,,,2.13,.448,0.478,94,139,4.75,0.9
5,LAA,0.063,0.192,.120,.203,.233,-15.6,,,,,,,,,1.32,.284,0.793,89,100,4.62,-0.7
6,NYY,0.113,0.278,.150,.302,.310,-2.0,,,,,,,,,1.83,.345,0.787,155,121,5.02,-2.3
6,HOU,0.089,0.192,.104,.284,.286,-6.3,,,,,,,,,1.03,.327,0.739,32,71,2.95,0.1
7,LAD,0.116,0.166,.246,.316,.386,13.8,,,,,,,,,1.79,.333,0.804,97,141,5.85,-0.1
8,MIL,0.142,0.24,.207,.318,.351,6.4,,,,,,,,,2.27,.409,0.565,142,102,5.19,0.9
7,DET,0.114,0.285,.081,.269,.249,-14.0,,,,,,,,,2.08,.382,0.692,115,146,6.03,1.0
6,PIT,0.111,0.172,.106,.274,.291,-4.9,,,,,,,,,1.57,.323,0.752,89,123,5.64,0.3
4,STL,0.082,0.297,.189,.229,.276,-7.4,,,,,,,,,1.22,.299,0.693,89,82,3.51,0.9
6,MIN,0.085,0.234,.165,.375,.349,5.0,,,,,,,,,1.18,.286,0.802,73,83,3.60,2.0
4,MIA,0.059,0.231,.103,.353,.305,-2.8,,,,,,,,,1.57,.286,0.839,152,114,4.76,2.1
7,CLE,0.11,0.295,.098,.250,.244,-13.9,,,,,,,,,1.15,.258,0.764,82,103,3.96,-0.9
2,TOR,0.096,0.247,.164,.225,.276,-9.6,,,,,,,,,1.36,.319,0.754,88,102,3.98,0.4
6,SF,0.042,0.238,.126,.271,.265,-10.2,,,,,,,,,0.83,.217,0.874,66,96,3.88,-0.2
5,WAS,0.083,0.285,.206,.330,.336,2.7,,,,,,,,,1.84,.410,0.648,89,127,4.51,0.7
5,ARI,0.07,0.189,.307,.354,.412,19.5,,,,,,,,,1.38,.309,0.786,103,103,3.86,-0.2
2,CWS,0.101,0.236,.182,.320,.336,2.8,,,,,,,,,1.29,.135,0.617,135,135,6.12,-3.3
4,KC,0.063,0.196,.151,.293,.299,-3.5,,,,,,,,,0.78,.214,0.916,79,97,3.48,-2.0
4,BAL,0.08,0.277,.153,.313,.302,-3.4,,,,,,,,,1.16,.241,0.744,75,82,3.90,-1.5
2,PHI,0.163,0.212,.219,.350,.380,10.8,,,,,,,,,1.54,.313,0.758,86,120,5.09,-0.7
2,ATL,0.141,0.205,.184,.324,.357,7.5,,,,,,,,,1.22,.306,0.754,85,94,3.53,0.0
4,TB,0.084,0.273,.132,.319,.293,-5.2,,,,,,,,,1.27,.328,0.731,54,95,4.06,3.1
4,BOS,0.089,0.199,.135,.292,.299,-5.0,,,,,,,,,2.24,.397,0.549,178,124,5.11,3.3
5,CIN,0.083,0.278,.065,.211,.201,-21.1,,,,,,,,,1.33,.273,0.69,93,107,4.12,0.2
2,COL,0.057,0.319,.088,.258,.225,-17.2,,,,,,,,,1.43,.302,0.648,139,114,4.46,2.0
0,OAK,0.088,0.185,.148,.250,.295,-5.5,,,,,,,,,0.86,.306,0.714,38,49,2.24,0.1
1,TEX,0.125,0.274,.208,.326,.350,6.7,,,,,,,,,1.19,.254,0.873,81,98,4.21,0.6
""
Score From 04/07/19,,Team Hitting Stats from 03/31/19-04/06/19,,,,,,Ill take care of this,,,,,,,Team Bullpen Stats From 03/31/19-04/06/19,,,,,,,Defense,Ill take care of these,,,,,,
Runs,Team,BB%,K%,ISO,BABIP,wOBA,wRAA,Expected IP,WHIP,BABIP,LOB,FIP-,xFIP-,SIERA,Expected IP,WHIP,BABIP,LOB%,FIP-,xFIP-,SIERA,DEF,Temp,Wind,In,Out,Across,Dome,Rain
15,NYY,0.101,0.272,.185,.295,.321,0.3,,,,,,,,,1.71,.321,0.756,163,125,5.05,-2.3
12,LAD,0.109,0.197,.223,.301,.350,6.0,,,,,,,,,1.58,.302,0.777,85,125,5.13,0.0
9,HOU,0.084,0.178,.150,.287,.310,-1.9,,,,,,,,,1.03,.302,0.833,49,74,3.15,0.2
7,PIT,0.104,0.175,.120,.293,.304,-3.2,,,,,,,,,1.54,.333,0.71,81,117,5.34,0.3
8,OAK,0.096,0.187,.138,.249,.288,-6.8,,,,,,,,,0.84,.257,0.794,49,65,2.78,0.2
9,NYM,0.068,0.277,.167,.345,.321,0.2,,,,,,,,,2.02,.440,0.604,115,140,4.82,1.2
12,SEA,0.12,0.22,.256,.328,.385,11.3,,,,,,,,,1.73,.357,0.654,123,114,4.28,-2.2
7,LAA,0.075,0.189,.151,.221,.270,-9.1,,,,,,,,,1.34,.304,0.828,87,96,4.36,-0.7
12,WAS,0.1,0.289,.211,.320,.338,2.9,,,,,,,,,1.85,.406,0.679,114,122,4.52,0.5
6,COL,0.076,0.281,.099,.227,.230,-16.3,,,,,,,,,1.41,.304,0.68,122,118,4.62,1.8
3,TB,0.086,0.232,.120,.303,.292,-5.6,,,,,,,,,1.25,.284,0.692,73,119,5.10,2.7
4,MIL,0.131,0.229,.215,.321,.356,7.4,,,,,,,,,2.24,.349,0.492,175,119,5.76,1.3
4,STL,0.104,0.282,.205,.234,.298,-3.9,,,,,,,,,1.23,.296,0.704,94,82,3.47,1.5
4,ATL,0.156,0.194,.144,.306,.338,3.6,,,,,,,,,1.24,.264,0.78,98,110,4.09,-0.3
5,CWS,0.095,0.236,.181,.317,.333,2.2,,,,,,,,,1.24,.121,0.79,136,149,6.35,-3.5
2,TEX,0.087,0.277,.187,.306,.317,-0.7,,,,,,,,,1.14,.271,0.862,74,90,3.51,0.4
3,DET,0.121,0.237,.110,.276,.278,-8.3,,,,,,,,,2.44,.400,0.673,142,168,7.02,0.8
2,PHI,0.154,0.197,.171,.331,.352,5.8,,,,,,,,,1.52,.299,0.792,90,122,5.32,-0.4
5,CIN,0.07,0.272,.089,.213,.210,-23.1,,,,,,,,,1.14,.240,0.702,90,93,3.63,0.3
3,MIA,0.069,0.255,.132,.309,.295,-4.6,,,,,,,,,1.69,.302,0.867,154,120,5.21,1.9
1,SD,0.13,0.203,.196,.264,.327,1.4,,,,,,,,,1.59,.196,0.725,182,152,6.08,2.0
3,CLE,0.121,0.288,.097,.285,.264,-10.4,,,,,,,,,1.24,.250,0.701,88,110,4.38,-1.1
1,MIN,0.091,0.183,.193,.360,.375,10.0,,,,,,,,,1.28,.298,0.755,85,105,4.08,2.0
2,CHC,0.106,0.232,.198,.368,.378,12.7,,,,,,,,,1.34,.250,0.615,116,96,4.33,2.8
1,KC,0.049,0.222,.185,.252,.281,-6.2,,,,,,,,,0.81,.191,0.917,106,88,3.24,-2.1
0,SF,0.048,0.219,.128,.255,.260,-10.8,,,,,,,,,1.04,.250,0.725,82,103,4.34,0.0
1,BOS,0.101,0.187,.139,.280,.300,-4.7,,,,,,,,,1.58,.293,0.63,129,100,4.60,3.0
3,BAL,0.087,0.271,.168,.299,.309,-2.2,,,,,,,,,1.05,.197,0.794,83,91,4.13,-1.1
