DATE,SEA,SF,OAK,LAD,LAA,SD,ARI,COL,TEX,HOU,KC,STL,MIN,MIL,CHC,CWS,DET,CLE,CIN,PIT,TOR,BOS,NYY,NYM,PHI,BAL,WAS,ATL,TB,MIA
4/28/2019,TEX,NYY,TOR,PIT,KC,WAS,CHC,ATL,SEA,CLE,LAA,CIN,BAL,NYM,ARI,DET,CWS,HOU,STL,LAD,OAK,TB,SF,MIL,MIA,MIN,SD,COL,BOS,PHI
4/29/2019,,LAD,BOS,SF,,ATL,,MIL,,MIN,TB,WAS,HOU,COL,,BAL,,,NYM,,,OAK,,CIN,,CWS,STL,SD,KC,
4/30/2019,CHC,LAD,BOS,SF,TOR,ATL,NYY,MIL,PIT,MIN,TB,WAS,HOU,COL,SEA,BAL,PHI,MIA,NYM,TEX,LAA,OAK,ARI,CIN,DET,CWS,STL,SD,KC,CLE
5/1/2019,CHC,LAD,BOS,SF,TOR,ATL,NYY,MIL,PIT,MIN,TB,WAS,HOU,COL,SEA,BAL,PHI,MIA,NYM,TEX,LAA,OAK,ARI,CIN,DET,CWS,STL,SD,KC,CLE
5/2/2019,,,,,TOR,ATL,,MIL,,MIN,TB,WAS,HOU,COL,,BOS,,,NYM,,LAA,CWS,,CIN,,,STL,SD,KC,
5/3/2019,CLE,CIN,PIT,SD,,LAD,COL,ARI,TOR,,DET,CHC,NYY,NYM,STL,BOS,KC,SEA,SF,OAK,TEX,CWS,MIN,MIL,WAS,TB,PHI,MIA,BAL,ATL
5/4/2019,CLE,CIN,PIT,SD,HOU,LAD,COL,ARI,TOR,LAA,DET,CHC,NYY,NYM,STL,BOS,KC,SEA,SF,OAK,TEX,CWS,MIN,MIL,WAS,TB,PHI,MIA,BAL,ATL
5/5/2019,CLE,CIN,PIT,SD,HOU,LAD,COL,ARI,TOR,LAA,DET,CHC,NYY,NYM,STL,BOS,KC,SEA,SF,OAK,TEX,CWS,MIN,MIL,WAS,TB,PHI,MIA,BAL,ATL
5/6/2019,NYY,CIN,,ATL,,NYM,TB,,,KC,HOU,PHI,TOR,WAS,MIA,CLE,,CWS,SF,,MIN,BAL,SEA,SD,STL,BOS,MIL,LAD,ARI,CHC
5/7/2019,NYY,COL,CIN,ATL,DET,NYM,TB,SF,PIT,KC,HOU,PHI,TOR,WAS,MIA,CLE,LAA,CWS,OAK,TEX,MIN,BAL,SEA,SD,STL,BOS,MIL,LAD,ARI,CHC
5/8/2019,NYY,COL,CIN,ATL,DET,NYM,TB,SF,PIT,KC,HOU,PHI,TOR,WAS,MIA,CLE,LAA,CWS,OAK,TEX,MIN,BAL,SEA,SD,STL,BOS,MIL,LAD,ARI,CHC
5/9/2019,NYY,COL,CIN,WAS,DET,,ATL,SF,HOU,TEX,,PIT,,,MIA,CLE,LAA,CWS,OAK,STL,,,SEA,,,,LAD,ARI,,CHC
5/10/2019,BOS,CIN,CLE,WAS,BAL,COL,ATL,SD,HOU,TEX,PHI,PIT,DET,CHC,MIL,TOR,MIN,OAK,SF,STL,CWS,SEA,TB,MIA,KC,LAA,LAD,ARI,NYY,NYM
5/11/2019,BOS,CIN,CLE,WAS,BAL,COL,ATL,SD,HOU,TEX,PHI,PIT,DET,CHC,MIL,TOR,MIN,OAK,SF,STL,CWS,SEA,TB,MIA,KC,LAA,LAD,ARI,NYY,NYM
5/12/2019,BOS,CIN,CLE,WAS,BAL,COL,ATL,SD,HOU,TEX,PHI,PIT,DET,CHC,MIL,TOR,MIN,OAK,SF,STL,CWS,SEA,TB,MIA,KC,LAA,LAD,ARI,NYY,NYM
5/13/2019,OAK,,SEA,,MIN,,PIT,,,DET,,,LAA,PHI,,CLE,HOU,CWS,,ARI,,,BAL,,MIL,NYY,,,,
5/14/2019,OAK,TOR,SEA,SD,MIN,LAD,PIT,BOS,KC,DET,TEX,ATL,LAA,PHI,CIN,CLE,HOU,CWS,CHC,ARI,SF,COL,BAL,WAS,MIL,NYY,NYM,STL,MIA,TB
5/15/2019,,TOR,,SD,MIN,LAD,PIT,BOS,KC,DET,TEX,ATL,LAA,PHI,CIN,,HOU,,CHC,ARI,SF,COL,BAL,WAS,MIL,NYY,NYM,STL,MIA,TB
5/16/2019,MIN,,DET,,,PIT,,,KC,,TEX,ATL,SEA,PHI,CIN,TOR,OAK,BAL,CHC,SD,CWS,,,WAS,MIL,CLE,NYM,STL,,
5/17/2019,MIN,ARI,DET,CIN,KC,PIT,SF,PHI,STL,BOS,LAA,TEX,SEA,ATL,WAS,TOR,OAK,BAL,LAD,SD,CWS,HOU,TB,MIA,COL,CLE,CHC,MIL,NYY,NYM
5/18/2019,MIN,ARI,DET,CIN,KC,PIT,SF,PHI,STL,BOS,LAA,TEX,SEA,ATL,WAS,TOR,OAK,BAL,LAD,SD,CWS,HOU,TB,MIA,COL,CLE,CHC,MIL,NYY,NYM
5/19/2019,MIN,ARI,DET,CIN,KC,PIT,SF,PHI,STL,BOS,LAA,TEX,SEA,ATL,WAS,TOR,OAK,BAL,LAD,SD,CWS,HOU,TB,MIA,COL,CLE,CHC,MIL,NYY,NYM
5/20/2019,TEX,ATL,CLE,,MIN,ARI,SD,,SEA,CWS,,,LAA,,PHI,HOU,,OAK,,,BOS,TOR,BAL,WAS,CHC,NYY,NYM,SF,,
5/21/2019,TEX,ATL,CLE,TB,MIN,ARI,SD,PIT,SEA,CWS,STL,KC,LAA,CIN,PHI,HOU,MIA,OAK,MIL,COL,BOS,TOR,BAL,WAS,CHC,NYY,NYM,SF,LAD,DET
5/22/2019,TEX,ATL,CLE,TB,MIN,ARI,SD,PIT,SEA,CWS,STL,KC,LAA,CIN,PHI,HOU,MIA,OAK,MIL,COL,BOS,TOR,BAL,WAS,CHC,NYY,NYM,SF,LAD,DET
5/23/2019,,ATL,,,,,,PIT,,CWS,,,,,PHI,HOU,MIA,TB,,COL,BOS,TOR,BAL,WAS,CHC,NYY,NYM,SF,CLE,DET
5/24/2019,OAK,ARI,SEA,PIT,TEX,TOR,SF,BAL,LAA,BOS,NYY,ATL,CWS,PHI,CIN,MIN,NYM,TB,CHC,LAD,SD,HOU,KC,DET,MIL,COL,MIA,STL,CLE,WAS
5/25/2019,OAK,ARI,SEA,PIT,TEX,TOR,SF,BAL,LAA,BOS,NYY,ATL,CWS,PHI,CIN,MIN,NYM,TB,CHC,LAD,SD,HOU,KC,DET,MIL,COL,MIA,STL,CLE,WAS
5/26/2019,OAK,ARI,SEA,PIT,TEX,TOR,SF,BAL,LAA,BOS,NYY,ATL,CWS,PHI,CIN,MIN,NYM,TB,CHC,LAD,SD,HOU,KC,DET,MIL,COL,MIA,STL,CLE,WAS
