"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Red Sox","14","38","4","10","10","0","0.0 %","28.9 %",".526",".435",".368",".368",".895",".505","221","-0.1","5.7","0.0","0.7"
"Indians","11","43","1","8","8","1","11.6 %","14.0 %",".194",".400",".361",".442",".556",".416","159","0.2","3.5","0.4","0.5"
"Rockies","12","44","2","12","12","0","11.4 %","22.7 %",".243",".480",".378",".452",".622",".448","164","-0.4","3.2","0.1","0.5"
"Orioles","13","41","2","9","9","3","7.3 %","17.1 %",".194",".321",".306",".366",".500",".362","131","0.7","2.0","-0.8","0.3"
"Yankees","13","41","0","5","4","0","7.3 %","17.1 %",".081",".419",".351",".390",".432",".352","120","-0.5","0.6","0.0","0.2"
"Phillies","13","38","1","2","2","0","2.6 %","21.1 %",".108",".393",".324",".342",".432",".330","106","0.1","0.2","0.6","0.2"
"Mets","14","31","4","6","6","0","0.0 %","12.9 %",".467",".091",".200",".226",".667",".351","124","-0.1","0.8","0.1","0.2"
"Braves","15","40","1","9","9","1","15.0 %","15.0 %",".161",".280",".258",".385",".419",".348","112","-0.2","0.2","0.3","0.2"
"Cardinals","16","36","2","5","5","0","11.1 %","22.2 %",".219",".273",".250",".333",".469",".339","114","0.0","0.6","0.1","0.2"
"Twins","11","40","2","6","6","0","7.5 %","17.5 %",".194",".286",".278",".325",".472",".331","107","0.0","0.3","0.0","0.2"
"Rays","13","37","0","3","3","1","8.1 %","10.8 %",".118",".300",".265",".324",".382",".304","93","0.2","-0.2","-0.3","0.1"
"Mariners","15","37","1","3","3","1","8.1 %","24.3 %",".156",".318",".250",".333",".406",".309","87","0.0","-0.8","0.1","0.1"
"Nationals","15","41","0","2","2","1","7.3 %","14.6 %",".028",".333",".278",".350",".306",".296","74","0.2","-1.3","0.1","0.0"
"White Sox","14","35","1","2","2","1","2.9 %","14.3 %",".121",".259",".242",".265",".364",".267","78","0.2","-1.0","-0.3","0.0"
"Angels","12","34","2","3","3","0","5.9 %","26.5 %",".313",".143",".156",".206",".469",".271","71","0.0","-1.4","0.1","0.0"
"Tigers","14","33","2","2","2","0","0.0 %","27.3 %",".242",".273",".242",".242",".485",".296","88","0.0","-0.8","-0.5","0.0"
"Brewers","15","37","0","3","3","1","16.2 %","18.9 %",".000",".200",".148",".361",".148",".272","62","0.2","-1.9","0.3","0.0"
"Marlins","14","34","0","3","3","0","5.9 %","20.6 %",".103",".280",".241",".265",".345",".250","57","-0.1","-2.2","0.4","-0.1"
"Diamondbacks","15","35","0","2","2","1","11.4 %","22.9 %",".097",".261",".194",".286",".290",".257","56","-0.3","-2.4","0.5","-0.1"
"Astros","15","36","1","3","3","0","11.1 %","33.3 %",".156",".211",".156",".250",".313",".246","58","-0.1","-2.3","0.2","-0.1"
"Reds","13","33","1","2","2","0","0.0 %","21.2 %",".152",".280",".242",".242",".394",".264","66","-0.1","-2.0","0.1","-0.1"
"Rangers","13","39","1","5","5","0","12.8 %","25.6 %",".147",".261",".206",".308",".353",".290","78","-0.4","-2.0","-0.3","-0.1"
"Royals","11","38","0","3","3","0","5.3 %","10.5 %",".000",".290",".257",".316",".257",".261","59","-0.2","-2.3","-0.3","-0.1"
"Dodgers","13","35","1","4","4","0","8.6 %","20.0 %",".094",".167",".156",".229",".250",".214","34","0.1","-3.2","0.3","-0.2"
"Pirates","14","35","1","3","3","0","2.9 %","28.6 %",".118",".261",".206",".229",".324",".234","47","-0.1","-2.8","-0.3","-0.2"
"Giants","19","44","1","2","2","1","11.4 %","31.8 %",".128",".167",".128",".227",".256",".217","37","0.1","-3.9","0.5","-0.2"
"Athletics","14","35","0","2","2","0","8.6 %","37.1 %",".032",".263",".161",".229",".194",".193","22","0.0","-3.7","0.0","-0.2"
"Blue Jays","14","33","0","1","1","0","9.1 %","21.2 %",".067",".174",".133",".212",".200",".189","16","-0.1","-3.8","-0.2","-0.3"
"Padres","16","40","1","1","1","0","7.5 %","25.0 %",".108",".154",".135",".200",".243",".196","20","-0.5","-4.8","0.6","-0.3"
"Cubs","16","31","1","2","2","0","3.2 %","38.7 %",".100",".176",".133",".161",".233",".169","6","0.1","-4.2","0.2","-0.3"
