"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Cubs","16","50","3","12","12","1","8.0 %","12.0 %",".267",".444",".422",".480",".689",".485","205","0.2","7.1","0.5","0.9"
"Marlins","13","40","3","9","9","0","2.5 %","15.0 %",".289",".414",".395",".425",".684",".459","192","-0.1","4.7","0.4","0.6"
"Yankees","12","44","3","12","11","0","0.0 %","11.4 %",".310",".353",".357",".386",".667",".434","178","0.0","4.3","0.1","0.6"
"Tigers","15","45","4","10","10","0","20.0 %","20.0 %",".412",".190",".235",".409",".647",".428","169","0.0","3.9","-0.4","0.5"
"Giants","13","37","1","5","4","1","13.5 %","16.2 %",".161",".375",".323",".432",".484",".395","150","-0.3","2.1","0.5","0.4"
"Blue Jays","14","42","3","6","6","0","4.8 %","26.2 %",".300",".346",".300",".333",".600",".383","143","-0.1","2.1","-0.2","0.3"
"Royals","16","39","4","8","8","0","7.7 %","28.2 %",".389",".238",".250",".308",".639",".381","142","0.0","1.9","-0.1","0.3"
"Rockies","12","38","1","3","3","1","2.6 %","21.1 %",".139",".444",".361",".395",".500",".381","126","0.2","1.2","0.4","0.3"
"Indians","14","40","1","7","6","1","20.0 %","12.5 %",".250",".231",".219",".375",".469",".360","121","0.1","1.2","0.2","0.3"
"Reds","16","43","1","5","5","0","7.0 %","23.3 %",".189",".385",".297",".366",".486",".361","113","-0.1","0.5","0.0","0.2"
"Padres","16","38","2","9","6","1","7.9 %","21.1 %",".242",".261",".242",".324",".485",".340","108","-0.3","0.0","0.1","0.1"
"Braves","13","35","1","2","2","0","11.4 %","22.9 %",".200",".190",".167",".286",".367",".283","75","0.1","-1.3","0.3","0.0"
"Twins","16","40","0","5","5","0","10.0 %","25.0 %",".086",".320",".229",".325",".314",".266","70","0.0","-1.9","-0.2","-0.1"
"Red Sox","11","29","2","3","3","0","3.4 %","34.5 %",".250",".188",".179",".207",".429",".259","64","0.0","-1.8","0.0","-0.1"
"Angels","13","29","0","0","0","0","0.0 %","51.7 %",".034",".143",".069",".069",".103",".072","-55","0.1","-6.1","0.1","-0.5"
"Phillies","13","29","0","0","0","0","6.9 %","17.2 %",".000",".045",".037",".103",".037",".078","-53","0.0","-6.2","0.3","-0.5"
