"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Phillies","15","44","2","12","11","1","6.8 %","27.3 %",".341",".556",".415",".455",".756",".493","210","0.2","6.5","0.3","0.8"
"Red Sox","15","42","4","7","7","0","7.1 %","16.7 %",".410",".286",".308",".357",".718",".432","174","-0.1","3.7","0.3","0.5"
"Mets","16","45","2","7","7","0","6.7 %","13.3 %",".225",".375",".350",".422",".575",".419","167","-0.1","3.8","0.0","0.5"
"Yankees","14","40","4","7","7","1","7.5 %","27.5 %",".405",".318",".297",".350",".703",".424","172","0.3","3.8","-0.1","0.5"
"Cubs","15","42","3","10","9","0","4.8 %","31.0 %",".289",".409",".316",".366",".605",".401","151","-0.4","2.4","0.6","0.4"
"Braves","15","43","2","9","9","0","11.6 %","18.6 %",".243",".333",".297",".395",".541",".393","144","0.1","2.5","0.1","0.4"
"Nationals","17","38","1","8","8","0","2.6 %","10.5 %",".229",".400",".371",".405",".600",".419","156","-0.1","2.4","0.3","0.4"
"Indians","13","37","3","4","4","2","5.4 %","21.6 %",".333",".273",".273",".333",".606",".384","140","-0.2","1.4","0.3","0.3"
"Royals","12","36","2","6","5","0","5.6 %","13.9 %",".226",".292",".290",".389",".516",".385","143","-0.5","1.4","0.0","0.3"
"Twins","13","43","3","8","8","0","4.7 %","18.6 %",".282",".321",".308",".372",".590",".385","131","-0.1","1.6","-0.5","0.3"
"Astros","12","38","1","8","7","0","10.5 %","15.8 %",".206",".333",".294",".368",".500",".357","129","-0.1","1.3","-0.1","0.2"
"Dodgers","19","47","0","6","5","1","17.0 %","23.4 %",".053",".333",".237",".383",".289",".306","93","0.3","-0.2","0.4","0.2"
"Athletics","14","38","2","4","4","0","5.3 %","26.3 %",".200",".261",".229",".289",".429",".304","93","-0.1","-0.5","0.1","0.1"
"Orioles","15","37","2","4","4","1","5.4 %","35.1 %",".200",".350",".257",".297",".457",".316","99","0.2","0.0","-0.3","0.1"
"Rays","12","36","2","6","6","0","5.6 %","52.8 %",".273",".385",".212",".250",".485",".295","88","0.0","-0.7","0.0","0.1"
"Rockies","15","40","0","4","4","1","10.0 %","27.5 %",".056",".440",".306",".375",".361",".326","90","-0.2","-1.0","0.3","0.1"
"Pirates","12","35","2","3","3","0","0.0 %","20.0 %",".200",".269",".257",".257",".457",".295","85","0.0","-0.9","0.3","0.0"
"Blue Jays","15","40","0","4","3","0","7.5 %","22.5 %",".081",".357",".270",".325",".351",".295","82","-0.1","-1.0","-0.2","0.0"
"Reds","11","34","2","5","5","0","2.9 %","41.2 %",".242",".294",".212",".235",".455",".283","76","-0.1","-1.5","0.4","0.0"
"White Sox","14","37","0","2","2","0","5.4 %","32.4 %",".114",".391",".257",".297",".371",".286","80","0.0","-1.1","-0.3","0.0"
"Brewers","13","33","1","4","4","0","9.1 %","27.3 %",".207",".250",".207",".273",".414",".272","66","0.0","-1.8","0.4","0.0"
"Cardinals","13","34","1","1","1","1","2.9 %","44.1 %",".121",".353",".212",".235",".333",".241","52","0.3","-2.1","0.6","0.0"
"Padres","19","41","1","4","3","1","12.2 %","24.4 %",".152",".174",".152",".275",".303",".257","55","0.1","-2.4","0.4","-0.1"
"Rangers","15","40","0","3","3","0","15.0 %","35.0 %",".059",".350",".206",".325",".265",".273","64","-0.1","-2.2","-0.4","-0.1"
"Mariners","14","35","1","3","3","0","20.0 %","22.9 %",".143",".105",".107",".286",".250",".253","61","-0.7","-2.7","0.1","-0.1"
"Tigers","13","32","1","2","2","0","0.0 %","21.9 %",".129",".250",".226",".219",".355",".235","46","-0.1","-2.5","0.0","-0.1"
"Angels","16","31","0","0","0","0","9.7 %","16.1 %",".071",".130",".107",".194",".179",".173","8","-0.1","-4.0","-0.3","-0.3"
"Marlins","14","31","0","0","0","0","3.2 %","35.5 %",".033",".211",".133",".161",".167",".146","-10","-0.1","-4.8","-0.2","-0.4"
