"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Pirates","15","44","2","12","12","0","11.4 %","20.5 %",".282",".536",".436",".500",".718",".502","217","-0.1","6.7","-0.4","0.8"
"Red Sox","16","49","0","10","9","1","8.2 %","12.2 %",".167",".447",".405",".438",".571",".415","155","0.2","3.6","0.4","0.6"
"Marlins","14","43","2","5","5","0","2.3 %","25.6 %",".190",".448",".357",".372",".548",".385","144","-0.1","2.3","0.5","0.4"
"Phillies","14","42","2","5","5","2","7.1 %","16.7 %",".184",".345",".316",".381",".500",".374","133","0.4","2.1","0.6","0.4"
"Tigers","17","43","2","6","6","0","4.7 %","20.9 %",".244",".400",".341",".372",".585",".396","149","0.0","2.6","-0.3","0.4"
"Diamondbacks","14","38","1","4","4","1","7.9 %","15.8 %",".143",".429",".371",".421",".514",".391","140","0.3","2.3","0.3","0.4"
"Indians","12","43","3","7","7","1","11.6 %","20.9 %",".289",".308",".289",".372",".579",".379","131","0.2","1.4","0.6","0.3"
"Mets","17","38","0","6","5","0","2.6 %","13.2 %",".118",".414",".353",".421",".471",".386","146","-0.6","1.6","0.2","0.3"
"Yankees","12","40","2","3","3","2","17.5 %","27.5 %",".242",".300",".242",".375",".485",".366","131","0.0","1.5","0.1","0.3"
"Nationals","12","35","1","6","5","2","5.7 %","17.1 %",".156",".423",".375",".400",".531",".388","138","-0.1","1.7","0.1","0.3"
"Astros","12","36","1","4","4","0","11.1 %","16.7 %",".188",".360",".313",".389",".500",".377","142","-0.1","1.8","-0.2","0.3"
"Giants","17","38","2","8","8","1","2.6 %","31.6 %",".229",".409",".314",".342",".543",".362","128","0.2","1.6","0.1","0.3"
"Twins","13","37","1","7","7","1","8.1 %","21.6 %",".219",".333",".281",".351",".500",".352","124","0.2","1.2","0.0","0.2"
"Orioles","12","40","2","8","8","0","10.0 %","10.0 %",".250",".267",".278",".350",".528",".366","132","-0.5","0.9","-0.3","0.2"
"Cubs","14","41","0","6","6","0","22.0 %","19.5 %",".156",".292",".219",".390",".375",".334","112","0.0","0.6","0.0","0.2"
"Braves","13","35","2","4","4","0","2.9 %","25.7 %",".294",".304",".265",".286",".559",".344","113","0.0","0.5","0.3","0.2"
"Rays","16","35","2","4","4","1","5.7 %","20.0 %",".188",".261",".250",".314",".438",".320","107","0.3","0.4","-0.1","0.1"
"Mariners","11","34","2","6","6","1","5.9 %","20.6 %",".200",".227",".233",".294",".433",".304","95","0.3","-0.1","-0.3","0.1"
"Cardinals","16","38","1","4","4","0","0.0 %","21.1 %",".086",".346",".286",".324",".371",".303","85","0.0","-0.8","0.0","0.0"
"Brewers","15","36","2","2","2","0","5.6 %","8.3 %",".212",".179",".212",".278",".424",".296","86","-0.4","-1.4","0.2","0.0"
"Rangers","15","36","2","4","4","0","2.8 %","41.7 %",".200",".333",".229",".250",".429",".282","74","0.0","-1.7","-0.2","-0.1"
"Rockies","15","36","2","2","2","1","13.9 %","33.3 %",".233",".188",".167",".286",".400",".282","60","0.2","-2.3","0.1","-0.1"
"Athletics","13","35","2","3","3","0","2.9 %","20.0 %",".182",".160",".182",".200",".364",".230","49","0.0","-2.6","0.1","-0.1"
"White Sox","16","39","0","3","3","1","10.3 %","17.9 %",".061",".231",".182",".289",".242",".247","52","0.3","-2.3","-0.4","-0.1"
"Padres","13","32","2","3","3","0","3.1 %","25.0 %",".200",".100",".133",".188",".333",".220","37","0.0","-2.8","0.2","-0.2"
"Dodgers","12","35","0","1","0","0","2.9 %","22.9 %",".061",".240",".182",".229",".242",".209","30","0.0","-3.3","0.3","-0.2"
"Royals","13","34","0","0","0","1","5.9 %","35.3 %",".031",".300",".188",".235",".219",".204","27","0.1","-3.5","0.3","-0.2"
"Angels","12","34","0","0","0","0","11.8 %","41.2 %",".033",".250",".133",".235",".167",".194","20","-0.1","-3.7","0.2","-0.2"
"Reds","14","32","1","2","2","0","0.0 %","34.4 %",".156",".200",".156",".156",".313",".191","19","-0.1","-3.9","0.2","-0.3"
"Blue Jays","13","31","0","1","1","0","3.2 %","25.8 %",".000",".136",".100",".129",".100",".106","-36","0.0","-5.7","0.0","-0.5"
