"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Royals","14","54","2","15","15","1","18.5 %","11.1 %",".302",".472",".442",".537",".744",".518","230","0.2","9.2","0.1","1.1"
"Red Sox","13","53","4","15","14","0","9.4 %","15.1 %",".354",".472",".438",".491",".792",".523","231","-0.1","8.8","0.0","1.0"
"Astros","17","45","5","14","14","1","11.1 %","11.1 %",".553",".300",".368",".422",".921",".512","234","0.0","7.6","0.2","0.9"
"Diamondbacks","14","42","3","9","9","0","9.5 %","7.1 %",".351",".281",".324",".381",".676",".417","173","0.0","3.9","0.4","0.6"
"Reds","10","36","5","9","9","1","13.9 %","8.3 %",".516",".174",".290",".389",".806",".472","193","-0.4","4.0","0.4","0.5"
"Nationals","18","43","3","10","7","0","4.7 %","18.6 %",".237",".357",".342",".381",".579",".388","157","-0.1","3.0","0.4","0.5"
"Pirates","17","40","2","6","6","0","10.0 %","20.0 %",".257",".400",".343",".410",".600",".404","160","0.0","3.0","0.0","0.4"
"Cardinals","14","43","1","5","5","4","14.0 %","25.6 %",".171",".348",".257",".395",".429",".361","127","0.8","2.2","0.3","0.4"
"Twins","13","42","3","7","6","0","4.8 %","11.9 %",".256",".290",".308",".357",".564",".383","142","-0.1","2.1","-0.1","0.3"
"Padres","16","42","2","6","6","0","9.5 %","19.0 %",".200",".308",".286",".381",".486",".366","129","-0.2","1.4","0.7","0.3"
"Phillies","17","45","0","8","8","0","11.1 %","17.8 %",".158",".387",".316",".386",".474",".363","120","0.1","1.1","0.5","0.3"
"Dodgers","18","44","1","7","7","0","11.4 %","22.7 %",".132",".370",".289",".386",".421",".352","121","0.0","1.2","0.4","0.3"
"Indians","13","32","2","5","5","1","6.3 %","21.9 %",".276",".350",".310",".355",".586",".388","140","-0.2","1.1","0.2","0.2"
"Braves","13","47","1","9","9","0","12.8 %","12.8 %",".122",".324",".293",".383",".415",".340","107","0.0","0.2","0.5","0.2"
"Athletics","15","38","0","4","4","0","5.3 %","21.1 %",".167",".357",".278",".316",".444",".318","104","0.0","0.0","0.3","0.2"
"Rangers","14","38","1","8","8","1","18.4 %","18.4 %",".161",".261",".226",".368",".387",".333","101","0.3","0.2","-0.3","0.1"
"Mariners","13","34","4","4","4","0","2.9 %","35.3 %",".394",".176",".212",".235",".606",".335","119","0.0","0.6","-0.6","0.1"
"Blue Jays","13","38","0","5","5","0","13.2 %","15.8 %",".094",".333",".281",".368",".375",".323","101","-0.1","-0.1","-0.3","0.1"
"Cubs","18","34","2","6","6","0","11.8 %","29.4 %",".207",".294",".241",".333",".448",".322","91","0.0","-0.7","0.1","0.1"
"Angels","16","39","1","2","2","0","10.3 %","12.8 %",".114",".241",".229",".308",".343",".286","83","-0.1","-1.2","0.0","0.0"
"Yankees","14","36","1","3","2","0","11.1 %","25.0 %",".125",".273",".219",".306",".344",".285","81","-0.1","-1.2","-0.3","0.0"
"Tigers","17","37","2","3","3","0","5.4 %","16.2 %",".171",".222",".229",".270",".400",".283","77","0.0","-1.3","-0.3","0.0"
"Orioles","13","31","1","3","2","0","3.2 %","12.9 %",".167",".240",".233",".258",".400",".276","73","0.0","-1.3","-0.4","-0.1"
"White Sox","17","35","1","2","2","0","8.6 %","31.4 %",".094",".300",".219",".286",".313",".264","67","0.0","-1.7","-0.3","-0.1"
"Giants","13","34","0","2","2","1","5.9 %","32.4 %",".031",".238",".156",".206",".188",".179","12","0.2","-4.0","0.3","-0.3"
"Rays","11","31","0","0","0","0","6.5 %","16.1 %",".071",".130",".107",".194",".179",".174","10","0.0","-3.8","-0.2","-0.3"
"Rockies","13","33","0","2","2","0","3.0 %","33.3 %",".125",".238",".156",".182",".281",".194","14","0.0","-4.4","0.0","-0.3"
"Brewers","20","69","0","4","4","0","10.1 %","26.1 %",".048",".250",".177",".261",".226",".217","28","-0.5","-7.2","0.7","-0.4"
"Marlins","14","36","0","2","2","0","5.6 %","25.0 %",".000",".130",".094",".171",".094",".135","-19","0.0","-5.9","0.1","-0.4"
"Mets","22","64","1","3","3","1","1.6 %","26.6 %",".081",".205",".161",".188",".242",".185","16","0.1","-7.3","0.2","-0.5"
