"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Phillies","16","47","2","13","10","1","8.5 %","19.1 %",".190",".469",".405",".447",".595",".434","172","-0.2","4.1","0.7","0.6"
"Red Sox","17","42","3","8","8","0","2.4 %","19.0 %",".300",".414",".375",".390",".675",".439","186","-0.1","4.3","0.0","0.6"
"Giants","14","42","1","10","10","0","14.3 %","23.8 %",".200",".480",".371",".452",".571",".426","170","0.0","3.8","0.4","0.5"
"Dodgers","15","47","0","10","10","0","10.6 %","17.0 %",".100",".438",".350",".435",".450",".386","150","0.0","3.1","0.3","0.5"
"Yankees","18","50","1","12","11","0","18.0 %","20.0 %",".150",".400",".325",".440",".475",".386","146","0.0","3.0","0.1","0.5"
"Athletics","14","42","1","12","9","0","9.5 %","21.4 %",".243",".370",".297",".381",".541",".385","147","0.0","2.5","0.2","0.4"
"Mets","16","39","1","8","8","2","5.1 %","23.1 %",".114",".462",".371",".410",".486",".380","142","0.2","2.3","0.2","0.4"
"Cubs","14","42","2","6","6","0","9.5 %","23.8 %",".263",".346",".289",".357",".553",".377","136","0.0","1.9","0.2","0.3"
"Reds","15","38","1","8","8","3","10.5 %","23.7 %",".094",".364",".281",".395",".375",".345","114","0.5","1.0","0.4","0.3"
"Astros","14","39","0","6","6","0","10.3 %","15.4 %",".114",".379",".314",".385",".429",".342","124","-0.1","1.0","0.2","0.3"
"Rays","14","36","1","6","5","2","2.8 %","36.1 %",".273",".400",".273",".306",".545",".343","119","0.5","1.3","0.0","0.3"
"Royals","14","41","1","7","6","0","12.2 %","19.5 %",".167",".370",".306",".390",".472",".369","130","-0.6","1.0","-0.3","0.2"
"Marlins","14","39","1","6","5","0","5.1 %","30.8 %",".243",".375",".270",".308",".514",".338","115","-0.2","0.4","0.2","0.2"
"Brewers","16","39","1","2","2","0","17.9 %","25.6 %",".161",".350",".258",".395",".419",".338","110","-0.4","0.1","0.4","0.2"
"Braves","15","39","1","5","5","3","7.7 %","25.6 %",".167",".360",".278",".333",".444",".330","106","0.2","0.2","0.2","0.2"
"White Sox","15","33","1","4","4","0","6.1 %","30.3 %",".097",".450",".323",".364",".419",".338","117","0.0","0.6","-0.4","0.1"
"Blue Jays","14","38","2","6","6","0","7.9 %","13.2 %",".235",".222",".235",".297",".471",".320","104","0.0","0.1","-0.2","0.1"
"Rockies","16","38","2","5","5","0","7.9 %","23.7 %",".257",".292",".257",".316",".514",".343","102","0.0","-0.2","-0.1","0.1"
"Angels","17","38","2","3","3","0","5.3 %","26.3 %",".167",".292",".250",".289",".417",".299","92","-0.1","-0.7","0.0","0.1"
"Padres","17","45","1","3","3","0","8.9 %","28.9 %",".098",".333",".244",".311",".341",".286","78","0.0","-1.4","0.5","0.0"
"Indians","12","39","0","2","2","1","5.1 %","15.4 %",".081",".323",".270",".308",".351",".285","77","0.1","-1.3","0.1","0.0"
"Nationals","11","39","1","2","2","3","12.8 %","15.4 %",".118",".222",".206",".308",".324",".281","69","0.6","-1.1","-0.1","0.0"
"Cardinals","19","45","1","5","4","1","8.9 %","24.4 %",".075",".286",".225",".311",".300",".275","71","-0.2","-2.0","0.3","0.0"
"Diamondbacks","16","37","0","4","4","0","5.4 %","29.7 %",".088",".333",".235",".270",".324",".253","55","0.0","-2.4","0.3","-0.1"
"Mariners","11","33","1","1","1","0","6.1 %","42.4 %",".097",".313",".194",".242",".290",".232","49","-0.4","-2.8","-0.2","-0.2"
"Pirates","14","32","0","1","1","0","6.3 %","12.5 %",".033",".269",".233",".281",".267",".244","52","-0.5","-2.7","-0.3","-0.2"
"Twins","14","34","1","3","3","0","0.0 %","17.6 %",".118",".185",".176",".176",".294",".195","21","0.0","-3.8","-0.2","-0.3"
"Tigers","17","33","1","1","1","0","3.0 %","45.5 %",".125",".250",".156",".182",".281",".196","22","0.0","-3.6","-0.4","-0.3"
"Rangers","15","30","1","2","2","0","0.0 %","56.7 %",".103",".273",".138",".138",".241",".157","28","-0.4","-4.0","-0.2","-0.3"
"Orioles","17","32","0","0","0","0","3.1 %","43.8 %",".032",".294",".161",".188",".194",".168","2","0.0","-4.3","-0.5","-0.4"
