"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Athletics","15","40","5","8","8","0","2.5 %","30.0 %",".459",".286",".297",".325",".757",".425","176","-0.5","3.3","-0.1","0.4"
"Mariners","15","43","2","7","7","0","4.7 %","20.9 %",".350",".333",".300",".326",".650",".387","150","0.0","2.6","-0.6","0.3"
"Blue Jays","15","37","3","6","6","0","13.5 %","27.0 %",".290",".278",".258",".378",".548",".387","150","-0.1","2.0","-0.3","0.3"
"Indians","13","41","1","4","4","2","14.6 %","19.5 %",".143",".385",".314",".415",".457",".377","138","-0.1","1.6","-0.1","0.3"
"Dodgers","17","39","3","7","7","0","2.6 %","28.2 %",".343",".304",".286",".308",".629",".367","134","-0.1","1.5","0.2","0.3"
"Padres","17","37","3","7","7","0","8.1 %","37.8 %",".323",".333",".258",".333",".581",".370","126","-0.1","1.1","0.5","0.3"
"Royals","17","46","3","6","6","0","8.7 %","30.4 %",".325",".217",".200",".304",".525",".342","121","0.0","0.7","0.3","0.3"
"Red Sox","15","42","1","7","6","1","19.0 %","21.4 %",".182",".304",".242",".405",".424",".357","123","0.2","1.3","-0.3","0.2"
"Cardinals","14","41","0","11","7","2","9.8 %","24.4 %",".061",".417",".303",".400",".364",".340","109","0.4","0.7","0.3","0.2"
"Braves","15","39","2","3","3","1","7.7 %","35.9 %",".278",".350",".250",".308",".528",".343","114","0.2","0.7","0.3","0.2"
"Mets","16","41","2","6","6","1","17.1 %","22.0 %",".182",".227",".212",".350",".394",".326","102","0.1","0.1","0.2","0.2"
"Reds","16","35","1","5","5","1","5.7 %","31.4 %",".156",".450",".313",".371",".469",".359","124","-0.3","0.5","-0.1","0.2"
"Diamondbacks","16","43","1","6","6","1","14.0 %","25.6 %",".083",".292",".222",".349",".306",".300","84","0.2","-0.8","0.5","0.1"
"Giants","12","33","1","1","1","0","12.1 %","21.2 %",".172",".238",".207",".303",".379",".295","86","-0.5","-1.2","0.4","0.0"
"Cubs","14","32","0","2","2","2","9.4 %","28.1 %",".069",".250",".172",".250",".241",".222","38","0.3","-2.5","0.3","-0.1"
"Orioles","16","38","1","5","4","0","13.2 %","18.4 %",".125",".125",".125",".263",".250",".239","49","-0.1","-2.9","-0.4","-0.2"
"Marlins","14","32","0","0","0","0","9.4 %","31.3 %",".000",".263",".172",".250",".172",".201","26","-0.1","-3.4","0.0","-0.2"
"Pirates","13","33","0","0","0","0","3.0 %","42.4 %",".031",".278",".156",".182",".188",".163","1","-0.4","-5.0","0.0","-0.4"
"Rockies","16","30","0","0","0","0","3.3 %","26.7 %",".000",".143",".103",".133",".103",".110","-37","0.0","-6.2","0.2","-0.5"
"Tigers","14","32","0","0","0","1","3.1 %","21.9 %",".000",".125",".097",".125",".097",".103","-36","0.1","-6.0","-0.2","-0.5"
