"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Mets","14","46","3","13","11","0","4.3 %","23.9 %",".349",".448",".372",".413",".721",".463","197","-0.1","5.6","0.6","0.8"
"Dodgers","19","40","3","11","11","0","7.5 %","25.0 %",".389",".348",".306",".375",".694",".433","175","0.1","4.0","0.1","0.5"
"Rockies","15","37","3","6","5","0","8.1 %","8.1 %",".353",".357",".382",".432",".735",".476","190","-0.1","4.0","0.1","0.5"
"Cubs","13","40","2","7","7","0","5.0 %","15.0 %",".229",".429",".400",".436",".629",".438","167","0.0","3.5","0.5","0.5"
"Indians","10","38","3","6","6","2","10.5 %","23.7 %",".394",".318",".303",".368",".697",".423","168","0.4","3.4","0.1","0.5"
"Blue Jays","16","43","2","5","5","0","9.3 %","20.9 %",".256",".393",".333",".395",".590",".409","161","-0.1","3.2","-0.2","0.4"
"Yankees","14","38","2","7","7","0","10.5 %","13.2 %",".324",".296",".294",".368",".618",".403","156","0.1","2.8","0.3","0.4"
"Rays","13","40","2","7","7","2","15.0 %","15.0 %",".212",".308",".303",".400",".515",".383","146","0.3","2.6","-0.1","0.4"
"Padres","16","42","2","10","10","1","7.1 %","26.2 %",".189",".385",".324",".357",".514",".357","123","0.2","1.4","0.4","0.3"
"Athletics","16","39","1","4","3","0","17.9 %","20.5 %",".167",".286",".233",".410",".400",".362","132","0.0","1.5","0.1","0.3"
"Braves","17","45","3","4","4","0","13.3 %","24.4 %",".282",".240",".231",".333",".513",".345","120","0.1","1.2","0.4","0.3"
"Diamondbacks","15","37","1","7","7","2","10.8 %","18.9 %",".188",".333",".281",".378",".469",".363","127","0.4","1.5","0.3","0.3"
"White Sox","14","39","3","10","10","0","2.6 %","23.1 %",".270",".320",".297",".316",".568",".363","134","0.1","1.7","-0.1","0.3"
"Reds","16","45","1","6","6","2","17.8 %","20.0 %",".121",".304",".242",".419",".364",".349","108","0.2","0.6","0.4","0.2"
"Rangers","13","39","1","9","8","2","15.4 %","20.5 %",".226",".304",".258",".368",".484",".356","115","0.4","1.0","-0.3","0.2"
"Phillies","15","38","1","5","5","0","10.5 %","18.4 %",".147",".308",".265",".342",".412",".325","103","0.0","0.0","0.3","0.1"
"Nationals","13","40","2","5","4","0","10.0 %","12.5 %",".176",".259",".265",".359",".441",".336","98","-0.1","-0.5","0.4","0.1"
"Orioles","16","38","0","6","5","1","23.7 %","13.2 %",".069",".250",".207",".395",".276",".319","96","0.3","0.1","-0.6","0.1"
"Tigers","14","41","0","4","2","1","9.8 %","12.2 %",".056",".323",".278",".350",".333",".304","89","0.2","-0.6","-0.3","0.1"
"Red Sox","13","36","2","4","4","0","8.3 %","16.7 %",".188",".208",".219",".306",".406",".306","90","-0.1","-0.8","0.0","0.0"
"Brewers","14","36","2","2","2","0","0.0 %","41.7 %",".167",".368",".250",".250",".417",".277","75","0.0","-1.6","0.4","0.0"
"Giants","15","33","2","2","2","0","3.0 %","24.2 %",".188",".227",".219",".242",".406",".270","71","0.0","-1.4","0.3","0.0"
"Twins","13","32","1","3","3","0","9.4 %","28.1 %",".107",".263",".214",".281",".321",".261","64","0.0","-1.8","-0.3","-0.1"
"Marlins","14","33","1","2","2","0","6.1 %","24.2 %",".194",".227",".194",".242",".387",".263","66","-0.6","-2.2","0.0","-0.1"
"Astros","13","32","0","3","3","1","9.4 %","25.0 %",".074",".238",".185",".250",".259",".222","43","0.1","-2.5","0.0","-0.1"
"Cardinals","13","37","1","2","2","2","8.1 %","27.0 %",".091",".182",".152",".243",".242",".222","36","0.5","-2.7","-0.1","-0.2"
"Angels","16","31","1","2","2","0","0.0 %","25.8 %",".161",".182",".161",".161",".323",".197","26","0.0","-3.2","0.0","-0.2"
"Mariners","13","33","1","1","1","0","6.1 %","45.5 %",".161",".200",".129",".182",".290",".200","29","0.0","-3.3","-0.3","-0.2"
"Pirates","14","32","1","2","2","2","3.1 %","15.6 %",".129",".120",".129",".156",".258",".175","10","0.4","-3.8","0.2","-0.2"
"Royals","12","28","0","0","0","0","3.6 %","25.0 %",".000",".100",".074",".107",".074",".087","-46","-0.5","-6.3","-0.1","-0.5"
