"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Diamondbacks","16","45","5","10","10","0","8.9 %","15.6 %",".500",".345",".375",".422",".875",".504","212","0.0","6.6","0.3","0.8"
"Rockies","13","47","1","14","14","0","10.6 %","12.8 %",".237",".545",".500",".543",".737",".518","205","0.0","6.4","0.4","0.8"
"Athletics","13","42","1","11","10","1","9.5 %","7.1 %",".189",".394",".378",".452",".568",".431","178","0.2","4.3","0.1","0.6"
"Astros","12","36","2","7","7","0","5.6 %","8.3 %",".333",".357",".364",".417",".697",".456","197","0.1","4.4","-0.1","0.5"
"Giants","14","42","0","8","7","0","9.5 %","21.4 %",".167",".517",".417",".452",".583",".424","169","0.0","3.8","0.1","0.5"
"Cardinals","17","42","1","7","7","6","9.5 %","21.4 %",".143",".407",".343",".405",".486",".373","134","1.2","3.1","0.4","0.5"
"Mets","14","41","2","8","8","1","7.3 %","19.5 %",".235",".320",".294",".390",".529",".384","145","0.1","2.4","0.1","0.4"
"Yankees","13","42","2","8","8","1","16.7 %","16.7 %",".235",".308",".294",".405",".529",".382","144","0.2","2.5","-0.2","0.4"
"Padres","15","44","0","8","6","0","11.4 %","25.0 %",".077",".464",".333",".409",".410",".359","126","-0.1","1.3","0.2","0.3"
"Red Sox","13","43","1","7","5","1","9.3 %","27.9 %",".105",".423",".316",".372",".421",".340","107","0.2","0.6","0.1","0.2"
"Marlins","13","37","0","4","3","1","5.4 %","18.9 %",".030",".385",".303",".378",".333",".321","103","0.0","0.0","0.3","0.1"
"Brewers","14","40","2","7","7","1","10.0 %","22.5 %",".212",".240",".242",".300",".455",".305","89","0.1","-0.7","0.8","0.1"
"Angels","13","37","3","5","5","0","5.4 %","32.4 %",".343",".200",".200",".243",".543",".317","106","0.0","0.0","0.0","0.1"
"Nationals","15","37","2","3","3","0","0.0 %","27.0 %",".250",".320",".278",".270",".528",".320","97","0.0","-0.3","0.3","0.1"
"Indians","12","42","0","4","3","5","11.9 %","11.9 %",".056",".281",".250",".333",".306",".285","75","1.1","-0.5","0.1","0.1"
"Phillies","17","38","1","6","5","0","7.9 %","26.3 %",".182",".318",".242",".324",".424",".320","100","-0.4","-0.6","0.5","0.1"
"Braves","16","39","2","5","5","0","7.7 %","23.1 %",".229",".250",".229",".308",".457",".313","91","0.0","-0.8","0.3","0.1"
"Twins","14","34","2","5","5","0","8.8 %","11.8 %",".258",".200",".226",".294",".484",".312","90","-0.1","-0.7","-0.2","0.0"
"Royals","13","40","2","4","4","0","7.5 %","22.5 %",".167",".231",".222",".275",".389",".279","77","-0.1","-1.7","0.0","0.0"
"White Sox","15","36","1","4","3","0","0.0 %","44.4 %",".083",".474",".278",".278",".361",".271","69","0.0","-1.5","-0.3","-0.1"
"Reds","15","34","2","3","3","0","11.8 %","23.5 %",".200",".100",".133",".235",".333",".246","53","0.0","-2.5","0.2","-0.1"
"Pirates","13","34","0","3","3","0","5.9 %","17.6 %",".125",".308",".250",".294",".375",".274","66","-0.5","-2.2","-0.3","-0.1"
"Orioles","16","38","0","2","2","0","7.9 %","39.5 %",".029",".400",".235",".289",".265",".247","54","0.0","-2.6","-0.2","-0.1"
"Dodgers","13","33","1","1","1","1","6.1 %","36.4 %",".097",".222",".161",".212",".258",".206","30","0.2","-3.1","0.3","-0.2"
"Rangers","14","37","0","4","4","1","2.7 %","24.3 %",".056",".296",".222",".243",".278",".225","35","0.2","-3.3","0.2","-0.2"
"Rays","13","34","1","3","3","0","2.9 %","14.7 %",".091",".185",".182",".206",".273",".205","31","0.0","-3.3","-0.1","-0.2"
"Mariners","14","35","0","2","2","0","5.7 %","34.3 %",".061",".286",".182",".229",".242",".208","33","0.0","-3.3","-0.3","-0.2"
"Blue Jays","12","34","0","2","2","1","5.9 %","29.4 %",".000",".273",".194",".235",".194",".194","21","0.2","-3.5","-0.1","-0.2"
"Cubs","13","33","1","2","2","0","3.0 %","24.2 %",".097",".136",".129",".182",".226",".181","12","0.0","-4.2","0.2","-0.3"
"Tigers","15","33","0","2","2","0","3.0 %","45.5 %",".063",".353",".188",".212",".250",".200","24","0.0","-3.6","-0.5","-0.3"
