"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","15","46","6","12","12","0","4.3 %","13.0 %",".477",".344",".386",".413",".864",".514","228","0.0","7.7","0.4","0.9"
"Pirates","13","41","5","10","10","1","4.9 %","14.6 %",".487",".321",".359",".390",".846",".495","212","0.1","6.2","-0.4","0.7"
"Rockies","16","45","1","8","8","0","6.7 %","15.6 %",".268",".441",".390",".422",".659",".439","163","0.0","3.5","0.0","0.5"
"Nationals","12","39","4","8","8","2","2.6 %","10.3 %",".432",".207",".270",".308",".703",".404","149","0.0","2.5","0.3","0.4"
"Angels","12","37","2","8","8","0","5.4 %","24.3 %",".176",".435",".353",".405",".529",".388","152","-0.5","1.9","-0.2","0.3"
"Braves","14","39","2","7","7","1","12.8 %","25.6 %",".242",".286",".242",".359",".485",".358","123","0.2","1.2","0.3","0.3"
"Cubs","16","36","2","9","7","0","2.8 %","25.0 %",".286",".333",".286",".306",".571",".358","125","0.0","0.9","0.3","0.2"
"Diamondbacks","15","37","2","5","5","0","10.8 %","16.2 %",".273",".240",".242",".324",".515",".349","120","0.1","0.7","0.3","0.2"
"Phillies","16","38","3","6","6","0","13.2 %","26.3 %",".300",".176",".200",".333",".500",".350","112","0.0","0.4","0.5","0.2"
"Brewers","14","33","1","4","4","0","3.0 %","18.2 %",".161",".333",".290",".313",".452",".309","81","0.0","-1.1","0.3","0.0"
"Athletics","14","32","2","3","3","0","3.1 %","18.8 %",".233",".136",".167",".219",".400",".258","64","0.0","-1.6","0.1","0.0"
"Tigers","16","36","0","1","1","0","2.8 %","19.4 %",".091",".333",".273",".306",".364",".285","78","-0.1","-1.2","-0.5","0.0"
"Marlins","16","37","0","5","5","1","2.7 %","18.9 %",".086",".286",".229",".270",".314",".254","61","0.0","-2.1","0.1","-0.1"
"Rangers","13","35","2","3","3","0","8.6 %","37.1 %",".233",".188",".167",".235",".400",".262","54","0.1","-2.4","-0.2","-0.1"
"Astros","14","35","0","0","0","0","0.0 %","22.9 %",".000",".333",".257",".257",".257",".224","40","-0.1","-2.9","0.2","-0.1"
"Giants","16","33","1","1","1","0","6.1 %","18.2 %",".133",".087",".100",".182",".233",".186","17","0.0","-3.8","0.3","-0.2"
"Mets","16","35","1","3","3","0","2.9 %","31.4 %",".091",".190",".152",".200",".242",".195","22","-0.1","-3.8","0.1","-0.3"
"Mariners","12","35","0","2","2","1","2.9 %","31.4 %",".059",".217",".147",".171",".206",".164","2","0.3","-4.4","0.1","-0.3"
"Rays","22","70","0","5","5","0","8.6 %","24.3 %",".016",".178",".131",".229",".148",".184","14","0.1","-8.0","-0.1","-0.5"
"Twins","20","65","0","2","2","0","7.7 %","33.8 %",".017",".237",".150",".215",".167",".171","2","-0.1","-8.6","-0.5","-0.7"
