"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Marlins","19","48","4","19","18","1","6.3 %","16.7 %",".349",".484",".442",".500",".791",".528","237","0.0","8.7","0.0","1.0"
"Yankees","12","44","5","10","10","0","2.3 %","25.0 %",".442",".407",".372",".386",".814",".480","212","0.0","6.3","0.4","0.8"
"Mariners","16","44","2","7","5","2","18.2 %","18.2 %",".314",".400",".343",".465",".657",".460","198","0.5","6.0","-0.7","0.7"
"Tigers","14","44","1","9","9","1","6.8 %","18.2 %",".195",".500",".415",".455",".610",".447","185","0.2","4.8","-0.3","0.6"
"Cardinals","14","43","1","8","6","0","11.6 %","2.3 %",".143",".353",".371",".452",".514",".410","158","0.1","3.4","0.8","0.5"
"Nationals","10","44","2","9","8","1","6.8 %","20.5 %",".211",".429",".368",".419",".579",".414","157","0.2","3.5","0.4","0.5"
"Phillies","15","48","0","11","11","0","20.8 %","18.8 %",".167",".407",".306",".468",".472",".403","147","0.0","2.9","0.6","0.5"
"Brewers","14","40","2","6","6","1","15.0 %","25.0 %",".235",".409",".324",".425",".559",".414","156","0.2","3.1","0.4","0.5"
"Red Sox","14","45","2","11","11","0","4.4 %","6.7 %",".225",".324",".350",".364",".575",".380","134","-0.1","1.6","0.5","0.4"
"Twins","14","39","4","6","6","0","7.7 %","35.9 %",".371",".294",".257",".333",".629",".391","149","0.0","2.3","-0.2","0.3"
"Astros","13","36","1","5","5","0","5.6 %","19.4 %",".152",".480",".394",".429",".545",".413","168","-0.9","2.2","0.0","0.3"
"Rays","12","38","1","7","7","0","7.9 %","21.1 %",".200",".385",".314",".368",".514",".371","137","0.0","1.8","-0.1","0.3"
"White Sox","13","38","1","8","8","0","5.3 %","31.6 %",".194",".478",".333",".368",".528",".376","140","0.1","2.0","-0.3","0.3"
"Indians","13","33","1","4","4","1","9.1 %","21.2 %",".167",".364",".300",".364",".467",".353","119","0.1","0.8","0.2","0.2"
"Angels","14","37","1","4","4","0","0.0 %","8.1 %",".135",".303",".297",".297",".432",".306","97","-0.1","-0.5","0.1","0.1"
"Blue Jays","15","41","0","4","4","1","7.3 %","19.5 %",".053",".367",".289",".341",".342",".301","87","0.1","-0.7","-0.3","0.0"
"Reds","15","36","1","2","2","0","5.6 %","38.9 %",".176",".368",".235",".278",".412",".290","81","-0.1","-1.3","0.4","0.0"
"Pirates","16","36","0","3","3","2","5.6 %","16.7 %",".030",".333",".273",".314",".303",".273","70","0.4","-1.2","0.1","0.0"
"Royals","13","33","0","1","1","0","9.1 %","21.2 %",".067",".261",".200",".273",".267",".241","50","0.0","-2.4","0.0","-0.1"
"Dodgers","18","34","0","2","2","0","2.9 %","44.1 %",".094",".353",".188",".212",".281",".211","28","0.0","-3.4","0.2","-0.2"
"Orioles","12","33","1","1","1","0","3.0 %","15.2 %",".161",".160",".161",".212",".323",".228","45","0.0","-2.8","-0.5","-0.2"
"Padres","15","30","0","0","0","0","3.3 %","23.3 %",".000",".227",".172",".200",".172",".168","4","-0.1","-4.1","0.2","-0.3"
"Braves","21","56","0","2","2","4","8.9 %","46.4 %",".020",".348",".163",".255",".184",".200","16","0.9","-5.5","0.7","-0.3"
"Rockies","14","36","0","3","2","0","8.3 %","33.3 %",".000",".250",".156",".250",".156",".198","14","0.0","-4.6","0.1","-0.3"
"Rangers","12","33","1","3","3","0","3.0 %","39.4 %",".097",".176",".129",".182",".226",".181","4","0.0","-4.4","-0.4","-0.3"
"Mets","21","52","1","1","1","2","7.7 %","26.9 %",".085",".156",".128",".212",".213",".185","15","0.3","-5.8","0.2","-0.4"
"Cubs","17","32","0","3","2","0","6.3 %","21.9 %",".033",".130",".100",".156",".133",".136","-16","0.0","-5.3","0.3","-0.4"
"Diamondbacks","15","31","0","1","1","0","9.7 %","25.8 %",".000",".100",".071",".161",".071",".123","-25","0.1","-5.4","0.3","-0.4"
