"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Rangers","11","55","3","15","15","0","9.1 %","12.7 %",".327",".436",".408",".473",".735",".495","207","0.2","7.7","-0.4","0.9"
"Phillies","16","43","3","12","11","0","11.6 %","18.6 %",".314",".458",".400",".500",".714",".499","212","0.0","6.3","0.6","0.8"
"Cubs","12","42","3","9","8","1","9.5 %","16.7 %",".405",".333",".324",".405",".730",".452","186","0.2","4.8","0.2","0.6"
"Brewers","17","44","2","8","7","3","13.6 %","25.0 %",".184",".480",".368",".455",".553",".421","170","0.2","4.1","0.5","0.6"
"Twins","15","39","5","9","9","1","7.7 %","12.8 %",".471",".200",".294",".359",".765",".441","183","0.1","4.1","-0.1","0.5"
"Marlins","17","45","1","9","9","0","6.7 %","20.0 %",".122",".500",".415",".444",".537",".414","162","-0.1","3.6","0.2","0.5"
"Royals","15","42","0","9","9","0","9.5 %","16.7 %",".158",".484",".395",".452",".553",".424","169","0.0","3.6","0.0","0.5"
"Blue Jays","13","41","0","7","6","0","12.2 %","22.0 %",".118",".462",".353",".425",".471",".382","147","-0.1","2.3","-0.3","0.3"
"Mets","15","40","2","6","5","0","7.5 %","32.5 %",".167",".476",".333",".400",".500",".384","145","-0.6","1.7","0.2","0.3"
"Braves","13","38","2","5","5","1","10.5 %","15.8 %",".265",".269",".265",".342",".529",".362","125","0.3","1.4","0.3","0.3"
"Rockies","15","39","3","9","9","0","7.7 %","17.9 %",".429",".240",".257",".316",".686",".399","128","0.0","1.4","0.1","0.3"
"Yankees","12","38","1","6","6","1","13.2 %","21.1 %",".194",".318",".258",".378",".452",".358","120","0.2","1.1","0.3","0.3"
"Cardinals","14","36","1","6","6","0","8.3 %","8.3 %",".129",".296",".290",".389",".419",".354","122","-0.4","0.6","0.4","0.2"
"Padres","17","43","1","8","7","0","11.6 %","30.2 %",".143",".304",".229",".326",".371",".300","87","-0.1","-0.9","0.2","0.1"
"Angels","14","39","0","4","4","0","15.4 %","20.5 %",".063",".292",".219",".359",".281",".299","90","-0.1","-0.8","0.0","0.1"
"Giants","14","36","2","4","4","0","0.0 %","13.9 %",".167",".241",".250",".250",".417",".277","75","0.0","-1.4","0.3","0.0"
"Red Sox","15","39","1","1","1","0","17.9 %","28.2 %",".129",".211",".161",".333",".290",".290","77","0.0","-1.3","0.0","0.0"
"Astros","14","36","2","4","4","1","11.1 %","33.3 %",".219",".167",".156",".250",".375",".267","70","0.1","-1.5","0.1","0.0"
"Rays","15","35","1","2","2","1","17.1 %","28.6 %",".138",".167",".138",".286",".276",".258","63","0.2","-1.6","0.1","0.0"
"Dodgers","13","33","0","3","3","1","6.1 %","21.2 %",".069",".261",".207",".273",".276",".242","51","0.2","-2.0","0.4","-0.1"
"Nationals","16","41","2","3","3","0","14.6 %","26.8 %",".176",".143",".147",".275",".324",".266","57","0.0","-2.5","0.0","-0.1"
"Indians","16","38","0","3","2","1","2.6 %","26.3 %",".029",".308",".229",".243",".257",".216","34","0.3","-3.3","0.2","-0.2"
"Reds","13","34","0","3","3","0","5.9 %","20.6 %",".033",".292",".233",".273",".267",".237","38","-0.1","-3.1","0.2","-0.2"
"Athletics","14","36","0","1","0","0","13.9 %","19.4 %",".065",".167",".129",".250",".194",".212","32","-0.1","-3.4","0.0","-0.2"
"Diamondbacks","15","34","1","1","1","1","11.8 %","29.4 %",".138",".056",".069",".206",".207",".195","21","0.3","-3.6","0.4","-0.2"
"Orioles","14","35","0","2","2","1","0.0 %","40.0 %",".029",".381",".229",".229",".257",".209","30","0.2","-3.3","-0.4","-0.2"
"Pirates","14","34","0","1","1","0","5.9 %","26.5 %",".032",".227",".161",".212",".194",".184","10","0.0","-4.3","0.0","-0.3"
"Mariners","14","32","1","1","1","0","3.1 %","50.0 %",".100",".154",".100",".156",".200",".159","1","0.0","-4.4","-0.4","-0.4"
