"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Cardinals","13","43","2","11","11","2","14.0 %","11.6 %",".297",".433",".405",".488",".703",".489","210","0.0","6.2","0.7","0.8"
"Orioles","15","41","2","8","8","0","4.9 %","19.5 %",".237",".483",".421",".439",".658",".445","190","-0.1","4.3","-0.5","0.5"
"Astros","14","39","2","11","10","0","15.4 %","15.4 %",".281",".333",".313",".421",".594",".414","169","-0.1","3.3","-0.1","0.4"
"Pirates","15","40","0","9","8","2","7.5 %","20.0 %",".235",".444",".353",".410",".588",".409","151","0.3","2.9","-0.2","0.4"
"Reds","17","42","3","8","8","2","4.8 %","26.2 %",".297",".333",".297",".357",".595",".388","140","0.4","2.5","0.2","0.4"
"Royals","16","44","3","9","7","1","13.6 %","29.5 %",".316",".273",".237",".341",".553",".369","132","0.2","1.9","-0.3","0.3"
"Nationals","16","49","1","7","5","3","8.2 %","12.2 %",".111",".342",".311",".367",".422",".341","112","0.4","0.9","0.3","0.3"
"Diamondbacks","16","40","2","5","4","2","10.0 %","27.5 %",".222",".304",".250",".325",".472",".336","108","0.4","0.7","0.5","0.2"
"Indians","16","45","4","8","8","1","13.3 %","11.1 %",".368",".138",".211",".318",".579",".349","117","0.0","0.7","0.2","0.2"
"Athletics","16","37","2","4","4","0","10.8 %","18.9 %",".281",".217",".219",".324",".500",".345","121","-0.1","0.8","0.1","0.2"
"Yankees","15","36","3","5","5","1","2.8 %","33.3 %",".294",".263",".235",".278",".529",".331","110","0.2","0.5","0.3","0.2"
"Brewers","16","39","1","2","2","1","15.4 %","23.1 %",".188",".261",".219",".333",".406",".316","95","0.2","-0.2","0.4","0.1"
"Twins","13","36","2","7","7","0","16.7 %","27.8 %",".276",".176",".172",".333",".448",".335","112","-0.1","0.3","-0.2","0.1"
"Padres","15","32","1","3","3","1","15.6 %","21.9 %",".231",".222",".192",".323",".423",".320","94","0.1","-0.2","0.5","0.1"
"Rays","13","36","0","3","3","0","5.6 %","19.4 %",".061",".370",".303",".333",".364",".299","88","0.1","-0.5","0.1","0.1"
"Giants","16","39","1","5","5","0","10.3 %","12.8 %",".152",".250",".242",".333",".394",".313","97","-0.4","-0.7","0.1","0.1"
"Angels","13","35","2","2","2","0","14.3 %","22.9 %",".214",".111",".143",".314",".357",".300","93","0.0","-0.6","-0.2","0.0"
"Cubs","19","43","3","5","5","0","7.0 %","32.6 %",".231",".182",".179",".256",".410",".281","73","0.1","-1.6","0.4","0.0"
"Rockies","16","40","2","4","3","0","12.5 %","35.0 %",".200",".263",".200",".300",".400",".301","75","0.0","-1.7","0.3","0.0"
"White Sox","15","36","0","2","2","0","11.1 %","22.2 %",".036",".250",".179",".343",".214",".275","78","0.0","-1.1","-0.4","0.0"
"Mets","14","35","0","1","1","0","8.6 %","20.0 %",".032",".292",".226",".314",".258",".264","65","0.0","-1.7","0.0","-0.1"
"Dodgers","14","35","1","1","1","0","8.6 %","34.3 %",".194",".222",".161",".257",".355",".264","65","-0.4","-2.1","0.3","-0.1"
"Tigers","12","37","0","4","4","1","2.7 %","18.9 %",".083",".310",".250",".270",".333",".258","62","0.1","-2.0","0.0","-0.1"
"Braves","12","32","2","2","2","0","6.3 %","37.5 %",".233",".063",".100",".156",".333",".202","25","0.1","-3.4","0.4","-0.2"
"Marlins","14","29","0","3","3","0","3.4 %","34.5 %",".071",".333",".214",".241",".286",".228","44","-0.5","-2.8","-0.2","-0.2"
"Mariners","12","27","1","3","3","0","0.0 %","22.2 %",".154",".150",".154",".148",".308",".181","16","0.1","-3.1","-0.2","-0.2"
"Blue Jays","12","35","0","1","1","0","8.6 %","22.9 %",".094",".208",".156",".229",".250",".213","34","-0.1","-3.4","-0.3","-0.2"
"Red Sox","15","34","1","1","1","0","8.8 %","26.5 %",".097",".143",".129",".206",".226",".195","18","-0.1","-4.0","0.2","-0.3"
"Phillies","13","31","1","2","2","0","3.2 %","25.8 %",".100",".143",".133",".161",".233",".169","4","-0.4","-4.7","0.4","-0.3"
"Rangers","12","34","0","0","0","1","11.8 %","23.5 %",".000",".048",".034",".176",".034",".111","-24","0.2","-6.1","-0.3","-0.5"
