"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Padres","14","48","2","11","10","0","4.2 %","20.8 %",".256",".469",".395",".426",".651",".441","172","-0.2","4.4","0.7","0.6"
"Rockies","15","46","3","11","11","1","6.5 %","13.0 %",".279",".324",".326",".370",".605",".402","139","0.2","2.3","0.2","0.4"
"Angels","14","37","2","6","5","1","5.4 %","10.8 %",".286",".310",".314",".351",".600",".382","151","0.1","2.4","-0.1","0.4"
"Twins","12","37","1","8","8","0","8.1 %","21.6 %",".333",".360",".303",".351",".636",".393","151","0.0","2.2","0.0","0.3"
"White Sox","15","35","2","6","6","0","5.7 %","28.6 %",".242",".333",".273",".314",".515",".344","120","0.0","0.8","-0.3","0.2"
"Brewers","15","40","1","6","6","0","7.5 %","35.0 %",".135",".409",".270",".325",".405",".313","93","0.0","-0.5","0.5","0.1"
"Red Sox","14","41","1","4","4","1","17.1 %","24.4 %",".091",".304",".242",".366",".333",".304","85","0.2","-1.0","0.0","0.0"
"Cardinals","15","38","0","1","1","2","7.9 %","34.2 %",".000",".429",".265",".324",".265",".267","62","0.4","-1.7","0.2","0.0"
"Braves","16","37","0","2","2","0","2.7 %","18.9 %",".000",".345",".278",".297",".278",".254","54","0.0","-2.3","0.3","-0.1"
"Astros","13","36","1","2","2","0","0.0 %","19.4 %",".118",".259",".235",".250",".353",".253","58","-0.1","-2.1","-0.1","-0.1"
"Rays","13","34","1","3","3","0","5.9 %","26.5 %",".094",".273",".219",".265",".313",".251","59","-0.4","-2.3","0.0","-0.1"
"Blue Jays","14","35","0","2","2","0","8.6 %","31.4 %",".094",".286",".188",".257",".281",".238","49","0.0","-2.6","-0.2","-0.1"
"Mets","12","28","1","1","1","0","3.6 %","32.1 %",".148",".176",".148",".179",".296",".199","27","0.0","-2.9","0.3","-0.2"
"Royals","13","33","0","1","1","0","3.0 %","36.4 %",".188",".250",".156",".182",".344",".214","38","0.0","-3.2","0.2","-0.2"
"Nationals","13","31","0","2","0","0","6.5 %","35.5 %",".000",".278",".172",".226",".172",".185","12","0.0","-3.9","0.2","-0.3"
"Reds","16","31","0","0","0","1","3.2 %","32.3 %",".000",".200",".133",".161",".133",".134","-18","0.1","-5.1","0.3","-0.4"
