"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Rangers","12","56","5","16","14","0","14.3 %","10.7 %",".362",".432",".447",".518",".809",".533","233","0.0","9.6","-0.7","1.1"
"Athletics","13","50","5","17","16","0","10.0 %","16.0 %",".455",".355",".364",".440",".818",".503","225","0.0","8.0","0.1","1.0"
"Brewers","14","50","4","11","11","1","14.0 %","28.0 %",".385",".409",".333",".460",".718",".472","198","0.2","6.4","0.3","0.8"
"Indians","15","47","2","14","13","0","17.0 %","12.8 %",".216",".414",".378",".511",".595",".463","193","-0.4","5.1","0.3","0.7"
"Twins","11","45","4","11","10","0","2.2 %","22.2 %",".326",".414",".372",".400",".698",".451","188","0.0","4.9","0.1","0.6"
"Braves","14","42","1","10","10","0","14.3 %","9.5 %",".147",".433",".412",".488",".559",".428","171","0.0","3.8","0.3","0.5"
"Nationals","18","40","1","7","6","1","12.5 %","20.0 %",".171",".423",".343",".425",".514",".393","139","0.2","2.2","0.0","0.3"
"Reds","15","38","1","4","3","1","7.9 %","13.2 %",".114",".379",".343",".395",".457",".366","126","0.1","1.3","0.3","0.3"
"Orioles","14","40","2","7","7","1","10.0 %","15.0 %",".194",".286",".278",".350",".472",".349","118","0.2","1.0","-0.5","0.2"
"Mariners","15","36","4","6","6","0","0.0 %","19.4 %",".371",".167",".229",".250",".600",".342","119","0.0","0.8","-0.5","0.1"
"Mets","17","40","1","6","6","0","5.0 %","25.0 %",".132",".370",".289",".325",".421",".318","102","-0.1","-0.1","0.1","0.1"
"Padres","15","32","2","4","4","0","9.4 %","28.1 %",".231",".200",".192",".323",".423",".322","97","-0.1","-0.4","0.5","0.1"
"Royals","15","36","0","1","1","0","5.6 %","16.7 %",".063",".333",".281",".333",".344",".295","84","-0.1","-1.0","0.1","0.0"
"Cardinals","17","35","2","2","2","0","11.4 %","17.1 %",".194",".174",".194",".286",".387",".289","80","0.0","-1.0","0.2","0.0"
"White Sox","13","38","0","4","4","1","7.9 %","23.7 %",".030",".400",".303",".351",".333",".290","88","-0.2","-1.0","-0.5","0.0"
"Tigers","15","35","1","3","3","0","5.7 %","25.7 %",".152",".261",".212",".257",".364",".263","61","-0.5","-2.3","-0.3","-0.1"
"Pirates","15","38","1","3","2","0","2.6 %","15.8 %",".108",".233",".216",".237",".324",".239","49","0.0","-2.8","-0.3","-0.2"
"Phillies","16","34","1","3","3","0","2.9 %","20.6 %",".129",".125",".129",".176",".258",".185","13","0.0","-4.1","0.2","-0.3"
"Blue Jays","12","34","1","2","1","2","11.8 %","8.8 %",".103",".040",".069",".182",".172",".153","-4","0.4","-4.5","-0.1","-0.3"
"Cubs","12","32","0","2","2","0","3.1 %","40.6 %",".065",".222",".129",".156",".194",".152","-7","0.0","-4.8","0.3","-0.3"
