"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Twins","15","53","6","18","18","0","11.3 %","9.4 %",".500",".361",".413",".472",".913",".544","249","0.0","10.0","0.0","1.2"
"Pirates","15","43","4","7","7","1","9.3 %","18.6 %",".351",".320",".324",".405",".676",".441","173","0.1","4.1","-0.2","0.5"
"Astros","13","45","1","7","7","0","13.3 %","8.9 %",".216",".353",".351",".422",".568",".405","159","-0.1","3.3","0.3","0.5"
"Giants","13","41","2","8","8","0","12.2 %","26.8 %",".286",".391",".314",".390",".600",".402","154","-0.5","2.4","0.6","0.4"
"Nationals","11","39","1","5","5","1","12.8 %","17.9 %",".182",".400",".333",".421",".515",".390","133","-0.3","1.3","0.3","0.3"
"Angels","13","34","2","6","6","1","8.8 %","20.6 %",".310",".238",".241",".324",".552",".355","128","0.1","1.2","0.0","0.2"
"Cardinals","12","44","1","8","8","0","13.6 %","15.9 %",".158",".300",".263",".364",".421",".340","113","0.0","0.7","0.2","0.2"
"Indians","13","34","2","4","4","1","11.8 %","5.9 %",".267",".192",".233",".324",".500",".344","115","0.2","0.7","0.2","0.2"
"White Sox","10","20","1","4","4","1","5.0 %","10.0 %",".211",".375",".368",".400",".579",".410","166","-0.2","1.4","-0.1","0.2"
"Braves","16","39","2","4","4","0","12.8 %","20.5 %",".242",".250",".242",".333",".485",".340","111","0.0","0.4","0.2","0.2"
"Phillies","12","35","1","2","1","0","14.3 %","11.4 %",".167",".200",".200",".314",".367",".298","87","0.0","-0.9","0.5","0.1"
"Athletics","13","34","2","4","4","1","0.0 %","32.4 %",".206",".286",".235",".235",".441",".278","78","0.2","-1.0","0.2","0.0"
"Padres","16","39","0","2","2","0","12.8 %","33.3 %",".059",".381",".235",".333",".294",".285","78","-0.2","-1.4","0.4","0.0"
"Diamondbacks","14","38","2","5","5","0","7.9 %","26.3 %",".242",".190",".182",".270",".424",".293","73","0.0","-1.4","0.4","0.0"
"Red Sox","14","36","1","3","2","1","13.9 %","8.3 %",".129",".148",".161",".278",".290",".256","56","0.2","-2.1","0.0","-0.1"
"Rockies","15","38","0","1","1","0","5.3 %","34.2 %",".111",".391",".250",".289",".361",".278","56","0.0","-2.3","0.1","-0.1"
"Blue Jays","10","19","0","1","1","0","10.5 %","21.1 %",".059",".231",".176",".263",".235",".228","47","-0.1","-1.6","-0.1","-0.1"
"Marlins","14","33","1","2","2","1","12.1 %","30.3 %",".103",".222",".172",".273",".276",".234","43","0.1","-2.5","0.4","-0.1"
"Brewers","17","43","0","3","3","1","9.3 %","23.3 %",".105",".286",".211",".302",".316",".255","52","0.1","-2.8","0.3","-0.1"
"Royals","11","36","0","3","3","0","5.6 %","25.0 %",".059",".320",".235",".278",".294",".251","54","-0.5","-2.8","0.2","-0.1"
"Reds","14","33","1","4","3","0","3.0 %","24.2 %",".097",".273",".226",".250",".323",".245","45","-0.1","-2.8","0.2","-0.1"
"Mariners","16","38","0","4","3","0","0.0 %","36.8 %",".026",".417",".263",".263",".289",".238","52","0.0","-2.6","-0.5","-0.2"
"Dodgers","13","36","0","0","0","0","5.6 %","25.0 %",".000",".250",".182",".250",".182",".203","28","0.0","-3.6","0.4","-0.2"
"Rangers","15","35","0","2","2","0","5.7 %","17.1 %",".031",".231",".188",".257",".219",".219","27","0.0","-3.5","-0.4","-0.3"
"Yankees","17","40","0","1","0","0","5.0 %","37.5 %",".000",".348",".211",".250",".211",".208","28","-0.1","-4.0","-0.2","-0.3"
"Rays","15","40","2","2","2","0","0.0 %","30.0 %",".175",".154",".150",".150",".325",".193","22","0.1","-4.2","-0.1","-0.3"
"Cubs","15","29","1","2","1","0","0.0 %","27.6 %",".103",".150",".138",".138",".241",".157","-3","0.0","-4.2","0.1","-0.3"
"Tigers","15","33","0","1","0","0","6.1 %","18.2 %",".032",".200",".161",".212",".194",".184","14","-0.1","-4.1","-0.4","-0.3"
"Mets","14","29","0","0","0","0","10.3 %","31.0 %",".038",".059",".038",".138",".077",".113","-29","-0.1","-5.2","0.1","-0.4"
"Orioles","13","31","1","1","1","0","9.7 %","29.0 %",".107",".000",".036",".129",".143",".129","-20","0.0","-5.3","-0.4","-0.4"
