"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Reds","10.55","3.38","3.13","0.00","29.8 %","9.5 %","20.2 %",".197","1.08",".294","78.3 %","47","44","76","2.11","2.00","0.11","3.39","3.55"
"Giants","11.15","3.52","3.17","0.59","32.2 %","10.2 %","22.0 %",".151","0.91",".212","79.4 %","52","66","80","2.35","2.76","-0.41","3.60","3.44"
"Marlins","15.07","3.77","4.00","1.26","39.3 %","9.8 %","29.5 %",".222","1.26",".357","74.1 %","105","73","64","4.40","3.14","1.25","2.86","2.74"
"Diamondbacks","8.61","2.35","3.67","0.39","23.7 %","6.5 %","17.2 %",".173","0.87",".224","89.4 %","27","78","102","1.17","3.43","-2.26","4.51","3.74"
"Royals","10.58","4.38","2.42","0.73","26.9 %","11.1 %","15.7 %",".253","1.46",".344","81.9 %","70","78","85","3.28","3.50","-0.21","3.90","4.01"
"Athletics","10.87","2.96","3.67","1.32","28.5 %","7.8 %","20.7 %",".245","1.28",".319","79.0 %","81","85","89","3.62","3.80","-0.18","4.08","3.57"
"Red Sox","10.87","4.21","2.58","1.05","29.0 %","11.2 %","17.8 %",".287","1.52",".400","75.4 %","94","85","93","4.56","3.84","0.72","4.26","3.92"
"Pirates","10.69","4.50","2.38","1.13","23.5 %","9.9 %","13.6 %",".370","2.19",".481","59.0 %","209","89","120","9.00","3.96","5.04","5.32","4.40"
"Cubs","10.43","1.23","8.50","1.84","27.0 %","3.2 %","23.8 %",".311","1.43",".390","77.4 %","98","89","72","4.30","3.96","0.33","3.20","2.98"
"Astros","8.35","3.93","2.13","0.98","23.3 %","11.0 %","12.3 %",".200","1.15",".239","65.9 %","88","91","96","3.93","4.09","-0.16","4.40","4.39"
"Braves","11.41","6.85","1.67","0.76","28.6 %","17.1 %","11.4 %",".209","1.52",".296","79.0 %","51","95","104","2.28","4.19","-1.90","4.60","4.79"
"Rockies","8.36","3.86","2.17","0.96","20.6 %","9.5 %","11.1 %",".277","1.54",".337","80.9 %","76","91","106","3.86","4.25","-0.39","4.70","4.48"
"Mets","8.14","3.43","2.38","1.29","21.1 %","8.9 %","12.2 %",".207","1.19",".233","62.5 %","109","100","109","4.71","4.40","0.31","4.92","4.46"
"Rays","9.22","4.17","2.21","1.32","23.2 %","10.5 %","12.7 %",".280","1.56",".345","72.4 %","118","103","100","5.27","4.53","0.74","4.57","4.43"
"Phillies","9.64","4.24","2.27","1.16","23.8 %","10.5 %","13.3 %",".264","1.50",".333","74.0 %","105","100","111","4.63","4.54","0.09","4.92","4.38"
"Yankees","9.91","4.78","2.07","1.37","25.2 %","12.2 %","13.0 %",".260","1.52",".328","70.6 %","119","100","101","5.47","4.70","0.77","4.61","4.42"
"Nationals","9.18","4.32","2.13","1.08","23.6 %","11.1 %","12.5 %",".180","1.14",".214","72.9 %","96","104","106","4.32","4.71","-0.39","4.71","4.35"
"Blue Jays","7.77","3.33","2.33","1.48","21.9 %","9.4 %","12.5 %",".172","0.99",".177","87.0 %","64","102","110","2.96","4.73","-1.78","5.05","4.47"
"Cardinals","11.57","2.57","4.50","2.14","33.3 %","7.4 %","25.9 %",".151","0.81",".146","100.0 %","61","113","85","2.57","4.88","-2.31","3.77","3.07"
"Indians","7.85","3.93","2.00","1.47","18.0 %","9.0 %","9.0 %",".333","1.91",".387","68.2 %","143","107","110","6.87","4.90","1.97","5.06","4.76"
"Tigers","9.64","5.79","1.67","1.45","21.7 %","13.0 %","8.7 %",".316","1.98",".393","62.1 %","176","113","113","8.20","5.25","2.95","5.19","4.87"
"Padres","7.91","1.40","5.67","2.33","23.9 %","4.2 %","19.7 %",".191","0.83",".174","100.0 %","66","120","90","2.79","5.28","-2.49","3.98","3.64"
"White Sox","7.58","1.89","4.00","1.89","20.5 %","5.1 %","15.4 %",".211","1.00",".216","85.4 %","84","116","124","3.79","5.37","-1.58","5.67","4.36"
"Twins","7.66","3.22","2.38","2.01","18.8 %","7.9 %","10.9 %",".272","1.48",".294","63.0 %","112","122","106","5.24","5.63","-0.39","4.86","4.60"
"Orioles","8.59","3.38","2.55","2.15","20.9 %","8.2 %","12.7 %",".281","1.53",".314","64.5 %","137","120","111","6.44","5.74","0.71","5.08","4.41"
"Rangers","6.58","4.50","1.46","1.73","16.1 %","11.0 %","5.1 %",".298","1.69",".325","68.4 %","117","123","122","5.88","5.87","0.02","5.59","5.41"
"Angels","10.84","6.42","1.69","1.99","25.9 %","15.3 %","10.6 %",".234","1.62",".280","77.6 %","113","130","117","5.09","5.97","-0.88","5.34","4.85"
"Brewers","8.78","7.09","1.24","1.69","20.8 %","16.8 %","4.0 %",".250","1.76",".288","72.5 %","129","136","127","5.74","6.06","-0.33","5.64","5.64"
"Dodgers","9.95","2.84","3.50","2.84","26.6 %","7.6 %","19.0 %",".243","1.21",".256","73.9 %","147","150","109","6.16","6.53","-0.37","4.83","3.76"
"Mariners","9.42","3.77","2.50","3.14","22.4 %","9.0 %","13.4 %",".300","1.67",".325","72.2 %","156","158","108","6.91","7.12","-0.21","4.95","4.34"
