"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Giants","10.59","1.71","6.20","0.68","30.4 %","4.9 %","25.5 %",".206","0.95",".281","72.1 %","73","57","64","3.08","2.42","0.66","2.86","2.82"
"Padres","9.88","2.96","3.33","0.33","28.9 %","8.7 %","20.2 %",".160","0.88",".222","93.2 %","15","59","85","0.66","2.59","-1.93","3.79","3.55"
"Phillies","8.37","3.04","2.75","0.00","23.7 %","8.6 %","15.1 %",".181","0.97",".246","92.0 %","17","57","91","0.76","2.62","-1.86","4.05","4.00"
"Diamondbacks","12.60","4.68","2.69","0.72","33.3 %","12.4 %","21.0 %",".209","1.28",".315","69.5 %","98","71","94","4.32","3.13","1.19","4.16","3.62"
"Rays","9.25","2.59","3.57","0.74","24.3 %","6.8 %","17.5 %",".253","1.27",".324","71.9 %","91","73","100","4.07","3.21","0.85","4.60","3.90"
"Red Sox","10.80","4.95","2.18","0.45","25.5 %","11.7 %","13.8 %",".256","1.60",".351","66.5 %","103","72","98","4.95","3.26","1.69","4.50","4.24"
"Blue Jays","10.17","2.35","4.33","1.17","28.3 %","6.5 %","21.7 %",".221","1.09",".281","76.9 %","76","74","83","3.52","3.43","0.09","3.81","3.51"
"White Sox","6.75","3.12","2.17","0.52","20.3 %","9.4 %","10.9 %",".138","0.81",".159","87.3 %","34","76","95","1.56","3.50","-1.94","4.36","4.34"
"Royals","8.17","4.62","1.77","0.36","19.7 %","11.1 %","8.6 %",".265","1.58",".333","73.9 %","83","82","102","3.91","3.69","0.22","4.67","4.76"
"Tigers","11.32","2.61","4.33","1.45","30.7 %","7.1 %","23.6 %",".222","1.13",".288","62.1 %","106","81","69","4.94","3.76","1.17","3.14","3.18"
"Cardinals","7.76","2.48","3.13","0.93","20.5 %","6.6 %","13.9 %",".250","1.24",".298","74.0 %","92","89","107","4.03","3.87","0.17","4.79","4.31"
"Dodgers","10.34","3.45","3.00","1.15","26.5 %","8.8 %","17.7 %",".246","1.34",".317","67.7 %","82","90","94","3.45","3.92","-0.47","4.16","3.84"
"Twins","10.29","3.21","3.20","1.29","24.8 %","7.8 %","17.1 %",".339","1.79",".439","66.1 %","138","86","97","6.43","3.96","2.46","4.45","3.98"
"Astros","10.06","2.12","4.75","1.59","27.1 %","5.7 %","21.4 %",".212","1.06",".250","87.0 %","59","88","63","2.65","3.98","-1.33","2.85","2.97"
"Brewers","11.03","4.35","2.53","1.16","29.2 %","11.5 %","17.7 %",".202","1.23",".264","74.9 %","92","89","93","4.06","3.99","0.08","4.11","3.92"
"Rangers","10.07","2.75","3.67","1.37","29.0 %","7.9 %","21.1 %",".188","0.97",".227","100.0 %","36","85","76","1.83","4.03","-2.20","3.46","3.29"
"Athletics","5.79","4.50","1.29","0.32","14.4 %","11.2 %","3.2 %",".257","1.50",".300","72.8 %","94","92","129","4.18","4.11","0.07","5.92","5.56"
"Angels","9.32","5.02","1.86","0.96","22.7 %","12.2 %","10.5 %",".298","1.75",".380","66.2 %","138","92","100","6.21","4.20","2.02","4.56","4.65"
"Yankees","9.99","4.05","2.47","1.35","26.2 %","10.6 %","15.6 %",".224","1.29",".277","81.1 %","76","94","96","3.51","4.38","-0.87","4.40","4.12"
"Indians","6.00","3.43","1.75","0.86","16.1 %","9.2 %","6.9 %",".244","1.29",".274","91.3 %","43","95","124","2.14","4.40","-2.26","5.82","5.19"
"Cubs","7.13","4.50","1.58","0.75","19.4 %","12.2 %","7.1 %",".179","1.13",".206","80.2 %","69","101","134","3.00","4.46","-1.46","5.95","5.27"
"Orioles","8.00","4.75","1.68","1.00","20.1 %","12.0 %","8.2 %",".239","1.44",".284","76.5 %","90","97","111","4.25","4.63","-0.38","5.06","4.94"
"Pirates","7.34","3.82","1.92","1.17","19.2 %","10.0 %","9.2 %",".211","1.21",".235","69.8 %","109","110","121","4.70","4.84","-0.15","5.35","4.82"
"Nationals","9.49","5.11","1.86","1.46","22.8 %","12.3 %","10.5 %",".280","1.70",".343","79.7 %","106","109","118","4.74","4.92","-0.17","5.23","4.76"
"Braves","7.53","4.40","1.71","1.26","20.3 %","11.9 %","8.5 %",".196","1.19",".216","79.0 %","85","115","120","3.77","5.03","-1.26","5.30","4.94"
"Mets","8.05","4.74","1.70","1.42","20.7 %","12.2 %","8.5 %",".239","1.42",".275","75.6 %","103","120","135","4.26","5.21","-0.95","5.99","5.10"
"Mariners","8.31","2.42","3.43","2.08","23.1 %","6.7 %","16.4 %",".188","0.96",".182","79.6 %","55","118","89","2.42","5.29","-2.87","4.05","3.74"
"Marlins","8.10","2.70","3.00","2.16","20.0 %","6.7 %","13.3 %",".271","1.44",".294","76.1 %","116","126","120","4.86","5.43","-0.57","5.30","4.54"
"Rockies","7.82","4.62","1.69","2.13","18.0 %","10.7 %","7.4 %",".299","1.78",".329","57.0 %","176","135","141","8.88","6.33","2.55","6.24","5.25"
"Reds","9.90","6.75","1.47","2.25","23.4 %","16.0 %","7.5 %",".231","1.65",".255","59.3 %","130","147","122","5.85","6.66","-0.81","5.40","5.17"
