"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Yankees","9.00","3.30","2.73","0.00","25.0 %","9.2 %","15.8 %",".213","1.13",".295","91.4 %","20","52","88","0.90","2.41","-1.51","4.01","3.97"
"Tigers","10.69","0.56","19.00","1.13","32.2 %","1.7 %","30.5 %",".175","0.69",".222","76.1 %","24","62","65","1.13","2.84","-1.71","2.95","2.54"
"Marlins","9.00","3.43","2.63","0.43","21.0 %","8.0 %","13.0 %",".304","1.71",".386","66.5 %","133","69","104","5.57","2.98","2.60","4.63","4.32"
"Royals","9.00","4.00","2.25","0.33","23.3 %","10.3 %","12.9 %",".243","1.37",".320","76.5 %","64","70","94","3.00","3.14","-0.14","4.28","4.14"
"White Sox","6.16","1.89","3.25","0.47","18.6 %","5.7 %","12.9 %",".152","0.74",".173","55.6 %","63","68","84","2.84","3.16","-0.32","3.84","3.85"
"Brewers","9.82","3.16","3.11","1.05","25.2 %","8.1 %","17.1 %",".265","1.40",".338","69.2 %","95","80","92","4.21","3.60","0.60","4.10","3.89"
"Nationals","10.07","2.82","3.57","1.21","25.8 %","7.2 %","18.6 %",".258","1.34",".328","59.7 %","117","84","96","5.24","3.80","1.44","4.28","3.81"
"Blue Jays","9.95","3.55","2.80","1.07","24.6 %","8.8 %","15.8 %",".301","1.62",".389","79.4 %","82","83","92","3.91","3.85","0.06","4.27","4.05"
"Athletics","8.13","2.60","3.13","0.98","21.2 %","6.8 %","14.4 %",".250","1.27",".300","67.1 %","102","88","112","4.55","3.90","0.65","5.15","4.36"
"Rangers","10.13","3.68","2.75","1.23","25.4 %","9.2 %","16.2 %",".288","1.57",".370","64.4 %","116","83","109","5.83","3.96","1.87","4.97","4.24"
"Diamondbacks","7.39","4.55","1.63","0.85","18.8 %","11.6 %","7.3 %",".279","1.58",".333","76.4 %","97","98","109","4.26","4.32","-0.06","4.85","4.98"
"Orioles","8.18","4.91","1.67","0.82","22.2 %","13.3 %","8.9 %",".169","1.14",".200","77.6 %","61","91","126","2.86","4.35","-1.49","5.79","5.13"
"Red Sox","11.09","5.79","1.92","0.96","26.1 %","13.6 %","12.5 %",".257","1.66",".347","62.9 %","140","97","124","6.75","4.39","2.36","5.66","4.63"
"Angels","11.02","3.58","3.08","1.65","28.2 %","9.2 %","19.0 %",".227","1.29",".280","72.3 %","104","97","88","4.68","4.44","0.25","4.00","3.73"
"Rockies","9.11","2.36","3.86","1.69","23.3 %","6.0 %","17.2 %",".259","1.31",".303","69.0 %","100","96","87","5.06","4.53","0.54","3.88","3.70"
"Rays","7.50","4.00","1.88","1.00","18.9 %","10.1 %","8.8 %",".243","1.39",".283","80.2 %","79","104","114","3.50","4.58","-1.08","5.23","4.89"
"Mariners","9.00","5.54","1.63","1.04","21.3 %","13.1 %","8.2 %",".248","1.62",".303","67.0 %","94","104","111","4.15","4.68","-0.52","5.09","4.93"
"Braves","10.72","4.76","2.25","1.59","27.0 %","12.0 %","15.0 %",".207","1.32",".250","78.7 %","89","111","111","3.97","4.85","-0.88","4.92","4.27"
"Twins","9.70","2.53","3.83","2.11","24.2 %","6.3 %","17.9 %",".292","1.50",".344","72.0 %","127","107","82","5.91","4.95","0.96","3.77","3.78"
"Cardinals","11.51","7.97","1.44","1.33","26.8 %","18.6 %","8.3 %",".241","1.82",".320","70.1 %","146","121","112","6.20","5.23","0.97","4.98","5.23"
"Cubs","7.36","2.45","3.00","1.96","18.5 %","6.2 %","12.4 %",".276","1.42",".298","68.6 %","123","118","118","5.40","5.23","0.17","5.22","4.64"
"Indians","9.00","2.45","3.67","2.05","21.2 %","5.8 %","15.4 %",".302","1.59",".348","60.0 %","128","114","112","6.14","5.26","0.88","5.11","4.18"
"Astros","10.47","4.41","2.38","2.20","26.8 %","11.3 %","15.5 %",".222","1.35",".250","91.5 %","74","123","89","3.31","5.54","-2.23","4.06","4.07"
"Phillies","10.88","2.42","4.50","2.82","29.4 %","6.5 %","22.8 %",".256","1.25",".288","71.4 %","128","125","86","5.64","5.68","-0.03","3.83","3.38"
"Reds","7.94","1.99","4.00","2.38","20.8 %","5.2 %","15.6 %",".267","1.28",".281","74.1 %","124","126","92","5.56","5.68","-0.13","4.09","3.90"
"Giants","5.82","3.32","1.75","1.66","15.9 %","9.1 %","6.8 %",".231","1.20",".233","84.8 %","89","137","118","3.74","5.71","-1.97","5.23","5.02"
"Padres","10.03","2.70","3.71","2.70","24.3 %","6.5 %","17.8 %",".320","1.67",".373","58.2 %","181","132","85","7.71","5.79","1.93","3.76","3.77"
"Dodgers","7.97","5.31","1.50","2.21","18.0 %","12.0 %","6.0 %",".291","1.82",".317","68.8 %","169","154","139","7.08","6.71","0.38","6.15","5.28"
"Pirates","8.74","4.63","1.89","2.83","20.1 %","10.7 %","9.5 %",".292","1.71",".313","64.0 %","185","170","132","7.97","7.50","0.47","5.86","4.86"
"Mets","8.64","5.40","1.60","3.24","17.0 %","10.6 %","6.4 %",".402","2.58",".450","68.3 %","261","188","159","10.80","8.13","2.67","7.03","5.44"
