"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Giants","11.08","1.73","6.40","0.35","34.0 %","5.3 %","28.7 %",".146","0.69",".214","90.4 %","25","43","50","1.04","1.83","-0.79","2.25","2.48"
"Phillies","10.09","2.67","3.78","0.30","27.0 %","7.1 %","19.8 %",".248","1.25",".341","65.6 %","74","50","82","3.26","2.29","0.97","3.63","3.51"
"Rockies","9.00","3.86","2.33","0.43","25.6 %","11.0 %","14.6 %",".123","0.86",".157","78.3 %","42","66","97","2.14","3.12","-0.98","4.30","4.20"
"Brewers","9.64","3.09","3.13","0.77","26.6 %","8.5 %","18.1 %",".198","1.07",".254","81.1 %","61","72","88","2.70","3.21","-0.51","3.89","3.80"
"Astros","12.18","3.18","3.83","1.06","31.9 %","8.3 %","23.6 %",".200","1.12",".275","69.8 %","83","73","82","3.71","3.27","0.43","3.73","3.25"
"Dodgers","9.67","2.82","3.43","0.81","25.0 %","7.3 %","17.7 %",".241","1.25",".311","58.8 %","115","79","89","4.84","3.44","1.40","3.97","3.76"
"Cubs","7.88","6.19","1.27","0.00","20.6 %","16.2 %","4.4 %",".193","1.38",".256","86.4 %","36","79","111","1.69","3.53","-1.84","5.02","5.45"
"White Sox","7.64","3.57","2.14","0.51","21.7 %","10.1 %","11.6 %",".148","0.91",".178","76.9 %","45","78","102","2.04","3.61","-1.57","4.68","4.52"
"Twins","14.67","7.63","1.92","0.59","31.7 %","16.5 %","15.2 %",".297","2.09",".474","61.4 %","166","81","98","8.22","3.74","4.48","4.57","4.38"
"Rays","11.78","3.44","3.43","1.47","29.3 %","8.5 %","20.7 %",".280","1.53",".375","58.8 %","143","88","67","6.38","3.87","2.51","3.04","3.36"
"Diamondbacks","13.02","2.89","4.50","1.93","36.0 %","8.0 %","28.0 %",".232","1.18",".316","79.3 %","98","93","60","4.34","4.07","0.27","2.67","2.82"
"Pirates","11.74","2.93","4.00","1.76","29.4 %","7.4 %","22.1 %",".254","1.37",".325","95.2 %","68","93","100","2.93","4.13","-1.19","4.44","3.66"
"Mariners","10.80","4.68","2.31","1.08","26.3 %","11.4 %","14.9 %",".253","1.52",".333","61.5 %","138","93","109","6.12","4.17","1.95","5.00","4.32"
"Braves","10.88","6.04","1.80","0.81","26.0 %","14.4 %","11.5 %",".241","1.61",".328","68.2 %","118","97","116","5.24","4.24","0.99","5.13","4.69"
"Royals","9.00","2.45","3.67","1.64","23.9 %","6.5 %","17.4 %",".271","1.32",".322","73.8 %","104","101","101","4.91","4.53","0.38","4.61","3.94"
"Padres","10.73","4.44","2.42","1.48","26.9 %","11.1 %","15.7 %",".232","1.40",".290","61.2 %","130","104","84","5.55","4.57","0.98","3.74","3.93"
"Tigers","9.00","6.00","1.50","1.00","24.3 %","16.2 %","8.1 %",".194","1.33",".238","94.3 %","43","101","123","2.00","4.66","-2.66","5.65","5.20"
"Cardinals","12.38","3.75","3.30","1.88","32.7 %","9.9 %","22.8 %",".202","1.17",".255","78.3 %","106","108","93","4.50","4.67","-0.17","4.12","3.39"
"Athletics","9.17","5.09","1.80","1.02","22.8 %","12.7 %","10.1 %",".224","1.42",".277","74.4 %","103","105","129","4.58","4.69","-0.10","5.92","5.03"
"Indians","9.12","4.01","2.27","1.46","24.0 %","10.6 %","13.5 %",".228","1.30",".270","83.9 %","68","104","107","3.28","4.75","-1.47","4.90","4.38"
"Reds","9.93","4.37","2.27","1.59","26.9 %","11.8 %","15.1 %",".198","1.19",".231","80.4 %","88","108","88","3.97","4.89","-0.92","3.91","4.03"
"Yankees","11.57","3.31","3.50","2.20","31.3 %","9.0 %","22.4 %",".230","1.22",".278","97.2 %","72","105","76","3.31","4.93","-1.62","3.45","3.32"
"Angels","7.97","4.87","1.64","1.33","19.2 %","11.7 %","7.5 %",".277","1.67",".323","67.1 %","128","109","122","5.75","4.98","0.77","5.61","5.07"
"Nationals","9.00","6.75","1.33","0.75","20.0 %","15.0 %","5.0 %",".245","1.75",".306","60.2 %","139","109","137","6.75","5.05","1.70","6.28","5.50"
"Orioles","8.65","3.81","2.27","1.73","22.1 %","9.7 %","12.4 %",".250","1.38",".286","71.0 %","111","111","111","5.19","5.29","-0.10","5.09","4.50"
"Mets","9.09","4.96","1.83","1.65","22.0 %","12.0 %","10.0 %",".290","1.71",".348","74.1 %","133","123","123","5.51","5.33","0.18","5.44","4.82"
"Blue Jays","9.64","5.01","1.92","1.93","24.3 %","12.6 %","11.7 %",".250","1.50",".293","73.3 %","126","125","99","5.79","5.79","0.00","4.53","4.46"
"Rangers","7.56","3.78","2.00","1.62","19.4 %","9.7 %","9.7 %",".213","1.20",".227","80.8 %","86","123","121","4.32","5.85","-1.53","5.54","4.77"
"Red Sox","11.28","4.84","2.33","2.42","26.7 %","11.4 %","15.2 %",".264","1.61",".316","60.8 %","150","134","99","7.25","6.08","1.17","4.55","4.16"
"Marlins","8.13","4.55","1.79","2.28","20.7 %","11.6 %","9.1 %",".250","1.45",".264","84.3 %","117","152","134","4.88","6.54","-1.66","5.91","5.00"
