"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Cardinals","11.84","2.37","5.00","0.47","34.7 %","6.9 %","27.8 %",".164","0.84",".244","82.2 %","45","47","76","1.89","2.06","-0.16","3.36","2.88"
"Astros","9.18","2.70","3.40","0.00","26.2 %","7.7 %","18.5 %",".183","0.96",".256","81.3 %","36","46","82","1.62","2.07","-0.45","3.74","3.58"
"Rays","8.33","1.67","5.00","0.33","25.5 %","5.1 %","20.4 %",".141","0.67",".182","73.9 %","30","57","90","1.33","2.51","-1.18","4.09","3.58"
"Dodgers","10.31","4.42","2.33","0.00","26.3 %","11.3 %","15.0 %",".200","1.25",".286","66.7 %","94","58","87","3.93","2.56","1.37","3.86","3.96"
"Orioles","11.63","4.98","2.33","0.00","32.2 %","13.8 %","18.4 %",".178","1.15",".289","81.5 %","44","54","76","2.08","2.57","-0.49","3.49","3.80"
"Nationals","10.38","3.46","3.00","0.35","27.5 %","9.2 %","18.4 %",".245","1.31",".343","77.4 %","69","59","97","3.12","2.68","0.44","4.32","3.81"
"Reds","10.87","2.45","4.43","1.05","29.0 %","6.5 %","22.4 %",".260","1.29",".348","66.0 %","109","69","78","4.91","3.14","1.77","3.48","3.33"
"Braves","11.31","4.01","2.82","0.73","29.5 %","10.5 %","19.1 %",".226","1.30",".317","82.8 %","58","73","90","2.55","3.21","-0.66","4.01","3.74"
"Cubs","11.25","5.40","2.08","0.45","31.3 %","15.0 %","16.3 %",".182","1.20",".275","93.5 %","31","78","81","1.35","3.46","-2.11","3.61","4.03"
"Indians","8.68","5.79","1.50","0.00","22.5 %","15.0 %","7.5 %",".152","1.18",".208","91.7 %","18","77","106","0.96","3.54","-2.57","5.03","5.17"
"Brewers","10.07","2.52","4.00","1.14","28.0 %","7.0 %","21.0 %",".194","0.99",".242","67.7 %","88","81","67","3.89","3.62","0.27","2.98","3.01"
"Rangers","9.00","3.60","2.50","0.90","22.7 %","9.1 %","13.6 %",".250","1.40",".310","71.4 %","71","78","90","3.60","3.71","-0.11","4.10","4.15"
"White Sox","8.90","5.83","1.53","0.31","21.6 %","14.2 %","7.5 %",".237","1.57",".310","79.0 %","54","80","110","2.45","3.73","-1.27","5.05","5.08"
"Diamondbacks","10.29","3.86","2.67","0.86","27.0 %","10.1 %","16.9 %",".192","1.14",".250","73.3 %","87","85","95","3.86","3.74","0.12","4.20","3.84"
"Red Sox","10.72","3.97","2.70","1.19","29.7 %","11.0 %","18.7 %",".160","1.01",".196","74.5 %","58","86","84","2.78","3.88","-1.10","3.82","3.76"
"Yankees","9.95","2.84","3.50","1.42","28.8 %","8.2 %","20.6 %",".149","0.84",".163","76.3 %","62","86","88","2.84","4.00","-1.16","4.04","3.58"
"Blue Jays","8.26","5.08","1.63","0.64","22.4 %","13.8 %","8.6 %",".141","1.06",".169","85.1 %","34","88","111","1.59","4.10","-2.51","5.07","4.98"
"Marlins","10.34","4.60","2.25","1.15","24.0 %","10.7 %","13.3 %",".284","1.72",".362","53.7 %","192","95","89","8.04","4.11","3.93","3.97","4.23"
"Mets","9.25","5.18","1.79","0.74","25.0 %","14.0 %","11.0 %",".167","1.15",".211","88.2 %","54","96","119","2.22","4.20","-1.98","5.26","4.80"
"Angels","9.64","2.70","3.57","1.54","25.0 %","7.0 %","18.0 %",".228","1.20",".270","68.4 %","111","95","96","5.01","4.33","0.69","4.40","3.85"
"Athletics","7.65","4.50","1.70","0.90","17.5 %","10.3 %","7.2 %",".314","1.85",".373","71.0 %","131","100","134","5.85","4.46","1.39","6.15","5.21"
"Twins","10.06","2.65","3.80","1.59","25.7 %","6.8 %","18.9 %",".269","1.35",".333","62.5 %","125","98","92","5.82","4.51","1.32","4.20","3.68"
"Giants","10.01","3.64","2.75","1.52","24.8 %","9.0 %","15.8 %",".252","1.42",".309","70.3 %","123","110","107","5.16","4.60","0.56","4.75","4.11"
"Padres","11.31","3.28","3.44","1.82","27.7 %","8.0 %","19.6 %",".257","1.42",".323","83.3 %","103","106","101","4.38","4.67","-0.30","4.46","3.67"
"Rockies","7.15","4.37","1.64","1.19","18.0 %","11.0 %","7.0 %",".258","1.50",".294","77.2 %","79","102","113","3.97","4.80","-0.83","5.01","5.03"
"Pirates","9.00","4.29","2.10","1.71","22.8 %","10.9 %","12.0 %",".244","1.43",".281","73.8 %","99","116","107","4.29","5.12","-0.83","4.73","4.51"
"Phillies","8.62","1.15","7.50","2.30","22.1 %","2.9 %","19.1 %",".262","1.21",".283","69.4 %","104","114","82","4.60","5.19","-0.60","3.65","3.46"
"Tigers","9.17","5.09","1.80","1.53","20.0 %","11.1 %","8.9 %",".367","2.21",".448","58.7 %","186","111","111","9.17","5.25","3.92","5.18","4.82"
"Royals","7.23","1.93","3.75","2.41","19.5 %","5.2 %","14.3 %",".264","1.23",".269","76.5 %","113","131","111","5.30","5.89","-0.59","5.07","4.38"
"Mariners","11.37","3.79","3.00","2.84","28.9 %","9.6 %","19.3 %",".213","1.26",".222","57.7 %","128","135","88","5.68","6.06","-0.37","4.04","3.71"
