"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Blue Jays","8.31","2.67","3.11","0.30","24.4 %","7.8 %","16.5 %",".162","0.86",".211","74.2 %","39","60","86","1.78","2.79","-1.01","3.93","3.88"
"Cardinals","10.13","4.50","2.25","0.00","29.0 %","12.9 %","16.1 %",".115","0.88",".176","100.0 %","0","65","100","0.00","2.84","-2.84","4.46","4.13"
"Padres","11.57","1.93","6.00","0.96","32.1 %","5.4 %","26.8 %",".183","0.89",".246","83.3 %","60","65","75","2.57","2.89","-0.32","3.35","2.89"
"Giants","8.22","2.74","3.00","0.39","23.3 %","7.8 %","15.6 %",".183","0.96",".233","60.2 %","74","71","96","3.13","3.00","0.13","4.25","4.08"
"Cubs","12.15","5.40","2.25","0.34","31.0 %","13.8 %","17.2 %",".206","1.35",".317","74.5 %","69","70","88","3.04","3.14","-0.10","3.92","3.95"
"Pirates","10.48","5.08","2.06","0.32","26.8 %","13.0 %","13.8 %",".183","1.24",".257","68.3 %","96","76","97","4.13","3.36","0.77","4.30","4.27"
"Brewers","14.04","3.78","3.71","1.35","37.7 %","10.1 %","27.5 %",".195","1.14",".288","78.1 %","85","76","74","3.78","3.39","0.39","3.29","2.94"
"Rays","9.40","2.12","4.43","1.21","26.5 %","6.0 %","20.5 %",".200","0.98",".240","72.7 %","68","81","88","3.03","3.58","-0.55","4.04","3.57"
"Phillies","10.04","4.15","2.42","1.04","27.6 %","11.4 %","16.2 %",".237","1.31",".311","87.3 %","63","85","83","2.77","3.87","-1.10","3.67","4.02"
"Orioles","8.19","2.73","3.00","0.91","21.6 %","7.2 %","14.4 %",".259","1.28",".317","84.7 %","65","84","100","3.03","4.02","-0.99","4.59","4.22"
"Reds","9.87","4.67","2.11","1.04","27.5 %","13.0 %","14.5 %",".167","1.10",".205","80.3 %","58","90","107","2.60","4.08","-1.48","4.76","4.44"
"Yankees","9.00","2.25","4.00","1.41","24.1 %","6.0 %","18.1 %",".242","1.19",".287","71.9 %","79","88","90","3.66","4.09","-0.43","4.11","3.78"
"Dodgers","9.30","3.90","2.38","1.20","26.3 %","11.0 %","15.3 %",".152","0.97",".171","81.2 %","57","96","91","2.40","4.18","-1.78","4.04","4.07"
"White Sox","6.75","5.14","1.31","0.64","18.3 %","13.9 %","4.4 %",".182","1.21",".211","89.7 %","36","94","115","1.61","4.36","-2.75","5.28","5.39"
"Rockies","9.67","6.45","1.50","0.40","23.1 %","15.4 %","7.7 %",".217","1.52",".293","77.1 %","76","94","106","4.03","4.47","-0.44","4.78","4.85"
"Marlins","9.28","4.22","2.20","1.27","23.7 %","10.8 %","12.9 %",".232","1.36",".281","54.3 %","161","105","105","6.75","4.53","2.22","4.66","4.42"
"Athletics","8.69","3.72","2.33","1.55","24.8 %","10.6 %","14.2 %",".188","1.07",".206","79.2 %","77","107","91","3.41","4.77","-1.35","4.17","4.09"
"Mets","7.94","2.78","2.86","1.59","20.6 %","7.2 %","13.4 %",".225","1.19",".246","71.4 %","115","110","100","4.76","4.80","-0.04","4.44","4.18"
"Twins","10.29","2.14","4.80","2.14","27.0 %","5.6 %","21.4 %",".244","1.19",".283","80.0 %","101","109","88","4.71","5.02","-0.31","4.01","3.46"
"Angels","7.75","3.48","2.23","1.60","20.4 %","9.2 %","11.3 %",".227","1.25",".247","75.1 %","83","110","111","3.74","5.06","-1.31","5.10","4.62"
"Mariners","10.24","4.34","2.36","1.86","24.4 %","10.4 %","14.1 %",".275","1.62",".333","53.0 %","189","115","111","8.38","5.18","3.20","5.10","4.33"
"Braves","9.86","4.71","2.09","1.71","23.5 %","11.2 %","12.2 %",".291","1.71",".356","73.3 %","135","119","98","6.00","5.21","0.79","4.35","4.42"
"Royals","10.45","7.84","1.33","1.31","24.2 %","18.2 %","6.1 %",".247","1.84",".315","74.0 %","120","120","118","5.66","5.39","0.27","5.43","5.47"
"Astros","11.91","2.38","5.00","2.78","29.1 %","5.8 %","23.3 %",".302","1.54",".373","68.7 %","153","120","73","7.15","5.51","1.64","3.34","3.18"
"Rangers","9.40","5.46","1.72","1.82","23.7 %","13.7 %","9.9 %",".250","1.55",".293","75.1 %","96","119","119","4.85","5.67","-0.82","5.46","4.90"
"Indians","12.41","6.57","1.89","2.19","30.9 %","16.4 %","14.6 %",".178","1.38",".200","87.0 %","91","132","123","4.38","6.05","-1.67","5.63","4.53"
"Red Sox","8.13","6.10","1.33","1.74","18.0 %","13.5 %","4.5 %",".308","2.00",".354","68.4 %","138","136","148","6.68","6.15","0.53","6.78","5.69"
"Tigers","8.67","5.33","1.63","2.33","21.3 %","13.1 %","8.2 %",".274","1.67",".301","68.2 %","150","139","118","7.00","6.44","0.56","5.42","5.07"
"Diamondbacks","8.34","2.38","3.50","3.18","23.1 %","6.6 %","16.5 %",".235","1.15",".214","100.0 %","99","154","104","4.37","6.74","-2.38","4.61","4.06"
"Nationals","10.50","7.50","1.40","2.50","23.3 %","16.7 %","6.7 %",".297","2.06",".354","77.4 %","156","159","125","7.00","7.16","-0.16","5.54","5.34"
