"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Indians","13.17","3.95","3.33","0.66","32.8 %","9.8 %","23.0 %",".255","1.46",".382","75.3 %","82","56","77","3.95","2.56","1.40","3.50","3.34"
"Cardinals","9.12","1.09","8.33","0.73","25.8 %","3.1 %","22.7 %",".209","0.89",".266","67.6 %","69","68","89","2.92","2.97","-0.05","3.93","3.33"
"Athletics","11.50","2.50","4.60","1.00","30.7 %","6.7 %","24.0 %",".235","1.17",".326","64.4 %","79","73","86","3.50","3.27","0.23","3.92","3.19"
"Dodgers","8.64","3.78","2.29","0.54","24.6 %","10.8 %","13.9 %",".140","0.90",".175","89.0 %","26","80","97","1.08","3.51","-2.43","4.29","4.30"
"Nationals","7.80","3.60","2.17","0.60","19.7 %","9.1 %","10.6 %",".267","1.47",".326","68.0 %","94","78","111","4.20","3.55","0.65","4.94","4.74"
"Reds","12.84","5.75","2.23","0.89","33.7 %","15.1 %","18.6 %",".151","1.18",".214","89.6 %","49","78","82","2.21","3.56","-1.35","3.65","3.96"
"Royals","10.62","4.43","2.40","0.89","25.8 %","10.8 %","15.1 %",".268","1.57",".357","76.2 %","94","84","105","4.43","3.75","0.67","4.82","4.28"
"Pirates","8.25","4.13","2.00","0.38","22.0 %","11.0 %","11.0 %",".176","1.08",".226","94.4 %","26","86","115","1.13","3.80","-2.67","5.08","4.52"
"Tigers","7.20","3.60","2.00","0.72","17.1 %","8.6 %","8.6 %",".290","1.64",".341","65.5 %","93","83","112","4.32","3.85","0.47","5.12","4.89"
"Padres","11.37","2.84","4.00","1.42","27.2 %","6.8 %","20.4 %",".311","1.64",".411","55.3 %","180","88","88","7.67","3.88","3.80","3.90","3.58"
"Brewers","8.89","3.76","2.36","1.03","24.5 %","10.4 %","14.2 %",".232","1.25",".288","79.9 %","69","89","104","3.08","3.97","-0.90","4.61","4.30"
"Braves","7.85","3.77","2.08","0.94","20.7 %","9.9 %","10.7 %",".213","1.22",".250","72.3 %","49","95","122","2.20","4.19","-1.99","5.40","4.72"
"Red Sox","10.80","5.70","1.89","0.90","26.7 %","14.1 %","12.6 %",".202","1.40",".267","80.4 %","56","93","103","2.70","4.21","-1.51","4.70","4.52"
"Twins","7.00","5.50","1.27","0.50","15.1 %","11.8 %","3.2 %",".256","1.78",".299","49.0 %","102","90","115","5.00","4.21","0.79","5.37","5.43"
"Giants","8.02","2.95","2.71","1.27","22.6 %","8.3 %","14.3 %",".195","1.03",".218","89.9 %","60","101","103","2.53","4.25","-1.71","4.56","4.26"
"Rays","8.35","2.78","3.00","1.39","21.9 %","7.3 %","14.6 %",".218","1.14",".247","81.8 %","69","104","99","3.06","4.57","-1.51","4.53","4.06"
"Astros","8.49","1.54","5.50","1.93","22.5 %","4.1 %","18.4 %",".269","1.24",".303","65.2 %","130","105","88","5.79","4.76","1.03","4.02","3.69"
"Diamondbacks","8.57","3.00","2.86","1.71","22.2 %","7.8 %","14.4 %",".268","1.38",".310","57.4 %","146","112","109","6.43","4.93","1.50","4.82","4.30"
"Rangers","10.27","3.80","2.70","1.90","26.7 %","9.9 %","16.8 %",".233","1.31",".276","88.0 %","75","106","86","3.80","5.07","-1.27","3.92","3.93"
"Cubs","8.47","6.35","1.33","1.06","21.1 %","15.8 %","5.3 %",".254","1.65",".311","76.3 %","109","116","106","4.76","5.16","-0.39","4.68","5.05"
"Angels","9.21","3.49","2.64","1.91","22.0 %","8.3 %","13.6 %",".303","1.66",".357","78.8 %","120","116","102","5.40","5.30","0.10","4.65","4.20"
"White Sox","8.84","4.91","1.80","1.47","22.0 %","12.2 %","9.8 %",".243","1.47",".286","76.6 %","109","115","118","4.91","5.34","-0.43","5.38","4.80"
"Yankees","9.72","2.88","3.38","2.16","25.2 %","7.5 %","17.8 %",".237","1.24",".266","77.2 %","94","115","84","4.32","5.37","-1.05","3.85","3.61"
"Mariners","7.52","2.51","3.00","1.95","18.1 %","6.0 %","12.1 %",".292","1.52",".320","52.1 %","207","125","113","7.79","5.47","2.32","5.00","4.46"
"Phillies","8.27","3.31","2.50","2.20","18.3 %","7.3 %","11.0 %",".347","1.96",".393","58.4 %","213","129","129","9.37","5.85","3.52","5.71","4.84"
"Rockies","7.62","4.13","1.85","1.91","17.8 %","9.6 %","8.2 %",".317","1.80",".356","56.1 %","170","125","119","8.58","5.86","2.72","5.28","4.89"
"Marlins","7.16","3.86","1.86","2.20","17.1 %","9.2 %","7.9 %",".319","1.78",".346","59.8 %","197","142","126","8.27","6.09","2.17","5.59","5.09"
"Blue Jays","8.35","5.57","1.50","2.51","20.0 %","13.3 %","6.7 %",".305","1.82",".337","70.3 %","163","151","117","7.52","7.02","0.50","5.37","5.19"
"Orioles","8.80","4.85","1.81","2.73","19.6 %","10.8 %","8.8 %",".315","1.92",".348","56.0 %","194","147","121","9.10","7.02","2.08","5.56","4.91"
"Mets","7.66","5.64","1.36","3.22","17.8 %","13.1 %","4.7 %",".326","1.97",".338","68.1 %","214","189","136","8.87","8.18","0.68","6.02","5.51"
