"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Braves","12.05","0.83","14.50","0.00","34.5 %","2.4 %","32.1 %",".210","0.88",".327","75.0 %","47","21","52","2.08","0.95","1.12","2.33","2.29"
"Twins","14.83","3.80","3.90","0.38","40.6 %","10.4 %","30.2 %",".198","1.14",".348","78.1 %","49","38","61","2.28","1.74","0.55","2.78","2.69"
"Rays","13.50","3.03","4.45","0.28","36.0 %","8.1 %","27.9 %",".197","1.07",".319","84.7 %","37","43","62","1.65","1.90","-0.24","2.84","2.80"
"Athletics","11.51","1.99","5.80","0.40","31.9 %","5.5 %","26.4 %",".193","0.93",".283","79.7 %","53","52","80","2.38","2.29","0.09","3.64","2.98"
"Dodgers","11.63","3.75","3.10","0.00","30.1 %","9.7 %","20.4 %",".180","1.08",".276","83.3 %","45","54","87","1.88","2.38","-0.51","3.87","3.58"
"Astros","9.30","3.54","2.63","0.00","26.9 %","10.3 %","16.7 %",".101","0.74",".146","75.0 %","19","56","98","0.89","2.48","-1.59","4.53","4.01"
"Giants","12.62","3.52","3.58","0.59","32.3 %","9.0 %","23.3 %",".210","1.21",".311","74.6 %","77","62","69","3.23","2.63","0.60","3.08","3.18"
"Reds","8.01","3.26","2.45","0.59","23.5 %","9.6 %","13.9 %",".157","0.89",".192","91.6 %","26","79","106","1.19","3.58","-2.39","4.69","4.29"
"Diamondbacks","11.85","2.76","4.30","1.38","31.6 %","7.4 %","24.3 %",".210","1.10",".276","87.1 %","69","83","82","3.03","3.67","-0.64","3.63","3.17"
"Mets","11.19","3.47","3.22","1.16","30.2 %","9.4 %","20.8 %",".186","1.07",".241","87.2 %","36","84","89","1.54","3.69","-2.14","3.97","3.54"
"White Sox","12.07","2.86","4.22","1.59","32.8 %","7.8 %","25.0 %",".187","1.02",".234","81.8 %","70","82","68","3.18","3.78","-0.60","3.10","3.06"
"Phillies","10.86","4.18","2.60","1.11","27.1 %","10.4 %","16.7 %",".258","1.48",".341","73.7 %","101","86","87","4.45","3.89","0.56","3.89","3.94"
"Nationals","8.44","2.03","4.17","1.35","25.0 %","6.0 %","19.0 %",".151","0.75",".156","77.9 %","68","90","109","3.04","4.08","-1.04","4.81","3.95"
"Pirates","8.63","6.75","1.28","0.38","21.7 %","17.0 %","4.7 %",".218","1.54",".286","82.0 %","70","95","118","3.00","4.21","-1.21","5.25","5.49"
"Marlins","8.65","4.98","1.74","0.52","22.2 %","12.8 %","9.4 %",".185","1.22",".236","79.7 %","50","98","115","2.10","4.23","-2.14","5.10","4.84"
"Orioles","7.43","3.38","2.20","1.01","20.8 %","9.4 %","11.3 %",".185","1.01",".209","78.4 %","65","96","109","3.04","4.60","-1.56","5.00","4.53"
"Padres","6.91","1.88","3.67","1.57","19.3 %","5.3 %","14.0 %",".196","0.94",".200","71.4 %","96","106","100","4.08","4.68","-0.60","4.42","4.18"
"Brewers","11.52","3.62","3.18","1.98","28.7 %","9.0 %","19.7 %",".273","1.50",".348","71.4 %","107","107","82","4.94","4.82","0.12","3.64","3.61"
"Cardinals","8.72","4.50","1.94","1.41","21.8 %","11.3 %","10.6 %",".258","1.50",".307","65.1 %","133","115","117","5.63","5.00","0.63","5.20","4.77"
"Mariners","6.97","3.92","1.78","1.31","20.0 %","11.3 %","8.8 %",".129","0.87",".118","87.8 %","59","111","114","2.61","5.00","-2.39","5.23","4.94"
"Blue Jays","9.97","3.16","3.15","1.95","25.5 %","8.1 %","17.4 %",".253","1.35",".299","73.5 %","111","108","92","5.11","5.02","0.08","4.20","3.86"
"Rangers","8.62","3.45","2.50","1.72","21.7 %","8.7 %","13.0 %",".304","1.60",".360","54.0 %","131","106","96","6.61","5.03","1.57","4.38","4.28"
"Indians","9.26","3.86","2.40","1.93","24.2 %","10.1 %","14.1 %",".258","1.41",".300","69.2 %","120","114","100","5.79","5.23","0.56","4.57","4.29"
"Royals","7.36","5.73","1.29","1.23","17.1 %","13.3 %","3.8 %",".286","1.82",".329","61.5 %","148","117","125","6.95","5.26","1.70","5.75","5.53"
"Yankees","11.45","4.09","2.80","2.18","29.4 %","10.5 %","18.9 %",".246","1.39",".303","78.8 %","107","115","92","4.91","5.37","-0.46","4.20","3.77"
"Rockies","7.59","3.09","2.45","1.97","20.3 %","8.3 %","12.0 %",".270","1.38",".295","73.1 %","106","115","107","5.34","5.40","-0.06","4.73","4.51"
"Tigers","9.82","3.16","3.11","2.45","26.2 %","8.4 %","17.8 %",".237","1.25",".258","77.6 %","101","122","98","4.91","5.75","-0.84","4.53","3.92"
"Red Sox","8.51","6.16","1.38","1.76","20.7 %","15.0 %","5.7 %",".237","1.60",".265","72.1 %","122","133","118","5.87","6.02","-0.15","5.42","5.38"
"Angels","7.84","5.23","1.50","1.74","19.6 %","13.0 %","6.5 %",".265","1.58",".298","75.7 %","141","143","124","5.23","6.02","-0.79","5.69","5.27"
"Cubs","9.72","8.10","1.20","1.62","21.2 %","17.7 %","3.5 %",".254","1.92",".304","68.2 %","160","150","157","7.02","6.63","0.39","6.92","5.78"
