"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"White Sox","10.23","2.45","4.17","0.41","29.8 %","7.1 %","22.6 %",".218","1.05",".308","74.1 %","63","51","76","2.86","2.35","0.51","3.48","3.31"
"Athletics","12.84","2.66","4.83","0.89","35.4 %","7.3 %","28.1 %",".211","1.08",".311","57.3 %","79","57","64","3.54","2.53","1.02","2.91","2.82"
"Pirates","9.50","5.00","1.90","0.00","25.7 %","13.5 %","12.2 %",".190","1.22",".273","87.0 %","35","66","101","1.50","2.94","-1.44","4.48","4.50"
"Mariners","10.19","2.48","4.11","1.10","28.2 %","6.9 %","21.4 %",".207","1.04",".263","74.8 %","81","77","80","3.58","3.46","0.12","3.63","3.43"
"Brewers","10.93","2.57","4.25","0.96","30.6 %","7.2 %","23.4 %",".162","0.86",".210","75.6 %","72","77","96","3.21","3.46","-0.25","4.27","3.27"
"Padres","10.98","4.12","2.67","0.92","27.6 %","10.3 %","17.2 %",".256","1.47",".346","64.9 %","129","79","80","5.49","3.47","2.02","3.56","3.76"
"Cubs","9.43","3.86","2.44","0.86","26.8 %","11.0 %","15.9 %",".164","1.00",".204","82.4 %","49","82","75","2.14","3.64","-1.50","3.35","3.69"
"Cardinals","7.99","1.52","5.25","1.14","22.8 %","4.4 %","18.5 %",".233","1.01",".274","78.0 %","63","89","85","2.66","3.85","-1.19","3.80","3.52"
"Braves","11.45","5.73","2.00","0.82","30.8 %","15.4 %","15.4 %",".184","1.27",".261","91.6 %","46","89","94","2.05","3.90","-1.85","4.16","4.28"
"Royals","9.97","2.08","4.80","1.25","25.0 %","5.2 %","19.8 %",".284","1.38",".361","72.9 %","101","86","99","4.98","3.91","1.08","4.59","3.74"
"Dodgers","9.67","3.00","3.22","1.33","26.9 %","8.3 %","18.5 %",".173","0.96",".200","70.1 %","64","94","87","2.67","4.10","-1.44","3.87","3.72"
"Giants","8.88","2.49","3.57","1.42","23.6 %","6.6 %","17.0 %",".255","1.26",".304","73.0 %","110","101","90","4.62","4.24","0.38","3.99","3.88"
"Twins","6.90","3.00","2.30","0.90","17.8 %","7.8 %","10.1 %",".241","1.27",".278","81.5 %","52","93","109","2.40","4.28","-1.88","4.97","4.72"
"Tigers","8.44","3.94","2.14","1.13","20.0 %","9.3 %","10.7 %",".284","1.63",".340","66.1 %","120","96","105","5.63","4.46","1.16","4.83","4.53"
"Reds","6.57","5.11","1.29","0.73","18.4 %","14.3 %","4.1 %",".179","1.18",".203","91.6 %","41","100","122","1.82","4.51","-2.69","5.39","5.57"
"Indians","9.90","2.70","3.67","1.80","26.5 %","7.2 %","19.3 %",".263","1.30",".320","88.8 %","75","102","84","3.60","4.66","-1.06","3.85","3.68"
"Marlins","6.17","2.70","2.29","1.16","16.2 %","7.1 %","9.1 %",".256","1.29",".282","75.5 %","101","108","124","4.24","4.67","-0.43","5.47","4.88"
"Angels","9.71","4.55","2.13","1.52","25.2 %","11.8 %","13.4 %",".214","1.31",".253","71.9 %","94","104","102","4.25","4.76","-0.52","4.65","4.39"
"Red Sox","10.91","5.17","2.11","1.44","26.8 %","12.7 %","14.1 %",".246","1.53",".316","79.1 %","83","106","94","4.02","4.78","-0.76","4.29","4.27"
"Nationals","8.35","3.93","2.13","1.47","20.0 %","9.4 %","10.6 %",".289","1.64",".339","59.7 %","153","110","118","6.87","4.96","1.91","5.22","4.75"
"Mets","9.93","5.56","1.79","1.59","25.5 %","14.3 %","11.2 %",".190","1.32",".218","73.8 %","106","119","114","4.37","5.16","-0.79","5.06","4.72"
"Blue Jays","9.36","4.01","2.33","1.87","22.3 %","9.6 %","12.7 %",".302","1.69",".361","73.7 %","128","117","106","5.88","5.44","0.44","4.87","4.40"
"Rockies","9.49","4.74","2.00","1.82","23.9 %","11.9 %","11.9 %",".263","1.54",".313","75.0 %","108","116","102","5.47","5.44","0.03","4.50","4.46"
"Rays","7.64","3.82","2.00","1.78","18.6 %","9.3 %","9.3 %",".299","1.64",".336","71.7 %","137","125","105","6.11","5.53","0.58","4.82","4.57"
"Diamondbacks","7.43","4.39","1.69","1.69","19.5 %","11.5 %","8.0 %",".253","1.43",".278","46.9 %","184","127","116","8.10","5.58","2.52","5.15","5.00"
"Rangers","8.33","3.33","2.50","2.33","21.2 %","8.5 %","12.7 %",".280","1.48",".307","83.3 %","83","123","107","4.33","5.95","-1.62","4.94","4.43"
"Astros","8.14","1.29","6.33","3.00","19.8 %","3.1 %","16.7 %",".348","1.67",".379","61.1 %","173","139","99","7.71","6.31","1.41","4.53","3.99"
"Yankees","9.38","5.63","1.67","2.25","23.4 %","14.0 %","9.4 %",".211","1.42",".220","90.6 %","90","139","118","4.13","6.51","-2.38","5.41","4.93"
"Orioles","11.33","7.00","1.62","2.67","24.1 %","14.9 %","9.2 %",".303","2.11",".364","55.6 %","192","146","120","9.00","6.99","2.01","5.50","4.99"
"Phillies","6.75","4.15","1.63","3.63","14.8 %","9.1 %","5.7 %",".367","2.13",".373","63.8 %","236","188","144","10.38","8.52","1.86","6.37","5.36"
