"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Rays","14.11","2.76","5.11","0.31","41.1 %","8.0 %","33.0 %",".149","0.82",".259","73.2 %","48","38","52","2.15","1.65","0.50","2.36","2.36"
"Red Sox","10.97","2.11","5.20","0.00","31.3 %","6.0 %","25.3 %",".184","0.89",".280","85.7 %","17","39","73","0.84","1.76","-0.92","3.35","2.99"
"Cardinals","6.86","2.29","3.00","0.00","20.0 %","6.7 %","13.3 %",".186","0.92",".236","77.8 %","43","56","108","1.83","2.45","-0.62","4.78","4.37"
"Reds","12.08","3.91","3.09","0.71","32.1 %","10.4 %","21.7 %",".221","1.26",".322","61.6 %","103","63","77","4.62","2.86","1.76","3.40","3.47"
"Padres","10.64","2.05","5.20","0.82","28.9 %","5.6 %","23.3 %",".198","0.95",".264","76.6 %","67","74","83","2.86","3.26","-0.40","3.71","3.15"
"Phillies","6.33","2.11","3.00","0.42","18.8 %","6.3 %","12.5 %",".176","0.84",".207","85.2 %","38","72","93","1.69","3.26","-1.57","4.14","4.19"
"Astros","10.34","2.30","4.50","1.15","28.1 %","6.3 %","21.9 %",".235","1.15",".304","76.4 %","84","76","74","3.73","3.44","0.30","3.36","3.32"
"Pirates","12.09","4.43","2.73","0.81","31.3 %","11.5 %","19.8 %",".265","1.48",".392","71.4 %","112","77","87","4.84","3.44","1.40","3.88","3.68"
"Rockies","8.14","4.29","1.90","0.86","20.7 %","10.9 %","9.8 %",".256","1.48",".311","70.9 %","93","87","109","4.71","4.07","0.64","4.82","4.73"
"Twins","8.51","2.22","3.83","1.48","21.7 %","5.7 %","16.0 %",".283","1.40",".333","78.2 %","79","94","96","3.70","4.32","-0.62","4.39","4.03"
"Tigers","9.40","5.46","1.72","0.91","23.7 %","13.7 %","9.9 %",".250","1.55",".321","79.4 %","78","94","97","3.64","4.36","-0.72","4.45","4.68"
"Braves","8.51","1.11","7.67","1.85","21.3 %","2.8 %","18.5 %",".314","1.48",".364","69.0 %","133","99","90","5.92","4.36","1.55","3.98","3.74"
"Dodgers","7.20","3.15","2.29","0.90","19.3 %","8.4 %","10.8 %",".219","1.15",".255","56.0 %","139","101","104","5.85","4.41","1.44","4.61","4.35"
"Rangers","9.58","3.48","2.75","1.45","23.4 %","8.5 %","14.9 %",".270","1.48",".330","83.3 %","69","97","98","3.48","4.63","-1.15","4.46","4.05"
"Mariners","8.02","1.87","4.29","1.87","22.6 %","5.3 %","17.3 %",".238","1.10",".258","91.9 %","70","105","90","3.21","4.76","-1.55","4.12","3.84"
"Athletics","6.43","3.86","1.67","1.29","17.2 %","10.3 %","6.9 %",".179","1.10",".183","79.8 %","77","110","125","3.43","4.93","-1.50","5.72","5.28"
"Angels","9.58","3.48","2.75","1.74","23.1 %","8.4 %","14.7 %",".302","1.65",".367","62.8 %","148","108","83","6.68","4.96","1.72","3.79","3.74"
"Diamondbacks","9.36","2.67","3.50","1.87","22.7 %","6.5 %","16.2 %",".300","1.54",".357","71.4 %","139","116","99","6.15","5.09","1.06","4.39","3.91"
"Indians","9.15","2.18","4.20","2.18","23.1 %","5.5 %","17.6 %",".286","1.40",".328","75.0 %","109","116","107","5.23","5.34","-0.12","4.89","4.02"
"Royals","9.16","4.34","2.11","1.93","20.4 %","9.7 %","10.8 %",".349","2.04",".417","71.9 %","146","121","101","7.23","5.57","1.66","4.70","4.48"
"Mets","7.56","3.24","2.33","2.16","18.7 %","8.0 %","10.7 %",".294","1.56",".320","65.4 %","170","136","120","7.02","5.91","1.11","5.30","4.73"
"Blue Jays","7.52","4.78","1.57","2.05","20.4 %","13.0 %","7.4 %",".223","1.33",".227","86.5 %","89","131","108","4.10","6.10","-2.00","4.95","5.01"
"Orioles","7.78","4.58","1.70","2.29","17.9 %","10.5 %","7.4 %",".329","1.93",".365","64.5 %","175","132","123","8.24","6.32","1.92","5.64","5.18"
"White Sox","9.39","5.48","1.71","2.35","21.6 %","12.6 %","9.0 %",".320","1.96",".373","68.3 %","147","136","95","6.65","6.34","0.31","4.34","4.58"
"Yankees","8.23","3.29","2.50","2.63","20.2 %","8.1 %","12.1 %",".310","1.65",".338","66.1 %","165","137","117","7.57","6.40","1.18","5.36","4.62"
"Cubs","7.88","4.50","1.75","2.25","18.4 %","10.5 %","7.9 %",".281","1.63",".304","61.5 %","180","157","120","7.88","6.96","0.91","5.33","4.69"
"Nationals","8.58","2.22","3.86","3.49","22.5 %","5.8 %","16.7 %",".286","1.38",".284","93.5 %","120","160","107","5.40","7.20","-1.80","4.75","4.06"
"Brewers","6.21","4.97","1.25","2.79","15.2 %","12.1 %","3.0 %",".274","1.62",".262","77.5 %","140","176","153","6.21","7.83","-1.63","6.75","5.80"
"Giants","7.84","3.48","2.25","4.35","19.2 %","8.5 %","10.6 %",".314","1.69",".293","76.2 %","197","214","116","8.27","8.92","-0.65","5.14","4.68"
"Marlins","7.91","7.45","1.06","5.59","15.3 %","14.4 %","0.9 %",".398","2.74",".391","62.8 %","334","287","180","13.97","12.32","1.65","7.95","6.17"
