"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Red Sox","10.80","1.93","5.60","0.00","31.8 %","5.7 %","26.1 %",".136","0.69",".208","88.9 %","8","38","75","0.39","1.71","-1.33","3.42","2.90"
"Cardinals","7.54","1.99","3.80","0.00","20.7 %","5.4 %","15.2 %",".241","1.15",".309","69.2 %","75","50","103","3.18","2.20","0.98","4.57","4.17"
"Padres","11.25","1.35","8.33","0.45","32.5 %","3.9 %","28.6 %",".157","0.70",".227","84.3 %","42","54","75","1.80","2.41","-0.61","3.36","2.67"
"Rays","11.41","3.34","3.42","0.56","31.8 %","9.3 %","22.5 %",".174","0.99",".250","70.5 %","63","63","72","2.78","2.78","0.00","3.27","3.28"
"Phillies","6.20","1.33","4.67","0.44","18.7 %","4.0 %","14.7 %",".208","0.89",".246","84.3 %","40","64","82","1.77","2.92","-1.15","3.65","3.88"
"Reds","11.37","3.91","2.91","0.71","29.9 %","10.3 %","19.6 %",".219","1.26",".306","58.2 %","99","66","87","4.62","3.02","1.60","3.87","3.70"
"Astros","11.48","2.17","5.29","1.24","30.6 %","5.8 %","24.8 %",".257","1.24",".347","79.6 %","83","73","70","3.72","3.28","0.44","3.20","3.09"
"Twins","9.26","1.93","4.80","1.16","25.0 %","5.2 %","19.8 %",".264","1.24",".328","84.7 %","58","76","84","2.70","3.47","-0.77","3.85","3.59"
"Pirates","10.94","4.78","2.29","0.68","28.8 %","12.6 %","16.2 %",".245","1.41",".350","78.0 %","87","84","107","3.76","3.71","0.05","4.76","4.14"
"Rangers","10.71","3.57","3.00","1.12","27.3 %","9.1 %","18.2 %",".242","1.34",".317","82.0 %","62","81","90","3.12","3.86","-0.73","4.12","3.77"
"Angels","9.37","3.58","2.62","1.10","24.1 %","9.2 %","14.9 %",".254","1.38",".318","67.6 %","98","90","79","4.41","4.10","0.31","3.61","3.67"
"Rockies","9.18","4.32","2.13","1.08","22.1 %","10.4 %","11.7 %",".290","1.68",".360","63.5 %","128","89","105","6.48","4.17","2.31","4.64","4.50"
"Braves","9.25","1.11","8.33","1.85","23.6 %","2.8 %","20.8 %",".301","1.40",".356","74.1 %","117","96","84","5.18","4.20","0.98","3.74","3.50"
"Dodgers","6.41","3.20","2.00","0.92","17.1 %","8.5 %","8.5 %",".219","1.17",".246","54.1 %","142","103","106","5.95","4.49","1.46","4.68","4.61"
"Tigers","8.42","5.23","1.61","0.87","21.6 %","13.4 %","8.2 %",".228","1.42",".280","86.1 %","56","98","102","2.61","4.54","-1.92","4.69","4.80"
"Athletics","8.06","2.42","3.33","1.61","21.7 %","6.5 %","15.2 %",".209","1.07",".226","87.0 %","72","102","105","3.22","4.56","-1.33","4.81","4.24"
"Mariners","6.75","2.00","3.38","1.75","18.8 %","5.6 %","13.2 %",".243","1.14",".255","83.3 %","85","109","96","3.75","4.91","-1.16","4.37","4.25"
"Diamondbacks","8.81","2.56","3.44","1.71","21.0 %","6.1 %","14.9 %",".326","1.67",".388","63.8 %","148","113","103","6.54","4.95","1.59","4.56","4.05"
"Indians","9.35","2.60","3.60","2.08","22.2 %","6.2 %","16.1 %",".307","1.62",".358","59.8 %","151","113","103","7.27","5.18","2.09","4.70","4.12"
"Mets","9.37","3.31","2.83","2.20","23.3 %","8.2 %","15.1 %",".299","1.59",".348","63.7 %","173","125","100","7.16","5.42","1.75","4.43","4.21"
"Yankees","8.04","3.86","2.08","2.25","19.8 %","9.5 %","10.3 %",".310","1.68",".346","68.1 %","154","130","117","7.07","6.07","1.00","5.38","4.78"
"Orioles","9.35","3.63","2.57","2.60","22.5 %","8.8 %","13.8 %",".301","1.67",".340","59.1 %","177","127","109","8.31","6.10","2.21","4.99","4.41"
"Cubs","9.00","4.24","2.13","2.12","22.4 %","10.5 %","11.8 %",".234","1.35",".256","65.4 %","145","144","107","6.35","6.39","-0.04","4.74","4.17"
"Royals","8.66","4.08","2.13","2.55","18.5 %","8.7 %","9.8 %",".386","2.26",".443","64.7 %","206","144","113","9.68","6.50","3.18","5.18","4.67"
"White Sox","9.82","4.09","2.40","2.86","22.0 %","9.2 %","12.8 %",".354","2.05",".412","56.8 %","199","140","88","9.00","6.53","2.47","4.02","4.16"
"Brewers","6.11","5.79","1.06","2.57","14.1 %","13.3 %","0.7 %",".283","1.79",".279","67.8 %","168","174","160","7.71","7.93","-0.21","7.20","6.06"
"Nationals","8.33","3.00","2.78","4.00","21.4 %","7.7 %","13.7 %",".290","1.48",".271","82.6 %","156","183","116","7.00","8.25","-1.25","5.13","4.40"
"Giants","5.96","4.37","1.36","3.97","14.7 %","10.8 %","3.9 %",".297","1.68",".258","75.0 %","189","218","133","7.94","9.08","-1.14","5.89","5.52"
"Blue Jays","7.18","6.84","1.05","3.76","17.1 %","16.3 %","0.8 %",".311","1.97",".296","65.6 %","208","200","134","9.57","9.33","0.24","6.16","6.03"
"Marlins","5.59","6.52","0.86","4.19","11.5 %","13.5 %","-1.9 %",".341","2.28",".313","65.9 %","233","245","178","9.78","10.51","-0.73","7.85","6.46"
