"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Red Sox","12.86","3.43","3.75","0.00","35.3 %","9.4 %","25.9 %",".158","0.95",".261","81.0 %","27","37","65","1.29","1.64","-0.36","2.97","2.96"
"Twins","9.74","1.77","5.50","0.44","27.5 %","5.0 %","22.5 %",".211","0.98",".283","96.8 %","19","50","70","0.89","2.28","-1.39","3.21","3.24"
"Mets","9.64","1.93","5.00","0.48","28.6 %","5.7 %","22.9 %",".167","0.80",".222","73.5 %","58","55","79","2.41","2.41","0.00","3.53","3.31"
"Phillies","6.86","0.92","7.50","0.46","20.6 %","2.7 %","17.8 %",".211","0.86",".255","83.3 %","42","58","72","1.83","2.65","-0.82","3.21","3.39"
"Cardinals","7.54","3.57","2.11","0.00","20.0 %","9.5 %","10.5 %",".224","1.24",".288","72.4 %","75","66","118","3.18","2.86","0.32","5.23","4.73"
"Reds","11.76","3.05","3.86","0.87","33.3 %","8.6 %","24.7 %",".162","0.92",".222","74.1 %","46","63","84","2.18","2.88","-0.70","3.73","3.22"
"Rays","10.42","2.61","4.00","0.71","29.1 %","7.3 %","21.9 %",".176","0.92",".236","74.7 %","59","71","83","2.61","3.11","-0.50","3.81","3.37"
"Padres","10.88","2.42","4.50","0.81","29.0 %","6.5 %","22.6 %",".179","0.94",".236","75.5 %","57","72","81","2.42","3.17","-0.75","3.61","3.21"
"Astros","11.41","2.66","4.29","1.14","29.1 %","6.8 %","22.3 %",".263","1.35",".355","86.8 %","68","74","78","3.04","3.34","-0.30","3.54","3.34"
"Cubs","11.74","4.70","2.50","0.59","29.9 %","11.9 %","17.9 %",".211","1.30",".306","72.8 %","94","77","90","4.11","3.41","0.70","3.99","3.80"
"Dodgers","8.24","1.83","4.50","0.92","25.4 %","5.6 %","19.7 %",".136","0.66",".152","80.4 %","55","79","82","2.29","3.47","-1.18","3.66","3.53"
"Angels","10.30","3.90","2.64","0.84","26.4 %","10.0 %","16.4 %",".250","1.39",".333","70.1 %","93","79","76","4.18","3.62","0.56","3.46","3.61"
"Rangers","9.61","4.15","2.31","0.78","24.7 %","10.7 %","14.0 %",".226","1.33",".290","84.1 %","57","77","98","2.86","3.68","-0.82","4.50","4.28"
"Athletics","9.51","1.90","5.00","1.52","26.3 %","5.3 %","21.1 %",".200","0.97",".230","100.0 %","43","88","84","1.90","3.93","-2.03","3.84","3.51"
"Braves","11.72","1.53","7.67","2.04","34.3 %","4.5 %","29.9 %",".188","0.85",".216","95.7 %","69","93","60","3.06","4.06","-1.01","2.70","2.54"
"Diamondbacks","8.77","2.45","3.57","1.40","21.9 %","6.1 %","15.8 %",".336","1.68",".410","61.5 %","135","93","92","5.96","4.11","1.85","4.10","4.01"
"Yankees","7.17","2.95","2.43","1.27","21.0 %","8.6 %","12.4 %",".203","1.03",".222","89.9 %","55","95","106","2.53","4.43","-1.90","4.84","4.48"
"Tigers","7.59","5.63","1.35","0.84","19.7 %","14.6 %","5.1 %",".216","1.41",".256","83.7 %","60","102","116","2.81","4.71","-1.90","5.30","5.31"
"Indians","7.16","4.41","1.63","1.10","16.5 %","10.1 %","6.3 %",".300","1.78",".345","66.2 %","137","106","125","6.61","4.87","1.75","5.71","5.25"
"Orioles","9.78","3.13","3.13","1.96","24.8 %","7.9 %","16.8 %",".258","1.39",".302","52.0 %","158","103","95","7.43","4.91","2.53","4.33","3.99"
"Pirates","10.38","6.23","1.67","1.19","25.4 %","15.2 %","10.1 %",".263","1.68",".347","74.4 %","124","113","126","5.34","4.99","0.35","5.58","4.92"
"White Sox","8.50","3.50","2.43","2.00","20.2 %","8.3 %","11.9 %",".312","1.72",".357","55.1 %","188","116","86","8.50","5.38","3.12","3.93","4.10"
"Rockies","10.19","5.60","1.82","2.04","24.4 %","13.4 %","11.0 %",".282","1.75",".340","66.9 %","141","123","109","7.13","5.76","1.37","4.84","4.71"
"Mariners","5.73","2.45","2.33","2.18","15.1 %","6.5 %","8.6 %",".277","1.36",".277","76.9 %","117","131","108","5.18","5.91","-0.73","4.93","4.79"
"Nationals","8.19","2.73","3.00","3.03","21.8 %","7.3 %","14.5 %",".263","1.31",".260","80.8 %","128","151","107","5.76","6.79","-1.02","4.75","4.25"
"Royals","8.15","5.09","1.60","2.55","17.2 %","10.8 %","6.5 %",".378","2.32",".426","65.7 %","206","154","133","9.68","6.95","2.73","6.09","5.19"
"Brewers","6.66","5.92","1.13","2.96","15.0 %","13.3 %","1.7 %",".304","1.93",".303","63.5 %","192","180","153","8.88","8.23","0.65","6.90","5.91"
"Blue Jays","6.75","7.06","0.96","3.38","16.4 %","17.2 %","-0.8 %",".306","1.94",".295","67.3 %","193","192","136","8.90","8.94","-0.04","6.24","6.29"
"Marlins","7.31","5.06","1.44","3.94","16.1 %","11.1 %","4.9 %",".324","2.00",".314","69.0 %","188","213","149","7.88","9.15","-1.28","6.57","5.49"
"Giants","5.66","4.79","1.18","3.92","13.1 %","11.1 %","2.0 %",".322","1.89",".292","69.3 %","218","225","140","9.15","9.36","-0.21","6.20","5.75"
