"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Red Sox","12.12","3.31","3.67","0.00","31.0 %","8.5 %","22.5 %",".250","1.35",".381","52.2 %","126","40","82","6.06","1.81","4.26","3.75","3.33"
"Yankees","7.45","2.33","3.20","0.00","20.3 %","6.3 %","13.9 %",".257","1.24",".328","79.2 %","51","50","96","2.33","2.33","-0.01","4.39","4.25"
"Nationals","9.33","1.47","6.33","0.49","27.1 %","4.3 %","22.9 %",".209","0.93",".277","76.9 %","55","51","93","2.45","2.34","0.11","4.13","3.55"
"Astros","10.23","2.86","3.57","0.82","28.7 %","8.1 %","20.7 %",".175","0.95",".226","93.4 %","37","68","89","1.64","3.08","-1.44","4.07","3.57"
"Giants","7.84","2.61","3.00","0.44","22.0 %","7.3 %","14.6 %",".213","1.06",".268","92.6 %","31","74","91","1.31","3.12","-1.81","4.03","3.94"
"Royals","11.22","4.15","2.70","0.83","27.8 %","10.3 %","17.5 %",".253","1.48",".345","58.2 %","124","74","84","5.82","3.31","2.51","3.85","3.76"
"Brewers","8.51","3.33","2.56","0.74","20.4 %","8.0 %","12.4 %",".298","1.64",".367","51.1 %","150","78","94","6.66","3.50","3.16","4.15","4.20"
"Tigers","11.05","2.45","4.50","1.23","29.5 %","6.6 %","23.0 %",".214","1.09",".278","35.2 %","79","77","69","3.68","3.55","0.13","3.14","3.09"
"Reds","9.35","3.12","3.00","1.04","24.0 %","8.0 %","16.0 %",".275","1.44",".347","81.1 %","81","81","83","3.63","3.68","-0.04","3.67","3.86"
"Diamondbacks","9.51","2.45","3.88","1.23","25.0 %","6.5 %","18.6 %",".293","1.43",".370","74.2 %","104","84","71","4.60","3.69","0.91","3.14","3.45"
"White Sox","5.09","3.06","1.67","0.51","14.7 %","8.8 %","5.9 %",".177","0.96",".196","64.1 %","68","83","100","3.06","3.84","-0.78","4.56","4.87"
"Rays","8.10","3.47","2.33","0.77","19.4 %","8.3 %","11.1 %",".268","1.50",".324","70.2 %","95","89","112","4.24","3.94","0.30","5.13","4.62"
"Marlins","10.89","3.32","3.29","1.42","27.7 %","8.4 %","19.3 %",".250","1.37",".320","73.4 %","113","92","92","4.74","3.95","0.79","4.10","3.71"
"Indians","9.20","3.07","3.00","1.23","23.1 %","7.7 %","15.4 %",".254","1.36",".310","65.9 %","89","91","114","4.30","4.17","0.13","5.24","4.27"
"Rockies","11.07","2.66","4.17","1.77","27.8 %","6.7 %","21.1 %",".286","1.48",".364","69.7 %","105","89","88","5.31","4.20","1.11","3.89","3.47"
"Cubs","6.08","2.03","3.00","1.35","16.7 %","5.6 %","11.1 %",".235","1.13",".250","65.6 %","108","101","101","4.73","4.49","0.24","4.48","4.44"
"Twins","8.82","2.20","4.00","1.65","21.6 %","5.4 %","16.2 %",".304","1.53",".360","45.9 %","177","99","88","8.27","4.56","3.70","4.00","3.94"
"Rangers","9.24","3.20","2.89","1.78","24.8 %","8.6 %","16.2 %",".260","1.34",".308","77.8 %","92","101","93","4.62","4.79","-0.17","4.27","4.03"
"Angels","8.90","3.86","2.31","1.48","22.7 %","9.9 %","12.9 %",".222","1.29",".256","70.6 %","112","106","110","5.04","4.86","0.18","5.01","4.42"
"Cardinals","10.07","5.95","1.69","1.37","25.0 %","14.8 %","10.2 %",".213","1.47",".260","72.6 %","119","114","99","5.03","4.94","0.09","4.38","4.66"
"Padres","7.13","2.25","3.17","1.88","18.6 %","5.9 %","12.8 %",".271","1.33",".292","72.0 %","110","114","101","4.88","5.09","-0.21","4.54","4.40"
"Athletics","7.20","4.68","1.54","1.08","17.7 %","11.5 %","6.2 %",".258","1.52",".297","67.9 %","121","114","134","5.40","5.09","0.31","6.16","5.31"
"Orioles","9.90","4.05","2.44","1.80","24.4 %","10.0 %","14.4 %",".250","1.45",".296","57.4 %","134","107","103","6.30","5.11","1.19","4.70","4.21"
"Mariners","4.91","5.18","0.95","0.82","11.8 %","12.5 %","-0.7 %",".250","1.58",".270","61.5 %","111","114","133","4.91","5.12","-0.21","6.11","5.89"
"Blue Jays","8.68","5.79","1.50","1.45","21.4 %","14.3 %","7.1 %",".292","1.77",".353","93.8 %","63","114","128","2.89","5.30","-2.41","5.88","5.27"
"Dodgers","6.46","2.93","2.20","1.76","17.7 %","8.1 %","9.7 %",".182","0.98",".171","85.9 %","84","131","124","3.52","5.69","-2.17","5.48","4.81"
"Braves","10.41","4.24","2.45","2.31","25.7 %","10.5 %","15.2 %",".228","1.37",".254","78.1 %","87","135","96","3.86","5.91","-2.06","4.28","4.10"
"Pirates","9.11","5.06","1.80","2.70","20.9 %","11.6 %","9.3 %",".261","1.65",".276","61.5 %","180","161","116","7.76","7.11","0.65","5.15","4.73"
"Mets","7.53","6.28","1.20","2.51","14.8 %","12.4 %","2.5 %",".414","2.72",".463","58.1 %","303","172","184","12.56","7.47","5.09","8.14","6.15"
"Phillies","9.97","5.40","1.85","3.74","23.1 %","12.5 %","10.6 %",".319","1.94",".345","68.0 %","170","181","115","7.48","8.20","-0.72","5.09","4.74"
