"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"White Sox","11.64","1.86","6.25","0.00","33.8 %","5.4 %","28.4 %",".243","1.09",".378","71.4 %","62","28","57","2.79","1.25","1.54","2.59","2.70"
"Athletics","9.93","1.99","5.00","0.79","28.1 %","5.6 %","22.5 %",".205","0.97",".268","74.3 %","71","66","80","3.18","2.95","0.23","3.65","3.35"
"Pirates","11.25","6.30","1.79","0.00","27.8 %","15.6 %","12.2 %",".227","1.55",".340","68.8 %","104","67","105","4.50","2.96","1.54","4.65","4.65"
"Mariners","10.43","2.14","4.88","1.07","28.9 %","5.9 %","23.0 %",".206","1.01",".265","74.8 %","78","73","80","3.48","3.24","0.23","3.65","3.30"
"Diamondbacks","7.13","3.75","1.90","0.38","20.4 %","10.8 %","9.7 %",".181","1.04",".222","50.9 %","110","78","100","4.88","3.42","1.45","4.46","4.58"
"Royals","9.45","1.35","7.00","0.90","24.7 %","3.5 %","21.2 %",".247","1.10",".315","78.5 %","76","81","94","3.60","3.61","-0.01","4.30","3.50"
"Cubs","9.45","3.60","2.63","0.90","27.3 %","10.4 %","16.9 %",".159","0.95",".196","86.4 %","41","81","77","1.80","3.61","-1.81","3.41","3.69"
"Dodgers","10.33","2.67","3.88","1.33","28.7 %","7.4 %","21.3 %",".182","0.96",".219","65.4 %","71","88","83","3.00","3.84","-0.84","3.69","3.45"
"Brewers","10.08","2.88","3.50","1.08","27.2 %","7.8 %","19.4 %",".187","1.00",".233","68.6 %","97","89","99","4.32","3.97","0.35","4.40","3.65"
"Twins","6.75","2.35","2.88","0.88","18.3 %","6.4 %","11.9 %",".243","1.17",".281","86.2 %","57","88","102","2.64","4.06","-1.42","4.67","4.49"
"Giants","8.39","3.28","2.56","1.09","22.1 %","8.7 %","13.5 %",".255","1.34",".309","70.5 %","113","99","94","4.74","4.15","0.60","4.18","4.24"
"Padres","8.15","6.11","1.33","0.51","18.2 %","13.6 %","4.6 %",".303","1.98",".373","59.5 %","155","95","116","6.62","4.18","2.45","5.13","5.13"
"Cardinals","8.39","3.28","2.56","1.09","21.7 %","8.5 %","13.2 %",".274","1.42",".333","70.1 %","103","98","99","4.38","4.27","0.11","4.38","4.20"
"Astros","9.47","0.95","10.00","1.89","24.4 %","2.4 %","22.0 %",".316","1.42",".382","67.0 %","117","96","87","5.21","4.32","0.89","3.99","3.43"
"Braves","10.00","5.33","1.88","1.00","26.1 %","13.9 %","12.2 %",".214","1.37",".277","88.8 %","53","99","107","2.33","4.33","-1.99","4.72","4.59"
"Indians","9.82","2.86","3.43","1.64","25.8 %","7.5 %","18.3 %",".271","1.36",".333","82.7 %","85","98","86","4.09","4.49","-0.40","3.93","3.78"
"Red Sox","11.52","5.27","2.19","1.32","28.9 %","13.2 %","15.7 %",".243","1.50",".328","82.9 %","82","100","93","3.95","4.53","-0.58","4.23","4.17"
"Marlins","6.66","2.96","2.25","1.11","17.7 %","7.8 %","9.8 %",".239","1.23",".268","75.5 %","97","106","124","4.07","4.57","-0.50","5.50","4.79"
"Tigers","9.00","3.46","2.60","1.38","21.0 %","8.1 %","12.9 %",".304","1.69",".366","59.4 %","148","99","100","6.92","4.60","2.32","4.59","4.20"
"Rays","7.07","3.03","2.33","1.51","18.1 %","7.7 %","10.3 %",".270","1.40",".299","71.1 %","119","113","105","5.30","5.01","0.29","4.83","4.57"
"Angels","9.38","4.26","2.20","1.71","24.3 %","11.0 %","13.2 %",".223","1.33",".256","71.4 %","101","110","105","4.55","5.01","-0.47","4.81","4.41"
"Blue Jays","9.70","3.15","3.08","1.83","23.1 %","7.5 %","15.6 %",".299","1.60",".360","71.1 %","125","110","102","5.77","5.11","0.66","4.66","4.06"
"Reds","6.66","5.55","1.20","1.11","18.2 %","15.2 %","3.0 %",".202","1.32",".222","93.5 %","49","115","123","2.22","5.19","-2.97","5.46","5.71"
"Rangers","9.00","3.00","3.00","2.25","22.9 %","7.6 %","15.2 %",".289","1.50",".328","79.7 %","82","115","97","4.13","5.46","-1.34","4.45","4.12"
"Nationals","7.45","4.19","1.78","1.86","18.8 %","10.6 %","8.2 %",".267","1.50",".291","65.6 %","145","128","131","6.52","5.80","0.72","5.79","5.13"
"Mets","10.07","6.86","1.47","1.83","24.4 %","16.7 %","7.8 %",".240","1.68",".286","69.3 %","144","136","122","5.95","5.91","0.04","5.39","5.19"
"Yankees","9.35","5.54","1.69","2.08","23.9 %","14.2 %","9.7 %",".219","1.42",".238","91.2 %","83","130","113","3.81","6.10","-2.29","5.16","4.89"
"Rockies","9.86","3.86","2.56","2.57","24.7 %","9.7 %","15.1 %",".253","1.43",".278","79.7 %","85","132","100","4.29","6.17","-1.88","4.44","4.14"
"Orioles","11.06","6.51","1.70","2.28","23.6 %","13.9 %","9.7 %",".303","2.06",".370","54.9 %","194","134","122","9.11","6.43","2.68","5.59","4.92"
"Phillies","7.02","4.32","1.63","3.24","16.7 %","10.3 %","6.4 %",".329","1.86",".333","88.5 %","135","172","124","5.94","7.77","-1.83","5.48","5.11"
