"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Orioles","8.04","1.72","4.67","0.00","21.2 %","4.6 %","16.7 %",".270","1.28",".347","65.0 %","86","42","74","4.02","2.00","2.02","3.40","3.85"
"Yankees","14.46","1.93","7.50","0.96","41.1 %","5.5 %","35.6 %",".232","1.07",".378","81.4 %","63","44","40","2.89","2.04","0.86","1.81","2.05"
"Mets","7.59","2.53","3.00","0.00","22.5 %","7.5 %","15.0 %",".162","0.84",".214","100.0 %","0","54","95","0.00","2.37","-2.37","4.24","4.00"
"Reds","9.55","2.91","3.29","0.42","25.8 %","7.9 %","18.0 %",".207","1.11",".276","88.5 %","28","58","86","1.25","2.66","-1.41","3.80","3.80"
"Twins","9.27","1.61","5.75","0.40","23.2 %","4.0 %","19.2 %",".304","1.43",".397","80.4 %","69","58","87","3.22","2.68","0.55","3.97","3.64"
"Red Sox","12.67","2.20","5.75","1.10","35.4 %","6.2 %","29.2 %",".180","0.92",".250","82.0 %","57","61","60","2.76","2.72","0.03","2.72","2.66"
"Royals","9.90","3.15","3.14","0.45","26.2 %","8.3 %","17.9 %",".224","1.20",".302","89.0 %","38","64","75","1.80","2.86","-1.06","3.41","3.65"
"Cardinals","14.33","3.86","3.71","1.10","38.2 %","10.3 %","27.9 %",".217","1.22",".344","60.4 %","123","71","59","5.51","3.09","2.42","2.60","2.82"
"Astros","12.63","4.35","2.90","0.87","34.1 %","11.8 %","22.4 %",".200","1.21",".295","85.6 %","59","69","68","2.61","3.12","-0.50","3.11","3.44"
"Dodgers","8.16","1.88","4.33","0.63","21.0 %","4.8 %","16.1 %",".224","1.12",".273","57.7 %","30","72","72","1.26","3.14","-1.89","3.21","3.17"
"Padres","9.50","1.50","6.33","1.00","24.1 %","3.8 %","20.3 %",".280","1.33",".352","63.1 %","129","73","97","5.50","3.21","2.29","4.31","3.64"
"Giants","11.35","3.99","2.85","0.61","28.7 %","10.1 %","18.6 %",".248","1.40",".351","70.4 %","110","77","98","4.60","3.21","1.39","4.36","3.80"
"Rays","9.72","2.52","3.86","0.72","26.5 %","6.9 %","19.6 %",".228","1.12",".302","85.1 %","57","75","86","2.52","3.29","-0.77","3.92","3.53"
"Blue Jays","11.25","4.05","2.78","0.90","30.1 %","10.8 %","19.3 %",".164","1.05",".217","78.1 %","68","76","81","3.15","3.51","-0.36","3.71","3.67"
"Phillies","8.05","6.63","1.21","0.00","20.2 %","16.7 %","3.6 %",".217","1.53",".288","90.0 %","22","83","140","0.95","3.79","-2.85","6.20","5.76"
"Angels","9.26","2.91","3.18","1.06","25.6 %","8.0 %","17.5 %",".185","1.00",".224","95.4 %","41","84","100","1.85","3.83","-1.98","4.58","3.97"
"Marlins","10.59","8.47","1.25","0.00","26.7 %","21.3 %","5.3 %",".207","1.65",".316","89.7 %","38","89","122","1.59","3.86","-2.27","5.38","5.76"
"Athletics","9.12","3.51","2.60","1.05","25.2 %","9.7 %","15.5 %",".215","1.17",".266","81.4 %","71","87","101","3.16","3.88","-0.72","4.60","4.23"
"Indians","6.75","2.25","3.00","1.13","18.8 %","6.3 %","12.5 %",".217","1.06",".239","98.6 %","35","89","103","1.69","4.09","-2.40","4.70","4.43"
"Pirates","10.87","3.51","3.10","1.40","26.7 %","8.6 %","18.1 %",".267","1.48",".343","65.9 %","130","93","94","5.61","4.11","1.50","4.18","3.82"
"White Sox","8.80","2.93","3.00","1.17","23.8 %","7.9 %","15.9 %",".211","1.11",".250","85.5 %","52","89","107","2.35","4.13","-1.78","4.90","4.19"
"Rockies","9.30","5.31","1.75","0.89","22.3 %","12.8 %","9.6 %",".256","1.62",".322","66.2 %","105","89","110","5.31","4.20","1.11","4.88","4.82"
"Brewers","9.75","4.88","2.00","1.13","25.5 %","12.8 %","12.8 %",".227","1.38",".288","80.5 %","76","99","106","3.38","4.42","-1.05","4.70","4.51"
"Cubs","8.34","5.96","1.40","0.79","22.6 %","16.1 %","6.5 %",".192","1.32",".236","80.9 %","61","100","111","2.78","4.49","-1.71","5.01","5.34"
"Diamondbacks","9.27","2.01","4.60","2.01","22.8 %","5.0 %","17.8 %",".319","1.57",".379","76.7 %","128","114","79","5.64","5.01","0.64","3.52","3.55"
"Rangers","6.92","4.50","1.54","1.38","16.1 %","10.5 %","5.7 %",".294","1.73",".329","55.6 %","117","113","123","5.88","5.41","0.48","5.63","5.21"
"Braves","7.91","4.66","1.70","1.86","19.1 %","11.2 %","7.9 %",".291","1.71",".328","80.3 %","110","127","123","5.12","5.70","-0.58","5.58","5.05"
"Nationals","6.14","3.07","2.00","1.84","16.4 %","8.2 %","8.2 %",".200","1.09",".190","78.1 %","96","127","134","4.30","5.74","-1.44","5.93","5.10"
"Tigers","5.82","4.50","1.29","2.12","14.0 %","10.8 %","3.2 %",".273","1.62",".275","78.1 %","113","141","131","5.29","6.57","-1.27","6.02","5.55"
"Mariners","11.07","10.18","1.09","2.21","22.5 %","20.7 %","1.8 %",".330","2.56",".414","71.1 %","190","163","133","8.41","7.35","1.06","6.11","6.05"
