"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Cardinals","11.07","3.10","3.57","0.44","29.8 %","8.3 %","21.4 %",".211","1.13",".300","84.1 %","42","59","94","1.77","2.57","-0.80","4.19","3.51"
"Padres","10.88","2.25","4.83","0.75","26.4 %","5.5 %","20.9 %",".346","1.75",".466","71.4 %","123","59","72","5.25","2.63","2.62","3.21","3.35"
"Pirates","9.86","3.00","3.29","0.43","25.0 %","7.6 %","17.4 %",".238","1.29",".317","67.7 %","30","63","98","1.29","2.79","-1.50","4.35","3.90"
"Twins","10.71","2.33","4.60","0.93","27.7 %","6.0 %","21.7 %",".247","1.24",".327","49.6 %","130","68","90","6.05","3.11","2.94","4.13","3.47"
"Red Sox","13.27","4.58","2.90","0.92","34.1 %","11.8 %","22.4 %",".240","1.42",".364","67.5 %","85","69","73","4.12","3.11","1.01","3.31","3.45"
"Athletics","11.93","4.40","2.71","0.63","29.2 %","10.8 %","18.5 %",".263","1.53",".378","69.4 %","111","71","84","5.02","3.14","1.88","3.90","3.81"
"Rangers","10.69","5.06","2.11","0.56","23.5 %","11.1 %","12.4 %",".282","1.81",".373","62.9 %","112","74","108","5.63","3.53","2.10","4.95","4.46"
"Indians","9.31","4.66","2.00","0.47","24.1 %","12.1 %","12.1 %",".186","1.19",".245","73.2 %","77","84","123","3.72","3.83","-0.11","5.63","4.63"
"Marlins","8.88","3.70","2.40","0.74","25.3 %","10.5 %","14.7 %",".159","0.95",".196","90.5 %","44","91","105","1.85","3.91","-2.06","4.64","4.21"
"Dodgers","8.17","3.20","2.56","1.07","21.7 %","8.5 %","13.2 %",".268","1.38",".324","77.9 %","93","92","105","3.91","4.00","-0.10","4.66","4.39"
"Yankees","7.85","3.44","2.29","0.98","19.5 %","8.5 %","11.0 %",".267","1.47",".316","66.1 %","96","86","105","4.42","4.03","0.39","4.78","4.53"
"White Sox","8.24","2.84","2.90","1.14","22.0 %","7.6 %","14.4 %",".215","1.14",".250","76.4 %","50","88","87","2.27","4.07","-1.79","3.99","3.81"
"Angels","8.26","2.22","3.71","1.27","21.9 %","5.9 %","16.0 %",".282","1.34",".338","69.8 %","106","91","94","4.76","4.17","0.60","4.30","3.90"
"Phillies","12.39","2.86","4.33","1.91","32.8 %","7.6 %","25.2 %",".264","1.34",".354","87.8 %","87","92","65","3.81","4.17","-0.36","2.89","3.05"
"Mariners","9.00","3.43","2.63","1.29","23.3 %","8.9 %","14.4 %",".256","1.38",".310","80.7 %","77","94","93","3.43","4.21","-0.79","4.25","4.13"
"Tigers","11.70","5.40","2.17","1.35","28.9 %","13.3 %","15.6 %",".231","1.50",".306","77.5 %","87","94","105","4.05","4.36","-0.31","4.80","4.25"
"Astros","9.53","3.18","3.00","1.59","25.7 %","8.6 %","17.1 %",".188","1.06",".209","79.7 %","71","99","83","3.18","4.45","-1.27","3.79","3.81"
"Blue Jays","8.64","3.78","2.29","1.35","22.2 %","9.7 %","12.5 %",".248","1.38",".293","82.5 %","82","99","94","3.78","4.59","-0.81","4.31","4.27"
"Nationals","8.65","2.77","3.13","1.73","23.2 %","7.4 %","15.7 %",".210","1.12",".229","59.1 %","108","104","107","4.85","4.71","0.13","4.74","4.13"
"Rockies","10.70","5.09","2.10","1.53","27.3 %","13.0 %","14.3 %",".227","1.42",".286","87.2 %","71","105","112","3.57","4.91","-1.35","4.96","4.34"
"Brewers","11.57","3.86","3.00","1.93","28.9 %","9.6 %","19.2 %",".239","1.37",".298","74.1 %","122","111","88","5.40","4.97","0.43","3.89","3.69"
"Royals","6.63","5.68","1.17","0.95","15.6 %","13.3 %","2.2 %",".260","1.68",".295","59.6 %","101","115","128","4.74","5.16","-0.42","5.89","5.58"
"Cubs","10.47","3.31","3.17","2.20","27.1 %","8.6 %","18.6 %",".234","1.29",".268","77.9 %","101","117","91","4.41","5.17","-0.77","4.06","3.77"
"Reds","8.22","3.52","2.33","1.96","23.3 %","10.0 %","13.3 %",".175","1.00",".167","88.2 %","78","122","106","3.52","5.52","-2.00","4.68","4.39"
"Diamondbacks","5.94","2.16","2.75","2.16","16.2 %","5.9 %","10.3 %",".234","1.14",".224","44.8 %","159","131","105","7.02","5.73","1.29","4.64","4.53"
"Giants","8.05","4.74","1.70","1.89","22.1 %","13.0 %","9.1 %",".239","1.37",".261","83.3 %","101","137","120","4.26","5.74","-1.48","5.31","5.05"
"Orioles","8.63","3.00","2.88","2.63","21.9 %","7.6 %","14.3 %",".234","1.25",".234","73.3 %","120","135","114","5.63","6.46","-0.84","5.24","4.29"
"Rays","10.41","3.58","2.91","3.25","25.0 %","8.6 %","16.4 %",".291","1.63",".320","93.6 %","117","153","107","5.20","6.79","-1.59","4.90","4.09"
"Mets","8.22","6.46","1.27","2.35","21.2 %","16.7 %","4.6 %",".204","1.43",".194","80.5 %","128","164","134","5.28","7.13","-1.84","5.94","5.59"
"Braves","8.50","8.00","1.06","2.50","19.1 %","18.0 %","1.1 %",".288","2.06",".314","70.0 %","180","174","143","8.00","7.60","0.40","6.31","6.09"
