"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Braves","10.95","3.28","3.33","0.36","29.7 %","8.9 %","20.8 %",".228","1.22",".328","80.4 %","58","54","80","2.55","2.40","0.15","3.57","3.51"
"Rays","8.76","1.82","4.80","0.36","26.7 %","5.6 %","21.1 %",".143","0.69",".186","72.3 %","33","58","84","1.46","2.52","-1.07","3.85","3.47"
"Astros","7.31","2.81","2.60","0.00","21.0 %","8.1 %","12.9 %",".175","0.94",".227","80.0 %","38","56","91","1.69","2.53","-0.84","4.14","4.16"
"Orioles","11.57","4.82","2.40","0.00","32.0 %","13.3 %","18.7 %",".190","1.18",".308","79.2 %","51","54","73","2.41","2.57","-0.16","3.32","3.62"
"Dodgers","11.00","3.50","3.14","0.50","28.6 %","9.1 %","19.5 %",".203","1.17",".283","53.4 %","131","65","80","5.50","2.83","2.67","3.54","3.53"
"Nationals","9.28","3.38","2.75","0.42","22.9 %","8.3 %","14.6 %",".287","1.55",".375","61.4 %","132","67","118","5.91","3.03","2.88","5.21","4.38"
"Cardinals","11.25","3.15","3.57","0.90","31.3 %","8.8 %","22.5 %",".192","1.05",".261","65.9 %","96","70","87","4.05","3.06","0.99","3.85","3.40"
"Brewers","10.27","1.67","6.14","1.19","29.9 %","4.9 %","25.0 %",".185","0.85",".230","70.4 %","81","75","57","3.58","3.37","0.21","2.55","2.51"
"Reds","11.31","1.82","6.20","1.46","30.7 %","5.0 %","25.7 %",".250","1.18",".328","68.4 %","106","75","69","4.74","3.42","1.33","3.08","2.98"
"Rangers","7.83","3.13","2.50","0.78","20.6 %","8.3 %","12.4 %",".247","1.30",".299","69.9 %","70","77","85","3.52","3.65","-0.13","3.90","4.13"
"Yankees","9.35","2.60","3.60","1.04","26.9 %","7.5 %","19.4 %",".148","0.81",".171","73.8 %","56","79","95","2.60","3.68","-1.08","4.36","3.72"
"Red Sox","10.65","3.80","2.80","1.14","29.2 %","10.4 %","18.8 %",".153","0.97",".185","80.8 %","55","86","91","2.66","3.89","-1.23","4.18","3.78"
"Blue Jays","7.86","4.44","1.77","0.68","21.7 %","12.3 %","9.4 %",".151","1.03",".176","82.6 %","37","85","99","1.71","3.94","-2.23","4.53","4.68"
"Rockies","7.25","3.63","2.00","0.81","18.8 %","9.4 %","9.4 %",".241","1.34",".284","73.5 %","72","85","102","3.63","3.98","-0.35","4.50","4.60"
"Athletics","8.74","4.37","2.00","0.79","22.0 %","11.0 %","11.0 %",".250","1.46",".313","67.3 %","116","90","122","5.16","4.01","1.15","5.58","4.79"
"Indians","8.82","3.31","2.67","1.10","23.2 %","8.7 %","14.5 %",".242","1.29",".295","78.1 %","80","90","88","3.86","4.13","-0.28","4.00","4.16"
"Mets","8.20","5.13","1.60","0.68","22.0 %","13.8 %","8.3 %",".176","1.18",".215","89.7 %","50","102","132","2.05","4.43","-2.38","5.86","5.19"
"White Sox","9.10","7.04","1.29","0.59","21.2 %","16.4 %","4.8 %",".256","1.79",".330","71.4 %","94","96","119","4.40","4.49","-0.08","5.52","5.50"
"Phillies","9.68","1.02","9.50","2.04","25.0 %","2.6 %","22.4 %",".260","1.19",".300","73.2 %","93","99","73","4.08","4.52","-0.44","3.26","3.16"
"Padres","10.23","2.86","3.57","1.64","25.8 %","7.2 %","18.6 %",".250","1.32",".305","74.8 %","115","103","106","4.91","4.53","0.38","4.70","3.78"
"Pirates","8.88","4.26","2.08","1.42","23.2 %","11.1 %","12.0 %",".232","1.34",".273","78.2 %","91","109","107","3.91","4.83","-0.92","4.74","4.47"
"Marlins","8.31","4.15","2.00","1.56","19.5 %","9.8 %","9.8 %",".284","1.67",".327","52.4 %","198","116","111","8.31","5.00","3.31","4.93","4.76"
"Royals","8.55","1.35","6.33","2.25","23.8 %","3.8 %","20.0 %",".247","1.10",".264","73.3 %","105","112","97","4.95","5.01","-0.06","4.45","3.74"
"Giants","9.76","4.55","2.14","1.63","24.4 %","11.4 %","13.0 %",".222","1.37",".260","78.1 %","101","120","109","4.23","5.02","-0.79","4.83","4.43"
"Twins","10.06","4.24","2.38","1.59","25.0 %","10.5 %","14.5 %",".258","1.47",".318","65.8 %","125","109","108","5.82","5.04","0.79","4.97","4.27"
"Angels","9.47","2.81","3.38","2.10","24.6 %","7.3 %","17.3 %",".245","1.29",".275","69.1 %","125","111","96","5.61","5.08","0.53","4.37","3.94"
"Mariners","10.06","3.18","3.17","2.12","27.9 %","8.8 %","19.1 %",".177","1.00",".179","61.4 %","119","113","83","5.29","5.10","0.20","3.79","3.66"
"Cubs","11.20","3.29","3.40","1.98","30.4 %","8.9 %","21.4 %",".184","1.02",".207","100.0 %","60","115","80","2.63","5.12","-2.48","3.57","3.33"
"Tigers","10.13","4.34","2.33","1.93","23.3 %","10.0 %","13.3 %",".325","1.88",".400","59.2 %","176","115","100","8.20","5.36","2.84","4.60","4.25"
"Diamondbacks","7.30","5.11","1.43","1.46","17.9 %","12.5 %","5.4 %",".245","1.54",".270","49.4 %","165","123","111","7.30","5.40","1.89","4.91","4.99"
