"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Orioles","10.13","2.25","4.50","0.00","29.0 %","6.5 %","22.6 %",".207","1.00",".300","62.5 %","72","36","70","3.38","1.71","1.66","3.21","3.24"
"Marlins","10.50","3.00","3.50","0.00","26.9 %","7.7 %","19.2 %",".271","1.42",".382","82.4 %","54","43","114","2.25","1.88","0.37","5.03","4.04"
"Dodgers","16.36","0.00","20.00","1.64","52.6 %","0.0 %","52.6 %",".132","0.45",".188","90.9 %","39","44","22","1.64","1.94","-0.30","1.02","0.85"
"Athletics","10.05","1.88","5.33","0.63","30.8 %","5.8 %","25.0 %",".143","0.70",".188","100.0 %","14","57","66","0.63","2.52","-1.89","3.00","2.94"
"Cardinals","9.20","1.84","5.00","0.61","28.3 %","5.7 %","22.6 %",".200","0.89",".265","77.6 %","58","61","89","2.45","2.67","-0.21","3.95","3.40"
"Padres","9.00","0.00","12.00","0.75","25.5 %","0.0 %","25.5 %",".205","0.75",".258","84.9 %","18","69","78","0.75","3.05","-2.30","3.46","2.81"
"Indians","9.64","1.93","5.00","0.96","28.6 %","5.7 %","22.9 %",".152","0.75",".182","100.0 %","20","68","93","0.96","3.11","-2.14","4.27","3.49"
"Nationals","5.27","2.63","2.00","0.00","12.7 %","6.4 %","6.4 %",".310","1.61",".360","78.3 %","59","69","110","2.63","3.14","-0.51","4.89","4.42"
"Cubs","10.38","2.08","5.00","1.04","31.3 %","6.3 %","25.0 %",".138","0.69",".167","100.0 %","24","77","59","1.04","3.44","-2.41","2.63","2.25"
"Giants","10.29","1.29","8.00","1.29","27.1 %","3.4 %","23.7 %",".291","1.29",".378","69.8 %","122","87","79","5.14","3.64","1.50","3.49","2.97"
"Tigers","7.08","4.43","1.60","0.44","17.2 %","10.8 %","6.5 %",".253","1.52",".303","57.4 %","104","81","115","4.87","3.75","1.11","5.27","5.10"
"Yankees","9.69","4.85","2.00","0.69","23.0 %","11.5 %","11.5 %",".264","1.62",".342","87.4 %","45","84","90","2.08","3.91","-1.83","4.13","4.23"
"Rockies","7.27","3.12","2.33","1.04","18.9 %","8.1 %","10.8 %",".265","1.38",".308","94.3 %","41","88","117","2.08","4.14","-2.06","5.16","4.68"
"Braves","9.69","2.77","3.50","1.38","25.5 %","7.3 %","18.2 %",".260","1.31",".324","98.7 %","47","96","91","2.08","4.21","-2.14","4.05","3.79"
"Rangers","8.05","3.32","2.43","1.42","20.5 %","8.4 %","12.1 %",".253","1.37",".291","70.2 %","103","99","109","5.21","4.74","0.47","4.99","4.58"
"Twins","11.84","1.89","6.25","2.37","30.9 %","4.9 %","25.9 %",".276","1.32",".348","68.4 %","132","104","74","6.16","4.79","1.36","3.36","2.99"
"Red Sox","11.00","3.50","3.14","2.00","27.5 %","8.8 %","18.8 %",".247","1.39",".298","72.2 %","93","107","91","4.50","4.83","-0.33","4.15","3.78"
"Mets","9.00","1.80","5.00","1.80","20.4 %","4.1 %","16.3 %",".356","1.80",".424","69.8 %","174","115","104","7.20","5.01","2.19","4.60","3.94"
"Diamondbacks","13.50","1.13","12.00","3.38","37.5 %","3.1 %","34.4 %",".258","1.13",".313","100.0 %","102","125","46","4.50","5.46","-0.96","2.08","2.10"
"Royals","6.57","7.30","0.90","0.73","13.6 %","15.2 %","-1.5 %",".345","2.35",".400","55.9 %","155","122","135","7.30","5.48","1.81","6.20","6.06"
"Astros","11.57","4.63","2.50","2.31","29.4 %","11.8 %","17.7 %",".244","1.46",".296","85.9 %","104","122","89","4.63","5.53","-0.90","4.06","3.92"
"Rays","12.12","4.41","2.75","2.76","32.4 %","11.8 %","20.6 %",".233","1.35",".273","66.7 %","148","135","86","6.61","5.97","0.64","3.94","3.64"
"Blue Jays","6.38","4.42","1.44","1.96","17.1 %","11.8 %","5.3 %",".224","1.31",".220","65.2 %","128","131","123","5.89","6.10","-0.21","5.66","5.52"
"Angels","8.72","5.82","1.50","2.08","19.4 %","13.0 %","6.5 %",".340","2.12",".397","71.8 %","166","136","122","7.48","6.21","1.26","5.60","5.24"
"Phillies","7.20","3.60","2.00","2.40","20.7 %","10.3 %","10.3 %",".173","1.00",".139","95.7 %","82","139","102","3.60","6.28","-2.68","4.54","4.67"
"Pirates","9.53","3.71","2.57","2.65","23.7 %","9.2 %","14.5 %",".294","1.59",".333","76.2 %","147","143","104","6.35","6.33","0.02","4.61","4.18"
"Mariners","5.95","3.66","1.63","2.29","16.5 %","10.1 %","6.3 %",".211","1.17",".189","81.3 %","103","143","121","4.58","6.42","-1.84","5.54","5.26"
"White Sox","6.75","3.75","1.80","2.25","17.7 %","9.8 %","7.8 %",".244","1.33",".242","93.8 %","61","134","124","3.00","6.46","-3.46","5.87","5.07"
"Brewers","8.40","4.80","1.75","2.40","18.2 %","10.4 %","7.8 %",".368","2.20",".420","59.9 %","216","148","131","9.60","6.61","2.99","5.80","5.06"
"Reds","10.61","2.89","3.67","3.86","22.9 %","6.3 %","16.7 %",".378","2.14",".433","48.6 %","279","164","79","12.54","7.39","5.14","3.53","3.95"
