"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Royals","8.85","1.77","5.00","0.44","24.7 %","4.9 %","19.8 %",".237","1.08",".309","74.1 %","66","59","78","3.10","2.62","0.47","3.55","3.48"
"Rays","10.06","1.72","5.86","0.74","29.7 %","5.1 %","24.6 %",".202","0.90",".271","81.2 %","55","63","72","2.45","2.78","-0.32","3.29","3.06"
"Tigers","12.62","4.11","3.07","0.88","33.1 %","10.8 %","22.3 %",".217","1.27",".319","81.0 %","69","68","82","3.23","3.15","0.08","3.76","3.43"
"Cubs","10.96","4.30","2.55","0.78","30.1 %","11.8 %","18.3 %",".159","1.04",".212","80.2 %","54","75","83","2.35","3.34","-1.00","3.68","3.73"
"Dodgers","10.27","2.05","5.00","1.17","29.7 %","5.9 %","23.7 %",".182","0.88",".225","75.9 %","77","78","78","3.23","3.41","-0.18","3.47","3.20"
"Braves","8.53","1.42","6.00","1.42","24.3 %","4.1 %","20.3 %",".211","0.95",".240","50.7 %","96","88","83","4.26","3.85","0.42","3.68","3.50"
"Blue Jays","10.13","3.38","3.00","1.01","25.9 %","8.6 %","17.2 %",".206","1.16",".261","64.9 %","95","86","91","4.39","4.00","0.39","4.18","3.86"
"Twins","8.62","2.59","3.33","1.15","23.1 %","6.9 %","16.2 %",".237","1.18",".286","78.5 %","80","89","102","3.73","4.11","-0.37","4.67","4.07"
"Brewers","9.11","1.95","4.67","1.30","25.7 %","5.5 %","20.2 %",".222","1.01",".269","83.3 %","73","93","87","3.25","4.15","-0.90","3.86","3.41"
"Reds","9.84","3.38","2.92","1.41","24.7 %","8.5 %","16.2 %",".256","1.41",".315","64.1 %","125","94","97","5.63","4.28","1.35","4.30","4.00"
"Red Sox","9.56","4.78","2.00","1.13","24.8 %","12.4 %","12.4 %",".220","1.34",".275","71.1 %","99","99","102","4.78","4.50","0.29","4.67","4.46"
"Astros","9.91","2.73","3.63","1.71","28.7 %","7.9 %","20.8 %",".152","0.84",".155","100.0 %","44","99","96","2.05","4.51","-2.45","4.45","3.64"
"Mariners","9.82","4.30","2.29","1.23","25.2 %","11.0 %","14.2 %",".218","1.30",".270","56.5 %","138","101","98","6.14","4.54","1.59","4.47","4.21"
"Giants","9.62","4.44","2.17","1.48","25.0 %","11.5 %","13.5 %",".196","1.23",".226","82.0 %","68","111","108","2.96","4.69","-1.73","4.85","4.40"
"Mets","10.26","4.32","2.38","1.62","24.7 %","10.4 %","14.3 %",".290","1.68",".362","42.0 %","222","106","113","9.72","4.71","5.01","5.12","4.37"
"Orioles","8.84","4.66","1.90","0.93","21.8 %","11.5 %","10.3 %",".233","1.40",".288","74.5 %","79","100","108","3.72","4.77","-1.04","4.96","4.55"
"Cardinals","10.54","4.28","2.46","1.65","25.0 %","10.2 %","14.8 %",".289","1.68",".364","65.0 %","140","110","99","5.93","4.79","1.14","4.37","4.18"
"Phillies","7.14","3.41","2.09","1.24","18.7 %","8.9 %","9.8 %",".211","1.17",".232","82.8 %","77","107","113","3.41","4.87","-1.46","5.00","4.66"
"Pirates","11.22","4.56","2.46","1.75","28.1 %","11.4 %","16.7 %",".242","1.44",".306","78.1 %","98","113","96","4.21","5.01","-0.80","4.26","3.93"
"Padres","10.26","3.24","3.17","2.16","25.7 %","8.1 %","17.6 %",".273","1.44",".326","78.4 %","127","125","116","5.40","5.49","-0.09","5.12","3.97"
"Angels","6.67","6.00","1.11","1.00","17.4 %","15.7 %","1.7 %",".191","1.33",".211","71.8 %","104","120","137","4.67","5.51","-0.84","6.28","5.96"
"Nationals","6.75","3.80","1.78","1.69","18.0 %","10.1 %","7.9 %",".266","1.41",".288","82.7 %","56","123","121","2.53","5.56","-3.03","5.36","5.01"
"Athletics","10.88","2.82","3.86","2.42","30.0 %","7.8 %","22.2 %",".200","1.03",".213","79.6 %","108","126","94","4.84","5.63","-0.80","4.28","3.40"
"Indians","11.41","4.18","2.73","2.28","25.9 %","9.5 %","16.4 %",".333","1.90",".424","75.8 %","126","125","87","6.08","5.75","0.34","3.97","3.95"
"Yankees","9.85","5.84","1.69","1.82","24.8 %","14.7 %","10.1 %",".242","1.54",".288","81.8 %","103","125","109","4.74","5.85","-1.11","4.99","4.84"
"Diamondbacks","7.36","6.14","1.20","1.64","18.0 %","15.0 %","3.0 %",".235","1.59",".254","85.0 %","93","137","137","4.09","5.99","-1.90","6.06","5.78"
"Rangers","7.58","3.94","1.92","2.12","19.1 %","9.9 %","9.2 %",".261","1.45",".277","82.9 %","96","130","117","4.85","6.21","-1.36","5.36","4.84"
"White Sox","10.72","5.56","1.93","2.38","26.5 %","13.7 %","12.8 %",".253","1.59",".296","62.9 %","167","134","106","7.54","6.26","1.29","4.84","4.53"
"Marlins","7.17","4.22","1.70","2.53","19.5 %","11.5 %","8.1 %",".158","1.03",".113","95.9 %","91","159","124","3.80","6.82","-3.03","5.50","5.01"
"Rockies","7.90","2.96","2.67","4.28","19.2 %","7.2 %","12.0 %",".267","1.46",".228","68.8 %","111","185","114","5.60","8.63","-3.03","5.07","4.53"
