"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Pirates","12.10","5.59","2.17","0.00","28.9 %","13.3 %","15.6 %",".244","1.60",".365","64.5 %","119","53","86","5.12","2.39","2.73","3.83","4.13"
"Athletics","9.64","1.29","7.50","0.64","28.0 %","3.7 %","24.3 %",".218","0.93",".290","91.3 %","36","60","81","1.61","2.64","-1.04","3.70","3.17"
"Giants","8.65","2.77","3.13","0.35","26.3 %","8.4 %","17.9 %",".149","0.81",".197","81.6 %","41","64","76","1.73","2.71","-0.98","3.36","3.52"
"Rangers","12.79","4.26","3.00","0.71","30.5 %","10.2 %","20.3 %",".264","1.58",".382","69.9 %","85","60","84","4.26","2.82","1.44","3.83","3.60"
"Indians","9.82","2.05","4.80","0.82","25.5 %","5.3 %","20.2 %",".281","1.36",".365","69.9 %","94","63","87","4.50","2.90","1.60","3.97","3.63"
"Dodgers","10.48","2.82","3.71","0.81","28.3 %","7.6 %","20.7 %",".200","1.07",".263","70.8 %","77","68","89","3.22","2.99","0.23","3.96","3.57"
"Tigers","11.37","2.84","4.00","0.95","30.4 %","7.6 %","22.8 %",".233","1.21",".319","74.3 %","71","65","75","3.32","3.00","0.31","3.41","3.28"
"Diamondbacks","7.53","2.83","2.67","0.31","23.1 %","8.7 %","14.4 %",".117","0.70",".145","66.3 %","57","69","94","2.51","3.04","-0.53","4.18","4.00"
"Brewers","10.04","4.50","2.23","0.35","26.4 %","11.8 %","14.6 %",".211","1.27",".292","74.4 %","78","72","94","3.46","3.21","0.25","4.17","4.20"
"Braves","9.60","2.40","4.00","0.90","27.4 %","6.8 %","20.5 %",".194","0.97",".247","85.3 %","41","75","88","1.80","3.28","-1.48","3.90","3.55"
"Mariners","10.95","2.92","3.75","1.09","30.9 %","8.3 %","22.7 %",".169","0.93",".214","79.8 %","66","75","76","2.92","3.34","-0.42","3.45","3.32"
"Cardinals","9.19","4.02","2.29","0.57","24.2 %","10.6 %","13.6 %",".237","1.34",".310","76.5 %","81","77","100","3.45","3.34","0.11","4.42","4.36"
"Cubs","9.72","2.52","3.86","1.08","29.0 %","7.5 %","21.5 %",".174","0.88",".214","89.9 %","41","78","73","1.80","3.45","-1.65","3.25","3.21"
"White Sox","8.75","3.04","2.88","0.76","21.5 %","7.5 %","14.0 %",".316","1.65",".397","61.8 %","143","76","90","6.46","3.51","2.96","4.09","4.14"
"Rays","6.86","2.06","3.33","0.69","20.0 %","6.0 %","14.0 %",".194","0.92",".226","85.8 %","46","80","91","2.06","3.52","-1.46","4.15","4.15"
"Marlins","10.18","3.10","3.29","0.89","28.1 %","8.5 %","19.5 %",".178","0.98",".229","72.9 %","63","82","93","2.66","3.56","-0.90","4.14","3.66"
"Angels","7.71","2.70","2.86","0.77","20.2 %","7.1 %","13.1 %",".220","1.16",".261","63.5 %","86","80","98","3.86","3.64","0.21","4.49","4.36"
"Padres","10.34","5.74","1.80","0.57","22.2 %","12.4 %","9.9 %",".324","2.11",".423","63.3 %","148","83","104","6.32","3.66","2.66","4.61","4.55"
"Yankees","10.73","3.58","3.00","1.30","28.0 %","9.3 %","18.6 %",".262","1.41",".343","74.9 %","92","84","80","4.23","3.90","0.33","3.67","3.75"
"Twins","7.09","2.36","3.00","0.68","19.8 %","6.6 %","13.2 %",".151","0.79",".171","82.6 %","51","89","113","2.36","4.08","-1.71","5.19","4.38"
"Red Sox","15.24","5.23","2.92","1.74","37.6 %","12.9 %","24.7 %",".275","1.65",".439","78.2 %","108","94","71","5.23","4.23","1.00","3.25","3.28"
"Blue Jays","11.41","3.80","3.00","1.52","26.8 %","8.9 %","17.9 %",".300","1.69",".394","71.4 %","124","95","92","5.70","4.40","1.31","4.22","3.81"
"Royals","8.55","2.70","3.17","1.35","20.0 %","6.3 %","13.7 %",".302","1.60",".359","74.7 %","105","103","93","4.95","4.61","0.34","4.26","3.89"
"Phillies","7.71","3.47","2.22","1.54","19.6 %","8.8 %","10.8 %",".290","1.54",".333","85.5 %","88","108","100","3.86","4.89","-1.03","4.45","4.47"
"Nationals","9.00","7.20","1.25","1.20","20.6 %","16.4 %","4.1 %",".295","2.00",".364","51.5 %","214","118","142","9.60","5.35","4.25","6.27","5.72"
"Reds","8.35","6.38","1.31","1.47","21.8 %","16.7 %","5.1 %",".185","1.36",".200","76.9 %","98","124","120","4.42","5.61","-1.20","5.33","5.44"
"Rockies","8.34","3.57","2.33","2.78","21.4 %","9.2 %","12.2 %",".258","1.41",".262","72.1 %","102","140","113","5.16","6.57","-1.41","5.01","4.51"
"Astros","7.77","2.86","2.71","2.86","19.6 %","7.2 %","12.4 %",".278","1.45",".281","63.1 %","156","145","103","6.95","6.58","0.38","4.70","4.43"
"Orioles","9.12","4.21","2.17","2.81","21.9 %","10.1 %","11.8 %",".269","1.56",".286","69.2 %","149","146","117","7.01","6.99","0.02","5.34","4.62"
"Mets","8.69","5.95","1.46","2.75","18.5 %","12.6 %","5.8 %",".330","2.14",".365","64.6 %","221","174","145","9.15","7.54","1.62","6.40","5.33"
