"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Twins","20.25","0.00","3.00","0.00","75.0 %","0.0 %","75.0 %",".000","0.00",".000","100.0 %","0","-27","5","0.00","-1.29","1.29","0.21","-0.09"
"Rays","15.00","0.00","5.00","0.00","38.5 %","0.0 %","38.5 %",".308","1.33",".500","100.0 %","0","-2","27","0.00","-0.12","0.12","1.21","1.87"
"Astros","13.50","0.00","3.00","0.00","42.9 %","0.0 %","42.9 %",".143","0.50",".250","100.0 %","0","6","49","0.00","0.21","-0.21","2.20","1.63"
"Mariners","9.82","0.00","4.00","0.00","30.8 %","0.0 %","30.8 %",".154","0.55",".222","100.0 %","0","24","47","0.00","1.03","-1.03","2.12","2.15"
"Mets","12.00","0.00","4.00","0.00","40.0 %","0.0 %","40.0 %",".000","0.00",".000","100.0 %","0","35","80","0.00","1.55","-1.55","3.54","1.99"
"Yankees","10.80","2.70","4.00","0.00","30.8 %","7.7 %","23.1 %",".167","0.90",".250","100.0 %","0","37","64","0.00","1.71","-1.71","2.91","2.95"
"Padres","6.00","0.00","2.00","0.00","20.0 %","0.0 %","20.0 %",".100","0.33",".125","100.0 %","0","42","87","0.00","1.88","-1.88","3.87","3.57"
"Angels","4.50","0.00","1.00","0.00","14.3 %","0.0 %","14.3 %",".143","0.50",".167","100.0 %","0","49","135","0.00","2.21","-2.21","6.19","6.03"
"Tigers","9.00","3.00","3.00","0.00","27.3 %","9.1 %","18.2 %",".100","0.67",".143","100.0 %","0","48","78","0.00","2.21","-2.21","3.54","3.83"
"Marlins","10.38","4.15","2.50","0.00","33.3 %","13.3 %","20.0 %",".000","0.46",".000","100.0 %","0","53","83","0.00","2.29","-2.29","3.67","3.73"
"Cardinals","6.00","3.00","2.00","0.00","18.2 %","9.1 %","9.1 %",".200","1.00",".250","100.0 %","0","66","95","0.00","2.88","-2.88","4.21","4.27"
"Nationals","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".500","2.25",".500","100.0 %","0","71","92","0.00","3.21","-3.21","4.71","6.49"
"Giants","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".333","1.00",".333","100.0 %","0","77","117","0.00","3.21","-3.21","5.20","5.17"
"Blue Jays","24.00","0.00","8.00","3.00","66.7 %","0.0 %","66.7 %",".182","0.67",".500","62.5 %","130","70","5","6.00","3.21","2.79","0.21","0.15"
"Athletics","3.00","3.00","1.00","0.00","8.3 %","8.3 %","0.0 %",".182","1.00",".200","100.0 %","0","80","164","0.00","3.55","-3.55","7.53","7.60"
"Indians","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".000","0.00",".000","100.0 %","0","92","135","0.00","4.21","-4.21","6.20","3.18"
"Brewers","9.82","0.00","4.00","2.45","30.8 %","0.0 %","30.8 %",".154","0.55",".125","100.0 %","55","102","109","2.45","4.58","-2.12","4.83","4.39"
"White Sox","3.38","6.75","0.50","0.00","7.7 %","15.4 %","-7.7 %",".182","1.50",".200","50.0 %","149","101","135","6.75","4.71","2.04","6.21","6.39"
"Cubs","9.00","0.00","3.00","3.00","27.3 %","0.0 %","27.3 %",".182","0.67",".143","0.0 %","137","125","72","6.00","5.55","0.45","3.20","2.93"
"Dodgers","6.00","0.00","2.00","3.00","15.4 %","0.0 %","15.4 %",".385","1.67",".400","27.8 %","286","143","117","12.00","6.21","5.79","5.20","4.31"
"Pirates","18.00","4.50","4.00","4.50","50.0 %","12.5 %","37.5 %",".143","1.00",".000","100.0 %","104","164","61","4.50","7.21","-2.71","2.70","2.33"
"Orioles","11.25","9.00","1.25","2.25","26.3 %","21.1 %","5.3 %",".214","1.75",".250","100.0 %","48","161","162","2.25","7.71","-5.46","7.45","6.09"
"Phillies","3.00","3.00","1.00","3.00","7.7 %","7.7 %","0.0 %",".417","2.00",".400","65.2 %","204","174","110","9.00","7.88","1.12","4.87","4.81"
"Red Sox","9.00","3.60","2.50","3.60","20.0 %","8.0 %","12.0 %",".273","1.60",".267","64.5 %","149","181","144","7.20","8.21","-1.01","6.59","4.81"
"Reds","8.10","10.80","0.75","2.70","17.7 %","23.5 %","-5.9 %",".231","2.10",".222","89.3 %","120","198","167","5.40","8.91","-3.51","7.40","7.30"
"Royals","0.00","13.50","0.00","0.00","0.0 %","25.0 %","-25.0 %",".250","2.50",".250","50.0 %","191","160","200","13.50","9.21","4.29","12.20","10.10"
"Rangers","8.31","12.46","0.67","4.15","16.0 %","24.0 %","-8.0 %",".421","3.23",".462","71.4 %","201","208","168","12.46","11.52","0.94","8.74","7.68"
"Rockies","9.00","0.00","2.00","9.00","25.0 %","0.0 %","25.0 %",".250","1.00",".000","100.0 %","178","305","117","9.00","14.21","-5.21","5.19","3.74"
"Braves","6.00","12.00","0.50","6.00","12.5 %","25.0 %","-12.5 %",".250","2.33",".125","0.0 %","473","334","193","21.00","14.55","6.45","8.53","8.16"
"Diamondbacks","0.00","2.08","0.00","8.31","0.0 %","5.3 %","-5.3 %",".278","1.38",".071","100.0 %","235","364","234","10.38","15.91","-5.52","10.33","10.27"
