"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Diamondbacks","9.42","3.14","3.00","0.00","26.8 %","8.9 %","17.9 %",".157","0.91",".222","84.6 %","14","49","83","0.63","2.17","-1.54","3.69","3.78"
"Yankees","11.49","2.87","4.00","0.57","31.3 %","7.8 %","23.4 %",".254","1.28",".368","91.4 %","37","53","83","1.72","2.45","-0.72","3.78","3.30"
"Royals","11.25","3.15","3.57","0.90","29.1 %","8.1 %","20.9 %",".266","1.40",".365","71.4 %","96","69","69","4.50","3.06","1.44","3.16","3.32"
"Indians","11.69","2.42","4.83","1.21","31.2 %","6.5 %","24.7 %",".198","1.03",".259","75.8 %","50","72","83","2.42","3.30","-0.89","3.78","3.12"
"Blue Jays","9.35","4.85","1.93","0.35","22.9 %","11.9 %","11.0 %",".282","1.65",".373","84.5 %","60","73","119","2.77","3.37","-0.60","5.47","4.71"
"Angels","8.24","1.99","4.14","0.85","24.0 %","5.8 %","18.2 %",".179","0.85",".213","88.7 %","44","76","83","1.99","3.47","-1.48","3.81","3.66"
"Athletics","6.94","3.09","2.25","0.77","19.2 %","8.5 %","10.6 %",".186","1.03",".212","75.5 %","69","86","118","3.09","3.81","-0.73","5.43","4.95"
"Astros","9.62","4.81","2.00","0.80","24.2 %","12.1 %","12.1 %",".237","1.46",".304","64.7 %","84","85","101","3.74","3.84","-0.10","4.63","4.53"
"Reds","10.70","2.55","4.20","1.53","27.6 %","6.6 %","21.1 %",".257","1.30",".326","80.8 %","79","90","85","3.57","4.06","-0.50","3.77","3.42"
"Giants","10.00","3.33","3.00","1.33","25.6 %","8.6 %","17.1 %",".248","1.33",".310","77.2 %","95","102","84","4.00","4.25","-0.25","3.72","3.72"
"Cardinals","9.82","3.68","2.67","1.23","25.0 %","9.4 %","15.6 %",".232","1.30",".289","71.4 %","116","102","97","4.91","4.44","0.47","4.30","3.99"
"Dodgers","9.51","4.94","1.92","1.14","23.8 %","12.4 %","11.4 %",".209","1.35",".254","66.0 %","109","104","107","4.56","4.52","0.04","4.73","4.57"
"Twins","10.00","2.00","5.00","2.00","27.0 %","5.4 %","21.6 %",".257","1.22",".304","48.8 %","86","99","92","4.00","4.55","-0.55","4.20","3.51"
"Nationals","8.78","4.05","2.17","1.35","22.4 %","10.3 %","12.1 %",".250","1.43",".297","61.7 %","135","101","109","6.08","4.56","1.51","4.85","4.54"
"Padres","10.42","3.32","3.14","1.89","24.7 %","7.9 %","16.9 %",".293","1.63",".357","59.1 %","167","108","76","7.11","4.74","2.36","3.36","3.66"
"Cubs","4.91","0.98","5.00","1.47","12.8 %","2.6 %","10.3 %",".307","1.36",".323","73.4 %","101","107","108","4.42","4.74","-0.32","4.78","4.60"
"Pirates","7.97","3.98","2.00","1.33","20.9 %","10.5 %","10.5 %",".250","1.38",".291","80.7 %","92","109","110","3.98","4.84","-0.85","4.88","4.62"
"Mets","7.41","4.24","1.75","1.06","19.2 %","11.0 %","8.2 %",".242","1.35",".283","94.8 %","51","116","114","2.12","5.04","-2.92","5.03","4.81"
"Orioles","6.46","3.52","1.83","1.47","16.1 %","8.8 %","7.3 %",".252","1.40",".271","60.5 %","119","110","130","5.58","5.27","0.31","5.94","5.13"
"Marlins","10.50","2.00","5.25","2.50","28.8 %","5.5 %","23.3 %",".250","1.17",".286","80.0 %","119","124","88","5.00","5.33","-0.33","3.92","3.31"
"Red Sox","9.39","4.70","2.00","1.57","22.6 %","11.3 %","11.3 %",".275","1.61",".333","61.1 %","138","118","124","6.65","5.34","1.31","5.68","4.69"
"Rays","11.52","3.24","3.56","2.52","30.2 %","8.5 %","21.7 %",".247","1.32",".293","69.0 %","137","121","71","6.12","5.37","0.75","3.25","3.39"
"Brewers","13.06","6.10","2.14","2.18","29.7 %","13.9 %","15.8 %",".287","1.89",".385","56.3 %","177","123","92","7.84","5.49","2.35","4.08","4.20"
"Rockies","8.16","3.14","2.60","2.20","18.8 %","7.3 %","11.6 %",".354","1.92",".404","52.0 %","174","122","109","8.79","5.73","3.07","4.84","4.47"
"Tigers","5.31","1.77","3.00","2.21","14.3 %","4.8 %","9.5 %",".288","1.33",".286","75.0 %","114","125","109","5.31","5.82","-0.51","4.97","4.75"
"White Sox","5.79","6.27","0.92","1.45","12.4 %","13.4 %","-1.0 %",".378","2.36",".418","67.0 %","171","138","125","7.71","6.43","1.29","5.72","5.54"
"Rangers","9.00","4.82","1.87","2.25","20.7 %","11.1 %","9.6 %",".276","1.68",".309","58.3 %","159","136","119","8.04","6.50","1.54","5.45","4.78"
"Braves","8.84","7.85","1.13","1.96","19.8 %","17.6 %","2.2 %",".284","2.02",".327","67.9 %","177","157","145","7.85","6.87","0.99","6.42","5.97"
"Phillies","9.36","5.76","1.63","2.52","21.0 %","12.9 %","8.1 %",".279","1.80",".310","63.8 %","181","155","133","8.28","7.17","1.11","6.00","5.09"
"Mariners","7.71","5.79","1.33","3.09","18.4 %","13.8 %","4.6 %",".258","1.67",".246","59.0 %","191","178","135","8.49","8.01","0.47","6.20","5.55"
