"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Reds","12.23","2.04","6.00","0.00","35.8 %","6.0 %","29.9 %",".190","0.91",".308","75.0 %","45","25","57","2.04","1.18","0.86","2.53","2.59"
"Pirates","10.59","3.18","3.33","0.53","25.6 %","7.7 %","18.0 %",".306","1.65",".412","63.9 %","135","60","104","5.82","2.68","3.14","4.61","3.89"
"Blue Jays","8.34","2.78","3.00","0.79","23.9 %","8.0 %","15.9 %",".185","0.97",".224","83.3 %","52","74","106","2.38","3.43","-1.05","4.83","4.12"
"Diamondbacks","10.30","2.49","4.14","0.71","28.2 %","6.8 %","21.4 %",".167","0.87",".220","91.3 %","32","79","86","1.42","3.49","-2.07","3.80","3.34"
"Athletics","11.44","3.81","3.00","0.95","29.3 %","9.8 %","19.5 %",".229","1.31",".314","83.3 %","64","79","98","2.86","3.53","-0.67","4.47","3.80"
"Cubs","9.00","1.38","6.50","1.38","24.1 %","3.7 %","20.4 %",".308","1.38",".378","85.5 %","63","83","76","2.77","3.68","-0.91","3.36","3.21"
"Phillies","11.51","3.10","3.71","0.89","28.9 %","7.8 %","21.1 %",".244","1.28",".340","81.6 %","70","81","103","3.10","3.71","-0.61","4.58","3.51"
"Cardinals","12.09","2.42","5.00","1.61","35.7 %","7.1 %","28.6 %",".156","0.81",".186","89.6 %","67","87","73","2.82","3.80","-0.98","3.25","2.76"
"Tigers","9.72","3.24","3.00","1.08","24.3 %","8.1 %","16.2 %",".269","1.44",".340","63.1 %","127","84","85","5.94","3.87","2.07","3.87","3.66"
"Yankees","11.03","4.18","2.64","1.14","28.2 %","10.7 %","17.5 %",".253","1.44",".339","74.7 %","99","84","94","4.56","3.93","0.63","4.30","3.93"
"Royals","10.89","5.66","1.92","0.87","27.2 %","14.1 %","13.0 %",".266","1.65",".365","80.1 %","83","88","88","3.92","3.94","-0.02","4.03","4.36"
"Twins","8.39","2.92","2.88","1.09","21.9 %","7.6 %","14.3 %",".271","1.38",".329","77.9 %","86","87","97","4.01","4.02","-0.01","4.46","4.23"
"Rays","9.32","3.82","2.44","1.19","25.0 %","10.3 %","14.7 %",".236","1.30",".292","78.6 %","86","94","93","3.82","4.14","-0.32","4.27","4.21"
"Mets","6.46","2.66","2.43","1.14","17.2 %","7.1 %","10.1 %",".209","1.10",".225","61.4 %","101","102","122","4.18","4.44","-0.26","5.40","4.79"
"Astros","7.91","4.66","1.70","0.93","21.8 %","12.8 %","9.0 %",".179","1.14",".208","69.3 %","83","100","114","3.72","4.51","-0.78","5.22","4.95"
"Brewers","10.48","5.40","1.94","1.27","26.6 %","13.7 %","12.9 %",".252","1.55",".329","67.7 %","122","101","97","5.40","4.52","0.88","4.30","4.43"
"Rockies","7.50","4.13","1.82","1.13","19.1 %","10.5 %","8.6 %",".269","1.50",".314","85.4 %","67","100","108","3.38","4.67","-1.30","4.79","4.70"
"Indians","6.61","4.41","1.50","1.10","16.0 %","10.7 %","5.3 %",".299","1.71",".340","67.5 %","126","105","123","6.06","4.81","1.26","5.65","5.31"
"Dodgers","9.17","1.02","9.00","2.04","26.1 %","2.9 %","23.2 %",".203","0.85",".214","72.6 %","97","114","109","4.08","4.97","-0.89","4.84","3.49"
"Braves","11.41","7.23","1.58","1.14","25.6 %","16.2 %","9.4 %",".263","1.86",".355","70.1 %","111","117","112","4.94","5.12","-0.17","4.98","4.96"
"Marlins","12.64","4.60","2.75","2.30","35.5 %","12.9 %","22.6 %",".204","1.21",".250","97.0 %","82","122","84","3.45","5.26","-1.81","3.72","3.48"
"Orioles","9.19","4.18","2.20","1.95","22.8 %","10.3 %","12.4 %",".279","1.58",".326","66.4 %","130","114","108","6.12","5.47","0.65","4.93","4.49"
"Mariners","10.06","4.24","2.38","2.12","23.5 %","9.9 %","13.6 %",".306","1.76",".367","70.9 %","143","125","115","6.35","5.63","0.73","5.26","4.47"
"White Sox","7.77","3.27","2.38","2.05","20.0 %","8.4 %","11.6 %",".235","1.27",".246","78.3 %","91","125","121","4.09","5.80","-1.71","5.56","4.65"
"Giants","8.62","5.74","1.50","1.72","21.4 %","14.3 %","7.1 %",".220","1.47",".244","85.9 %","96","141","120","4.02","5.89","-1.87","5.31","5.14"
"Red Sox","10.50","3.50","3.00","2.50","29.2 %","9.7 %","19.4 %",".206","1.11",".216","66.7 %","118","129","87","6.00","5.99","0.01","4.04","3.67"
"Padres","8.84","1.96","4.50","2.95","25.0 %","5.6 %","19.4 %",".206","0.98",".182","93.8 %","92","140","92","3.93","6.16","-2.23","4.07","3.67"
"Angels","10.44","6.37","1.64","2.29","25.6 %","15.6 %","10.0 %",".218","1.53",".241","89.9 %","90","142","127","4.08","6.50","-2.42","5.83","5.01"
"Nationals","9.00","5.29","1.70","2.12","21.3 %","12.5 %","8.8 %",".239","1.53",".261","72.7 %","142","146","129","6.35","6.57","-0.21","5.73","4.97"
"Rangers","6.63","3.32","2.00","2.37","16.5 %","8.2 %","8.2 %",".289","1.53",".298","66.7 %","132","138","108","6.63","6.58","0.05","4.94","4.84"
