"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Brewers","12.75","3.75","3.40","0.00","31.8 %","9.4 %","22.4 %",".253","1.42",".393","55.6 %","110","42","61","4.88","1.88","2.99","2.71","3.17"
"Reds","11.74","1.76","6.67","0.59","34.5 %","5.2 %","29.3 %",".182","0.85",".265","86.2 %","39","45","59","1.76","2.04","-0.28","2.62","2.50"
"Braves","9.90","2.25","4.40","0.00","25.9 %","5.9 %","20.0 %",".231","1.15",".321","76.0 %","30","47","71","1.35","2.06","-0.71","3.16","3.25"
"Rays","8.76","2.55","3.43","0.00","23.1 %","6.7 %","16.4 %",".247","1.26",".329","71.0 %","66","48","90","2.92","2.12","0.80","4.14","3.95"
"Cubs","11.74","2.93","4.00","0.59","32.3 %","8.1 %","24.2 %",".175","0.98",".250","66.2 %","80","54","62","3.52","2.43","1.09","2.75","2.88"
"Cardinals","9.95","2.84","3.50","0.47","28.4 %","8.1 %","20.3 %",".162","0.89",".217","64.1 %","67","60","77","2.84","2.64","0.21","3.42","3.50"
"Rockies","8.80","1.76","5.00","0.59","25.9 %","5.2 %","20.7 %",".182","0.85",".231","86.2 %","35","57","79","1.76","2.69","-0.93","3.53","3.42"
"Orioles","9.70","3.80","2.56","0.00","24.7 %","9.7 %","15.1 %",".210","1.22",".293","62.1 %","81","58","83","3.80","2.75","1.05","3.77","3.64"
"Diamondbacks","8.38","2.33","3.60","0.47","22.5 %","6.3 %","16.3 %",".240","1.19",".304","74.1 %","63","63","90","2.79","2.80","-0.01","3.98","3.90"
"Nationals","10.90","2.08","5.25","1.04","29.6 %","5.6 %","23.9 %",".239","1.15",".318","75.6 %","81","66","85","3.63","2.98","0.65","3.78","3.24"
"Mets","13.50","2.03","6.67","1.35","34.5 %","5.2 %","29.3 %",".278","1.35",".406","55.6 %","163","70","86","6.75","3.06","3.69","3.80","2.77"
"Dodgers","8.40","4.80","1.75","0.00","23.3 %","13.3 %","10.0 %",".118","0.93",".162","86.7 %","29","72","113","1.20","3.15","-1.95","5.00","4.84"
"Royals","9.00","4.71","1.91","0.86","22.3 %","11.7 %","10.6 %",".265","1.57",".333","59.6 %","127","90","100","6.00","4.02","1.98","4.59","4.57"
"Red Sox","11.37","1.78","6.40","1.78","29.1 %","4.6 %","24.6 %",".255","1.22",".323","81.5 %","81","93","79","3.91","4.20","-0.29","3.60","3.10"
"Indians","10.13","4.50","2.25","1.13","27.8 %","12.4 %","15.5 %",".179","1.13",".222","84.0 %","47","92","95","2.25","4.21","-1.96","4.33","4.16"
"Marlins","8.59","5.73","1.50","0.82","21.9 %","14.6 %","7.3 %",".232","1.50",".288","76.2 %","98","102","138","4.09","4.40","-0.30","6.11","5.40"
"Giants","9.16","3.38","2.71","1.45","22.6 %","8.3 %","14.3 %",".303","1.61",".370","78.4 %","109","107","95","4.82","4.55","0.27","4.28","4.13"
"Mariners","6.05","3.89","1.56","0.86","15.9 %","10.2 %","5.7 %",".237","1.32",".266","70.0 %","102","102","116","4.54","4.56","-0.02","5.32","5.25"
"Rangers","8.07","2.48","3.25","1.55","23.0 %","7.1 %","15.9 %",".192","0.97",".205","68.2 %","80","96","87","4.03","4.59","-0.56","4.00","3.84"
"Athletics","6.41","4.39","1.46","1.01","15.5 %","10.6 %","4.9 %",".275","1.61",".310","60.3 %","136","108","132","6.08","4.83","1.25","6.05","5.46"
"White Sox","7.71","4.50","1.71","1.29","19.4 %","11.3 %","8.1 %",".218","1.36",".244","55.6 %","128","105","112","5.79","4.86","0.93","5.13","4.99"
"Blue Jays","8.44","4.39","1.92","1.69","22.3 %","11.6 %","10.7 %",".202","1.24",".217","96.2 %","59","113","123","2.70","5.24","-2.54","5.64","4.86"
"Padres","7.53","1.26","6.00","2.20","20.7 %","3.5 %","17.2 %",".255","1.12",".266","70.3 %","125","122","102","5.34","5.34","0.00","4.53","3.96"
"Phillies","10.80","6.00","1.80","1.80","26.5 %","14.7 %","11.8 %",".259","1.67",".324","91.4 %","77","116","100","3.60","5.41","-1.81","4.54","4.58"
"Twins","10.00","4.50","2.22","2.50","23.8 %","10.7 %","13.1 %",".297","1.72",".347","84.0 %","118","136","109","5.50","6.27","-0.77","4.98","4.48"
"Angels","8.45","3.52","2.40","2.58","20.2 %","8.4 %","11.8 %",".298","1.64",".325","72.6 %","151","139","117","6.81","6.40","0.41","5.36","4.60"
"Astros","8.49","6.37","1.33","2.12","20.9 %","15.7 %","5.2 %",".212","1.52",".218","68.2 %","136","144","137","6.07","6.52","-0.45","6.27","5.58"
"Pirates","6.10","6.10","1.00","2.61","13.1 %","13.1 %","0.0 %",".323","2.13",".329","59.0 %","212","174","147","9.15","7.67","1.48","6.49","6.02"
"Tigers","6.85","6.08","1.13","2.66","16.2 %","14.4 %","1.8 %",".247","1.65",".235","76.9 %","130","168","140","6.08","7.82","-1.74","6.41","5.88"
"Yankees","7.52","3.10","2.43","3.54","18.3 %","7.5 %","10.8 %",".282","1.52",".267","62.5 %","154","167","109","7.08","7.84","-0.75","4.97","4.59"
