"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Rangers","6.75","2.81","2.40","0.00","17.4 %","7.3 %","10.1 %",".250","1.31",".308","66.7 %","67","56","101","3.38","2.65","0.72","4.64","4.67"
"Indians","10.36","2.96","3.50","0.37","28.0 %","8.0 %","20.0 %",".225","1.15",".317","74.3 %","62","61","103","2.96","2.80","0.16","4.72","3.70"
"Twins","9.51","2.66","3.57","0.76","24.0 %","6.7 %","17.3 %",".299","1.52",".386","57.2 %","131","67","100","6.08","3.09","3.00","4.59","4.03"
"Dodgers","9.43","3.43","2.75","0.43","24.7 %","9.0 %","15.7 %",".241","1.29",".321","83.3 %","51","72","100","2.14","3.17","-1.02","4.44","4.06"
"Rays","10.31","1.52","6.80","1.21","29.1 %","4.3 %","24.8 %",".220","0.98",".282","75.8 %","48","79","73","2.12","3.48","-1.36","3.34","3.05"
"Astros","8.47","4.24","2.00","0.53","24.6 %","12.3 %","12.3 %",".158","1.00",".200","96.2 %","24","78","91","1.06","3.51","-2.45","4.15","4.25"
"Pirates","13.50","3.09","4.38","1.54","31.5 %","7.2 %","24.3 %",".257","1.46",".355","52.6 %","89","84","70","3.86","3.73","0.13","3.12","3.04"
"Royals","7.23","4.34","1.67","0.48","17.9 %","10.7 %","7.1 %",".267","1.55",".322","58.0 %","126","83","109","6.27","3.75","2.52","5.08","4.97"
"White Sox","8.90","4.30","2.07","0.61","22.7 %","10.9 %","11.7 %",".241","1.40",".309","77.1 %","81","81","90","3.68","3.76","-0.08","4.09","4.17"
"Yankees","8.48","4.08","2.08","0.94","23.3 %","11.2 %","12.1 %",".194","1.15",".233","86.8 %","55","87","100","2.51","4.05","-1.54","4.56","4.53"
"Cubs","10.65","2.66","4.00","1.52","28.3 %","7.1 %","21.2 %",".253","1.27",".322","90.6 %","70","91","82","3.04","4.06","-1.02","3.63","3.44"
"Phillies","8.78","2.60","3.38","1.30","21.8 %","6.5 %","15.3 %",".313","1.59",".381","71.1 %","111","91","91","4.88","4.12","0.76","4.04","4.03"
"Nationals","10.61","4.82","2.20","0.96","26.2 %","11.9 %","14.3 %",".222","1.39",".292","59.5 %","133","91","116","6.27","4.18","2.09","5.24","4.38"
"Rockies","9.00","4.95","1.82","0.90","22.5 %","12.4 %","10.1 %",".260","1.55",".327","65.1 %","105","90","99","5.85","4.31","1.54","4.51","4.66"
"Brewers","7.62","4.85","1.57","0.69","17.3 %","11.0 %","6.3 %",".297","1.81",".356","64.9 %","133","98","119","5.88","4.37","1.52","5.28","5.03"
"Padres","9.35","3.12","3.00","1.56","23.7 %","7.9 %","15.8 %",".286","1.50",".347","55.1 %","158","101","96","6.75","4.43","2.32","4.24","4.07"
"Blue Jays","7.96","5.12","1.56","0.85","20.1 %","13.0 %","7.2 %",".210","1.36",".250","83.3 %","68","99","121","3.13","4.57","-1.45","5.54","5.11"
"Cardinals","7.56","6.48","1.17","0.54","18.2 %","15.6 %","2.6 %",".250","1.68",".306","68.8 %","127","107","136","5.40","4.65","0.75","6.02","5.80"
"Tigers","7.18","5.13","1.40","0.68","16.2 %","11.5 %","4.6 %",".330","1.97",".393","61.3 %","154","100","126","7.18","4.66","2.52","5.78","5.33"
"Red Sox","9.00","4.06","2.21","1.45","23.5 %","10.6 %","12.9 %",".222","1.29",".259","85.3 %","66","105","99","3.19","4.76","-1.57","4.53","4.40"
"Mariners","10.04","2.42","4.14","2.08","25.7 %","6.2 %","19.5 %",".267","1.35",".314","50.7 %","156","109","82","6.92","4.91","2.02","3.74","3.50"
"Giants","6.23","3.56","1.75","1.19","16.9 %","9.7 %","7.3 %",".245","1.29",".271","90.4 %","64","118","115","2.67","4.93","-2.26","5.12","4.97"
"Diamondbacks","7.29","4.29","1.70","1.29","17.7 %","10.4 %","7.3 %",".282","1.62",".323","77.9 %","97","114","108","4.29","5.02","-0.74","4.78","4.78"
"Mets","8.34","4.76","1.75","1.19","23.3 %","13.3 %","10.0 %",".160","1.06",".176","92.1 %","58","117","113","2.38","5.07","-2.68","5.01","4.76"
"Angels","7.31","1.91","3.83","1.91","19.3 %","5.0 %","14.3 %",".234","1.13",".244","66.4 %","113","113","104","5.08","5.19","-0.11","4.75","4.22"
"Athletics","10.13","2.89","3.50","2.41","26.3 %","7.5 %","18.8 %",".247","1.29",".277","66.7 %","141","125","104","6.27","5.57","0.70","4.75","3.86"
"Braves","7.17","4.22","1.70","2.11","17.5 %","10.3 %","7.2 %",".291","1.64",".313","75.9 %","133","142","122","5.91","6.21","-0.31","5.40","5.06"
"Marlins","10.44","3.24","3.22","2.88","26.1 %","8.1 %","18.0 %",".267","1.44",".297","93.0 %","112","145","105","4.68","6.25","-1.57","4.64","3.86"
"Reds","12.71","7.41","1.71","2.65","32.0 %","18.7 %","13.3 %",".180","1.47",".188","88.9 %","106","148","112","4.76","6.68","-1.92","4.97","4.73"
"Orioles","7.53","3.63","2.07","4.67","17.6 %","8.5 %","9.1 %",".347","1.90",".330","76.6 %","182","200","115","8.57","9.59","-1.02","5.25","4.78"
