"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Orioles","9.95","2.84","3.50","0.00","25.5 %","7.3 %","18.2 %",".280","1.42",".389","57.9 %","121","46","75","5.68","2.19","3.50","3.44","3.62"
"Cardinals","11.45","2.05","5.60","0.82","35.4 %","6.3 %","29.1 %",".162","0.77",".227","84.5 %","48","58","77","2.05","2.53","-0.49","3.43","2.76"
"Indians","8.22","1.76","4.67","0.59","25.0 %","5.4 %","19.6 %",".132","0.65",".158","100.0 %","12","62","94","0.59","2.82","-2.24","4.31","3.83"
"Marlins","9.00","2.57","3.50","0.43","23.6 %","6.7 %","16.9 %",".256","1.29",".333","86.5 %","41","65","110","1.71","2.83","-1.12","4.87","4.16"
"Nationals","6.23","2.60","2.40","0.00","15.0 %","6.3 %","8.8 %",".315","1.62",".377","76.7 %","69","67","105","3.12","3.04","0.07","4.65","4.20"
"Dodgers","12.27","0.98","12.50","1.47","39.1 %","3.1 %","35.9 %",".115","0.49",".121","100.0 %","35","71","63","1.47","3.10","-1.63","2.82","2.07"
"Yankees","10.00","4.00","2.50","0.50","24.1 %","9.6 %","14.5 %",".257","1.50",".340","79.0 %","54","69","81","2.50","3.21","-0.71","3.71","3.89"
"Padres","8.71","2.18","4.00","0.44","22.7 %","5.7 %","17.1 %",".241","1.16",".310","67.7 %","78","73","100","3.48","3.21","0.27","4.51","3.89"
"Athletics","10.27","3.04","3.38","1.14","29.7 %","8.8 %","20.9 %",".169","0.93",".208","100.0 %","34","81","79","1.52","3.59","-2.07","3.63","3.50"
"Braves","9.50","3.00","3.17","1.00","25.7 %","8.1 %","17.6 %",".239","1.22",".304","99.0 %","34","85","88","1.50","3.71","-2.21","3.93","3.85"
"Giants","10.29","0.86","12.00","1.71","27.3 %","2.3 %","25.0 %",".286","1.24",".357","71.4 %","122","95","74","5.14","3.98","1.17","3.30","2.92"
"Astros","10.35","4.05","2.56","1.35","26.1 %","10.2 %","15.9 %",".253","1.45",".321","64.5 %","111","93","91","4.95","4.21","0.74","4.15","4.05"
"Cubs","7.47","2.87","2.60","1.15","21.3 %","8.2 %","13.1 %",".200","1.02",".225","77.5 %","79","98","87","3.45","4.36","-0.92","3.85","3.67"
"Rockies","6.32","2.30","2.75","1.15","16.9 %","6.2 %","10.8 %",".250","1.21",".277","81.4 %","64","93","117","3.45","4.43","-0.98","5.31","4.67"
"Twins","11.10","3.00","3.70","1.80","29.6 %","8.0 %","21.6 %",".254","1.30",".324","79.1 %","97","97","80","4.50","4.45","0.05","3.64","3.44"
"Tigers","7.20","3.90","1.85","1.20","17.9 %","9.7 %","8.2 %",".248","1.43",".280","56.2 %","122","100","109","5.70","4.65","1.05","4.97","4.79"
"White Sox","8.18","4.09","2.00","1.23","22.5 %","11.2 %","11.2 %",".218","1.23",".255","79.8 %","72","101","101","3.27","4.67","-1.40","4.61","4.58"
"Angels","9.39","4.40","2.13","1.47","23.2 %","10.9 %","12.3 %",".285","1.63",".349","72.1 %","124","103","98","5.58","4.71","0.86","4.48","4.41"
"Mets","9.37","2.76","3.40","1.65","22.7 %","6.7 %","16.0 %",".294","1.53",".354","74.6 %","133","111","90","5.51","4.81","0.70","4.00","3.84"
"Pirates","10.00","3.00","3.33","2.00","25.9 %","7.8 %","18.1 %",".274","1.41",".329","78.4 %","116","113","91","5.00","4.99","0.01","4.02","3.72"
"Rangers","8.78","4.73","1.86","1.35","20.8 %","11.2 %","9.6 %",".275","1.65",".329","71.8 %","110","104","116","5.74","5.01","0.72","5.38","4.87"
"Red Sox","10.80","4.63","2.33","1.93","26.4 %","11.3 %","15.1 %",".255","1.54",".311","69.0 %","112","114","100","5.40","5.14","0.26","4.57","4.22"
"Blue Jays","7.71","2.76","2.80","1.93","21.4 %","7.6 %","13.7 %",".223","1.13",".233","69.9 %","108","112","101","4.96","5.20","-0.24","4.61","4.33"
"Diamondbacks","12.67","4.96","2.56","2.20","32.9 %","12.9 %","20.0 %",".230","1.41",".294","86.2 %","94","117","86","4.41","5.23","-0.83","3.88","3.73"
"Reds","9.82","2.45","4.00","2.45","24.6 %","6.2 %","18.5 %",".283","1.43",".325","54.9 %","177","124","80","7.98","5.60","2.38","3.55","3.72"
"Rays","12.99","4.10","3.17","2.73","32.5 %","10.3 %","22.2 %",".257","1.48",".322","57.6 %","169","128","75","7.52","5.64","1.87","3.43","3.40"
"Royals","5.21","6.16","0.85","0.95","11.3 %","13.4 %","-2.1 %",".354","2.21",".391","63.1 %","141","129","144","6.63","5.79","0.84","6.62","6.21"
"Phillies","8.35","2.95","2.83","2.45","23.3 %","8.2 %","15.1 %",".209","1.09",".200","84.6 %","100","130","94","4.42","5.89","-1.47","4.19","4.15"
"Brewers","7.77","4.50","1.73","2.05","17.6 %","10.2 %","7.4 %",".326","1.91",".366","62.2 %","175","139","139","7.77","6.21","1.56","6.15","5.18"
"Mariners","6.83","3.41","2.00","2.48","18.3 %","9.2 %","9.2 %",".239","1.28",".228","73.6 %","126","143","110","5.59","6.42","-0.83","5.03","4.86"
