"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Tigers","12.64","1.72","7.33","0.57","36.1 %","4.9 %","31.2 %",".175","0.83",".265","47.6 %","25","44","57","1.15","2.00","-0.85","2.57","2.44"
"Royals","10.80","3.15","3.43","0.45","28.6 %","8.3 %","20.2 %",".221","1.20",".308","70.8 %","67","56","78","3.15","2.51","0.64","3.55","3.43"
"White Sox","6.14","2.45","2.50","0.00","18.9 %","7.6 %","11.3 %",".143","0.75",".179","63.6 %","41","58","82","1.84","2.67","-0.83","3.75","3.95"
"Yankees","7.52","3.54","2.13","0.00","20.2 %","9.5 %","10.7 %",".240","1.28",".310","81.5 %","48","62","99","2.21","2.87","-0.66","4.53","4.55"
"Nationals","10.47","2.20","4.75","1.10","29.2 %","6.2 %","23.1 %",".230","1.10",".300","72.4 %","86","71","89","3.86","3.21","0.64","3.94","3.45"
"Rangers","9.43","2.93","3.22","0.98","24.8 %","7.7 %","17.1 %",".269","1.37",".342","76.9 %","77","74","107","3.90","3.50","0.40","4.90","4.12"
"Diamondbacks","8.78","3.04","2.89","1.01","23.6 %","8.2 %","15.5 %",".267","1.35",".333","78.6 %","84","85","76","3.71","3.74","-0.03","3.40","3.79"
"Rays","7.43","3.04","2.44","0.68","18.8 %","7.7 %","11.1 %",".245","1.31",".293","76.0 %","76","86","112","3.38","3.78","-0.40","5.11","4.62"
"Brewers","8.86","2.53","3.50","1.27","22.6 %","6.5 %","16.1 %",".276","1.41",".333","62.0 %","114","87","91","5.06","3.92","1.15","4.05","3.90"
"Padres","8.22","2.74","3.00","1.17","21.2 %","7.1 %","14.1 %",".272","1.39",".324","64.8 %","127","92","96","5.09","4.00","1.09","4.20","4.20"
"Indians","9.37","3.31","2.83","1.10","21.5 %","7.6 %","13.9 %",".292","1.65",".358","59.5 %","103","88","119","4.96","4.01","0.95","5.46","4.47"
"Astros","10.41","2.70","3.86","1.54","29.0 %","7.5 %","21.5 %",".186","0.99",".218","100.0 %","43","89","84","1.93","4.03","-2.10","3.85","3.46"
"Marlins","10.00","3.00","3.33","1.50","25.0 %","7.5 %","17.5 %",".270","1.44",".333","64.2 %","143","96","95","6.00","4.16","1.84","4.20","3.85"
"Rockies","10.97","2.53","4.33","1.69","28.0 %","6.5 %","21.5 %",".256","1.31",".321","72.7 %","92","89","82","4.64","4.20","0.44","3.63","3.35"
"Reds","7.88","3.94","2.00","1.13","19.7 %","9.9 %","9.9 %",".266","1.50",".313","70.8 %","113","97","96","5.06","4.40","0.66","4.27","4.55"
"Athletics","7.33","4.33","1.69","1.00","18.2 %","10.7 %","7.4 %",".264","1.52",".309","64.4 %","127","105","127","5.67","4.70","0.97","5.83","5.14"
"Red Sox","11.25","6.75","1.67","1.13","24.7 %","14.8 %","9.9 %",".299","2.00",".400","54.5 %","198","110","122","9.56","4.96","4.60","5.58","4.89"
"Blue Jays","8.35","4.91","1.70","1.47","21.0 %","12.4 %","8.6 %",".282","1.64",".333","93.0 %","64","110","117","2.95","5.12","-2.18","5.38","5.01"
"Angels","9.68","4.33","2.24","1.78","24.5 %","11.0 %","13.6 %",".228","1.36",".264","74.6 %","113","115","106","5.09","5.25","-0.16","4.87","4.36"
"Mariners","6.15","5.08","1.21","1.07","15.2 %","12.6 %","2.7 %",".223","1.43",".243","69.8 %","84","117","125","3.74","5.26","-1.52","5.73","5.50"
"Cardinals","10.90","6.75","1.62","1.56","26.6 %","16.5 %","10.1 %",".212","1.56",".262","70.2 %","135","122","105","5.71","5.29","0.42","4.65","4.87"
"Cubs","7.24","2.63","2.75","1.98","18.6 %","6.8 %","11.9 %",".273","1.39",".293","67.6 %","135","120","112","5.93","5.34","0.59","4.96","4.58"
"Giants","6.97","3.92","1.78","1.74","18.6 %","10.5 %","8.1 %",".237","1.31",".250","84.8 %","93","135","112","3.92","5.63","-1.71","4.95","4.87"
"Twins","9.17","2.04","4.50","2.55","22.0 %","4.9 %","17.1 %",".325","1.64",".370","47.8 %","197","124","91","9.17","5.70","3.47","4.16","3.92"
"Orioles","7.50","4.00","1.88","2.00","20.0 %","10.7 %","9.3 %",".197","1.17",".191","85.4 %","85","124","124","4.00","5.94","-1.94","5.70","4.93"
"Pirates","10.52","4.21","2.50","2.81","25.0 %","10.0 %","15.0 %",".276","1.60",".313","64.0 %","187","151","103","8.06","6.68","1.38","4.57","4.13"
"Phillies","9.53","4.76","2.00","2.78","23.8 %","11.9 %","11.9 %",".270","1.59",".293","64.9 %","135","148","106","5.96","6.70","-0.74","4.70","4.58"
"Braves","10.38","4.57","2.27","2.91","25.0 %","11.0 %","14.0 %",".250","1.52",".268","78.5 %","103","155","110","4.57","6.77","-2.20","4.86","4.32"
"Dodgers","7.16","4.96","1.44","2.20","17.8 %","12.3 %","5.5 %",".226","1.41",".222","72.2 %","131","157","137","5.51","6.83","-1.32","6.08","5.37"
"Mets","6.43","6.43","1.00","2.57","13.2 %","13.2 %","0.0 %",".369","2.43",".392","68.0 %","233","181","190","9.64","7.86","1.79","8.41","6.67"
