"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Rays","15.32","3.28","4.67","0.73","43.3 %","9.3 %","34.0 %",".184","1.01",".326","81.9 %","49","48","48","2.19","2.08","0.11","2.15","2.35"
"Cardinals","7.20","1.80","4.00","0.45","22.5 %","5.6 %","16.9 %",".149","0.70",".180","87.3 %","32","66","106","1.35","2.86","-1.51","4.70","4.08"
"Royals","9.00","2.08","4.33","0.69","25.0 %","5.8 %","19.2 %",".224","1.08",".286","87.3 %","44","65","79","2.08","2.91","-0.83","3.59","3.59"
"Braves","9.00","2.57","3.50","0.86","19.1 %","5.5 %","13.6 %",".423","2.38",".519","63.6 %","183","75","89","8.14","3.31","4.83","3.97","4.06"
"Phillies","7.52","3.10","2.43","0.44","21.3 %","8.8 %","12.5 %",".194","1.03",".241","87.4 %","40","74","92","1.77","3.36","-1.59","4.09","4.24"
"Red Sox","8.60","3.26","2.64","0.59","24.2 %","9.2 %","15.0 %",".192","1.02",".247","72.3 %","68","83","99","3.26","3.74","-0.48","4.52","4.09"
"Diamondbacks","8.24","2.84","2.90","0.85","22.0 %","7.6 %","14.4 %",".203","1.07",".244","82.8 %","64","90","101","2.84","3.94","-1.10","4.47","4.05"
"Pirates","9.47","1.89","5.00","1.42","23.5 %","4.7 %","18.8 %",".316","1.53",".393","56.0 %","165","93","82","7.11","4.11","3.00","3.63","3.54"
"Mariners","6.75","1.62","4.17","1.35","19.2 %","4.6 %","14.6 %",".210","0.96",".223","80.0 %","67","94","94","2.97","4.20","-1.23","4.28","4.13"
"Astros","10.87","1.98","5.50","1.98","30.3 %","5.5 %","24.8 %",".245","1.13",".302","76.3 %","103","98","68","4.61","4.42","0.19","3.10","3.01"
"Indians","8.10","2.70","3.00","1.54","21.0 %","7.0 %","14.0 %",".283","1.41",".328","77.5 %","88","102","105","4.24","4.67","-0.43","4.83","4.31"
"Padres","8.14","6.43","1.27","0.86","17.4 %","13.8 %","3.7 %",".326","2.14",".394","61.1 %","191","115","134","8.14","5.07","3.07","5.92","5.57"
"Twins","8.18","2.05","4.00","2.05","21.1 %","5.3 %","15.8 %",".292","1.41",".328","68.0 %","114","112","102","5.32","5.17","0.15","4.66","4.15"
"Giants","8.86","6.33","1.40","1.27","20.6 %","14.7 %","5.9 %",".287","1.88",".349","75.4 %","131","124","131","5.48","5.18","0.30","5.78","5.38"
"Reds","9.00","4.50","2.00","1.64","22.2 %","11.1 %","11.1 %",".287","1.64",".344","70.1 %","137","115","109","6.14","5.21","0.92","4.84","4.63"
"Athletics","7.30","5.11","1.43","1.46","19.2 %","13.5 %","5.8 %",".200","1.30",".212","68.2 %","115","121","121","5.11","5.40","-0.30","5.55","5.39"
"Orioles","6.57","4.74","1.38","1.46","14.5 %","10.5 %","4.0 %",".373","2.19",".420","58.7 %","202","116","128","9.49","5.57","3.92","5.88","5.50"
"Blue Jays","8.31","3.63","2.29","2.08","22.4 %","9.8 %","12.6 %",".211","1.18",".216","94.2 %","73","122","105","3.38","5.67","-2.29","4.79","4.45"
"Dodgers","9.33","3.44","2.71","2.45","22.9 %","8.4 %","14.5 %",".311","1.64",".360","68.0 %","175","142","108","7.36","6.16","1.20","4.78","4.18"
"Tigers","7.71","5.01","1.54","1.93","17.9 %","11.6 %","6.3 %",".278","1.71",".306","62.9 %","149","134","119","6.94","6.21","0.73","5.47","5.17"
"Rangers","9.79","4.39","2.23","2.36","23.6 %","10.6 %","13.0 %",".290","1.65",".338","64.5 %","141","131","100","7.09","6.25","0.84","4.55","4.30"
"White Sox","10.24","7.45","1.38","1.86","22.2 %","16.2 %","6.1 %",".317","2.17",".393","69.5 %","124","135","123","5.59","6.27","-0.68","5.63","5.34"
"Yankees","9.66","4.95","1.95","2.48","23.1 %","11.8 %","11.2 %",".297","1.76",".343","58.8 %","188","136","114","8.67","6.38","2.29","5.21","4.67"
"Rockies","8.55","4.05","2.11","2.70","21.1 %","10.0 %","11.1 %",".284","1.60",".304","72.0 %","125","140","103","6.30","6.56","-0.26","4.55","4.50"
"Cubs","7.84","3.05","2.57","2.61","19.4 %","7.5 %","11.8 %",".277","1.45",".288","69.1 %","149","151","109","6.53","6.70","-0.17","4.85","4.35"
"Mets","11.72","3.06","3.83","3.57","27.7 %","7.2 %","20.5 %",".329","1.75",".391","67.6 %","209","160","91","8.66","6.95","1.71","4.05","3.57"
"Angels","8.49","3.64","2.33","3.03","19.7 %","8.5 %","11.3 %",".313","1.75",".333","57.5 %","175","155","104","7.89","7.12","0.76","4.75","4.42"
"Nationals","7.71","2.20","3.50","3.31","17.3 %","4.9 %","12.4 %",".342","1.84",".357","75.2 %","150","154","131","7.16","7.19","-0.03","5.95","4.78"
"Brewers","8.84","7.36","1.20","1.96","22.2 %","18.5 %","3.7 %",".194","1.47",".200","86.6 %","100","161","143","4.42","7.20","-2.78","6.31","5.80"
"Marlins","9.58","7.84","1.22","3.92","20.8 %","17.0 %","3.8 %",".302","2.13",".309","62.9 %","260","225","147","10.89","9.65","1.24","6.49","5.74"
