"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Cardinals","10.13","3.38","3.00","0.00","29.5 %","9.8 %","19.7 %",".145","0.88",".216","78.6 %","40","48","69","1.69","2.09","-0.40","3.08","3.43"
"Rockies","9.00","1.80","5.00","0.60","24.6 %","4.9 %","19.7 %",".207","1.00",".262","80.9 %","36","57","86","1.80","2.68","-0.88","3.80","3.53"
"Nationals","11.17","1.86","6.00","0.93","31.6 %","5.3 %","26.3 %",".222","1.03",".304","87.2 %","52","59","77","2.33","2.70","-0.37","3.41","2.97"
"Brewers","11.67","4.00","2.92","0.67","28.7 %","9.8 %","18.9 %",".278","1.56",".394","58.3 %","128","70","77","5.67","3.14","2.53","3.43","3.61"
"Red Sox","11.70","1.80","6.50","1.35","32.5 %","5.0 %","27.5 %",".213","1.00",".283","77.4 %","75","74","63","3.60","3.31","0.29","2.86","2.75"
"Diamondbacks","7.66","2.01","3.80","0.81","21.8 %","5.8 %","16.1 %",".207","0.99",".246","72.9 %","64","76","83","2.82","3.35","-0.53","3.70","3.76"
"Rays","7.91","2.33","3.40","0.93","20.7 %","6.1 %","14.6 %",".247","1.24",".293","75.5 %","63","81","109","2.79","3.58","-0.78","5.01","4.33"
"Reds","10.69","3.38","3.17","1.13","27.9 %","8.8 %","19.1 %",".242","1.31",".317","82.4 %","75","79","72","3.38","3.59","-0.21","3.21","3.38"
"Orioles","9.24","3.55","2.60","0.71","23.2 %","8.9 %","14.3 %",".240","1.34",".306","63.3 %","98","76","91","4.62","3.61","1.01","4.15","3.94"
"Marlins","9.86","2.57","3.83","1.29","27.7 %","7.2 %","20.5 %",".208","1.05",".255","84.3 %","72","87","96","3.00","3.74","-0.74","4.25","3.64"
"Padres","7.67","1.99","3.86","1.14","20.5 %","5.3 %","15.2 %",".266","1.26",".312","62.2 %","127","89","95","5.40","3.91","1.49","4.21","4.06"
"Royals","9.39","5.48","1.71","0.78","22.6 %","13.2 %","9.4 %",".272","1.70",".348","60.8 %","133","91","106","6.26","4.08","2.18","4.86","4.81"
"Giants","9.50","2.00","4.75","1.50","24.7 %","5.2 %","19.5 %",".264","1.28",".320","90.9 %","71","98","91","3.00","4.10","-1.10","4.04","3.62"
"Indians","11.09","3.38","3.29","1.45","31.9 %","9.7 %","22.2 %",".156","0.91",".184","87.0 %","60","90","87","2.89","4.12","-1.23","3.95","3.43"
"Braves","9.35","2.08","4.50","1.56","24.0 %","5.3 %","18.7 %",".243","1.21",".286","78.7 %","23","97","84","1.04","4.25","-3.21","3.72","3.60"
"Rangers","9.13","2.38","3.83","1.59","25.8 %","6.7 %","19.1 %",".193","0.97",".214","79.3 %","63","90","86","3.18","4.27","-1.10","3.91","3.65"
"Angels","9.37","4.68","2.00","1.10","22.8 %","11.4 %","11.4 %",".260","1.56",".323","71.1 %","116","96","117","5.23","4.38","0.86","5.34","4.66"
"Cubs","8.22","1.76","4.67","1.76","20.9 %","4.5 %","16.4 %",".297","1.43",".340","56.2 %","161","102","91","7.04","4.52","2.53","4.05","3.91"
"Dodgers","5.54","3.46","1.60","0.69","15.7 %","9.8 %","5.9 %",".136","0.85",".143","77.6 %","66","106","130","2.77","4.60","-1.83","5.74","5.26"
"Blue Jays","10.18","3.98","2.56","1.77","27.4 %","10.7 %","16.7 %",".213","1.23",".250","92.8 %","67","104","103","3.10","4.84","-1.74","4.73","4.09"
"Mets","12.21","3.86","3.17","1.93","27.1 %","8.6 %","18.6 %",".339","1.93",".450","52.4 %","249","115","124","10.29","5.00","5.29","5.48","3.95"
"White Sox","6.08","4.05","1.50","1.35","15.5 %","10.3 %","5.2 %",".231","1.35",".244","52.6 %","134","111","116","6.08","5.16","0.91","5.30","5.33"
"Yankees","6.62","3.57","1.86","1.53","15.9 %","8.5 %","7.3 %",".324","1.75",".362","64.8 %","133","113","114","6.11","5.31","0.80","5.24","4.97"
"Athletics","4.85","4.85","1.00","1.04","12.4 %","12.4 %","0.0 %",".235","1.42",".247","68.1 %","116","120","144","5.19","5.37","-0.18","6.62","6.13"
"Mariners","3.79","4.26","0.89","1.18","9.8 %","11.0 %","-1.2 %",".228","1.34",".226","73.3 %","91","124","135","4.03","5.58","-1.56","6.18","6.11"
"Astros","10.23","5.12","2.00","2.27","25.5 %","12.8 %","12.8 %",".228","1.45",".253","74.7 %","127","131","117","5.68","5.93","-0.25","5.35","4.59"
"Pirates","10.00","4.33","2.31","2.33","23.4 %","10.2 %","13.3 %",".265","1.59",".303","56.8 %","178","136","105","7.67","6.03","1.64","4.65","4.25"
"Twins","10.42","3.79","2.75","2.84","25.6 %","9.3 %","16.3 %",".260","1.47",".286","72.8 %","132","139","101","6.16","6.42","-0.27","4.62","4.06"
"Phillies","9.86","6.43","1.53","3.00","23.2 %","15.2 %","8.1 %",".286","1.86",".315","75.3 %","126","166","119","5.57","7.50","-1.93","5.25","5.08"
"Tigers","7.94","6.35","1.25","2.65","17.7 %","14.1 %","3.5 %",".264","1.82",".269","52.0 %","136","163","120","6.35","7.57","-1.21","5.50","5.45"
