"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Rays","10.95","1.27","8.60","0.51","33.1 %","3.9 %","29.2 %",".177","0.76",".253","87.3 %","34","46","69","1.53","2.03","-0.50","3.15","2.68"
"Royals","9.74","4.43","2.20","0.00","24.2 %","11.0 %","13.2 %",".284","1.62",".390","66.7 %","103","57","89","4.87","2.53","2.34","4.09","4.31"
"Athletics","13.05","2.70","4.83","0.90","38.2 %","7.9 %","30.3 %",".147","0.80",".216","85.5 %","50","63","70","2.25","2.81","-0.56","3.20","2.62"
"Tigers","10.91","4.31","2.53","0.57","28.4 %","11.2 %","17.2 %",".235","1.37",".329","74.6 %","80","66","88","3.73","3.05","0.68","4.00","3.94"
"Dodgers","10.23","2.84","3.60","0.85","30.0 %","8.3 %","21.7 %",".155","0.85",".197","87.7 %","47","71","76","1.99","3.12","-1.13","3.40","3.42"
"Twins","9.36","2.94","3.18","1.07","25.0 %","7.9 %","17.1 %",".236","1.22",".295","77.5 %","80","83","95","3.74","3.84","-0.10","4.36","3.93"
"Giants","8.39","4.01","2.09","0.73","23.5 %","11.2 %","12.2 %",".140","0.93",".164","89.6 %","26","92","109","1.09","3.86","-2.77","4.82","4.53"
"Orioles","9.33","3.67","2.55","0.67","23.0 %","9.0 %","13.9 %",".283","1.52",".368","78.7 %","85","81","94","4.00","3.88","0.12","4.32","4.13"
"Astros","10.67","2.33","4.57","1.67","31.1 %","6.8 %","24.3 %",".158","0.81",".172","100.0 %","43","91","87","2.00","4.14","-2.14","4.02","3.22"
"Blue Jays","9.67","3.22","3.00","1.21","24.2 %","8.1 %","16.2 %",".239","1.30",".295","57.6 %","123","93","95","5.64","4.29","1.35","4.32","4.04"
"Cubs","11.14","6.43","1.73","0.86","28.3 %","16.3 %","12.0 %",".160","1.29",".213","84.0 %","49","99","108","2.14","4.40","-2.26","4.78","4.68"
"Brewers","10.59","2.73","3.88","1.71","29.3 %","7.6 %","21.7 %",".219","1.10",".267","75.0 %","100","100","84","4.44","4.47","-0.02","3.74","3.34"
"Cardinals","11.37","3.79","3.00","1.89","26.1 %","8.7 %","17.4 %",".321","1.84",".411","57.8 %","168","108","82","7.11","4.69","2.42","3.63","3.77"
"Braves","10.42","3.32","3.14","1.89","26.2 %","8.3 %","17.9 %",".276","1.47",".340","59.8 %","152","110","86","7.11","4.90","2.21","3.84","3.78"
"Reds","10.59","4.78","2.21","1.71","27.4 %","12.4 %","15.0 %",".212","1.33",".254","78.6 %","99","109","93","4.44","4.92","-0.48","4.12","4.19"
"Mariners","9.87","4.65","2.13","1.45","23.8 %","11.2 %","12.6 %",".274","1.61",".341","50.0 %","190","110","107","8.42","4.96","3.46","4.91","4.43"
"Pirates","9.76","5.53","1.76","1.30","23.4 %","13.3 %","10.2 %",".266","1.66",".333","73.1 %","113","113","117","4.88","4.99","-0.11","5.19","4.78"
"Phillies","7.53","4.08","1.85","1.26","19.1 %","10.3 %","8.7 %",".245","1.40",".280","82.9 %","86","111","115","3.77","5.03","-1.26","5.09","4.82"
"Rangers","8.77","3.51","2.50","1.75","22.7 %","9.1 %","13.6 %",".232","1.29",".261","81.5 %","83","107","103","4.21","5.08","-0.88","4.72","4.28"
"Yankees","10.03","2.31","4.33","2.31","28.6 %","6.6 %","22.0 %",".224","1.07",".245","90.4 %","84","109","80","3.86","5.10","-1.24","3.63","3.38"
"Padres","10.70","3.06","3.50","2.04","27.6 %","7.9 %","19.7 %",".250","1.30",".302","77.3 %","120","117","108","5.09","5.14","-0.04","4.78","3.70"
"Red Sox","9.30","6.30","1.48","1.20","23.3 %","15.8 %","7.5 %",".200","1.43",".240","81.2 %","68","114","114","3.30","5.18","-1.88","5.24","5.14"
"Indians","12.71","4.76","2.67","1.99","29.9 %","11.2 %","18.7 %",".283","1.68",".382","82.4 %","99","114","92","4.76","5.24","-0.48","4.22","3.82"
"Mets","10.07","3.66","2.75","2.29","23.9 %","8.7 %","15.2 %",".286","1.63",".333","44.0 %","232","127","118","9.61","5.50","4.11","5.23","4.29"
"Angels","7.04","4.99","1.41","1.76","17.9 %","12.7 %","5.2 %",".226","1.40",".235","65.6 %","117","132","133","5.28","6.05","-0.77","6.10","5.49"
"White Sox","8.53","5.33","1.60","2.13","22.4 %","14.0 %","8.4 %",".207","1.34",".210","78.1 %","110","133","114","4.97","6.17","-1.20","5.22","5.04"
"Diamondbacks","10.67","9.42","1.13","1.88","21.8 %","19.2 %","2.6 %",".317","2.44",".395","84.4 %","128","153","150","5.65","6.70","-1.05","6.62","6.03"
"Nationals","7.77","4.81","1.62","2.59","19.4 %","12.0 %","7.4 %",".298","1.68",".318","80.8 %","99","154","119","4.44","6.95","-2.52","5.26","5.06"
"Marlins","8.10","6.48","1.25","2.70","19.7 %","15.8 %","4.0 %",".222","1.56",".209","70.0 %","168","178","139","7.02","7.65","-0.63","6.14","5.61"
"Rockies","7.04","5.09","1.38","3.91","17.7 %","12.8 %","4.9 %",".205","1.35",".133","88.9 %","101","195","137","5.09","9.13","-4.04","6.07","5.47"
