"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Rangers","9.78","2.74","3.57","0.39","24.8 %","6.9 %","17.8 %",".234","1.26",".309","68.8 %","62","53","84","3.13","2.52","0.61","3.86","3.75"
"Dodgers","8.28","2.52","3.29","0.36","22.8 %","6.9 %","15.8 %",".226","1.12",".290","76.1 %","60","65","99","2.52","2.85","-0.33","4.40","4.04"
"Twins","10.72","2.38","4.50","0.79","29.0 %","6.5 %","22.6 %",".244","1.19",".333","55.6 %","111","63","92","5.16","2.91","2.26","4.22","3.47"
"Mariners","10.29","3.00","3.43","0.86","25.3 %","7.4 %","17.9 %",".284","1.52",".371","58.2 %","116","71","94","5.14","3.17","1.98","4.30","3.85"
"Indians","8.41","4.87","1.73","0.00","21.4 %","12.4 %","9.0 %",".213","1.33",".286","73.3 %","64","75","128","3.10","3.41","-0.31","5.86","4.99"
"Pirates","11.74","3.13","3.75","1.57","28.3 %","7.6 %","20.8 %",".276","1.52",".359","54.4 %","91","88","76","3.91","3.91","0.00","3.38","3.45"
"Astros","10.06","4.24","2.38","1.06","29.7 %","12.5 %","17.2 %",".107","0.82",".114","89.3 %","47","87","81","2.12","3.92","-1.80","3.68","3.80"
"Cubs","11.32","2.61","4.33","1.74","29.6 %","6.8 %","22.7 %",".268","1.35",".346","89.3 %","80","92","76","3.48","4.08","-0.60","3.40","3.27"
"Padres","11.34","3.24","3.50","1.62","27.6 %","7.9 %","19.7 %",".314","1.68",".413","58.8 %","165","93","88","7.02","4.11","2.91","3.92","3.64"
"Cardinals","8.55","6.75","1.27","0.45","21.6 %","17.1 %","4.6 %",".205","1.50",".264","76.9 %","74","97","128","3.15","4.21","-1.06","5.65","5.63"
"Rockies","11.07","4.43","2.50","1.33","28.4 %","11.4 %","17.1 %",".234","1.38",".306","84.7 %","70","91","89","3.54","4.30","-0.75","3.94","3.92"
"Rays","9.42","1.88","5.00","1.57","24.2 %","4.8 %","19.4 %",".287","1.36",".350","82.9 %","70","98","89","3.14","4.33","-1.19","4.08","3.65"
"Phillies","10.08","1.95","5.17","1.95","26.5 %","5.1 %","21.4 %",".279","1.34",".338","80.4 %","96","98","77","4.23","4.44","-0.21","3.42","3.46"
"Yankees","9.00","4.18","2.15","1.29","24.6 %","11.4 %","13.2 %",".178","1.11",".203","86.6 %","56","96","94","2.57","4.46","-1.89","4.31","4.36"
"White Sox","7.53","4.08","1.85","0.94","19.7 %","10.7 %","9.0 %",".215","1.26",".250","79.9 %","56","96","94","2.51","4.47","-1.96","4.29","4.31"
"Blue Jays","6.23","4.85","1.29","0.69","16.1 %","12.5 %","3.6 %",".216","1.35",".247","81.3 %","68","98","121","3.12","4.56","-1.44","5.55","5.43"
"Giants","8.56","4.61","1.86","1.32","22.8 %","12.3 %","10.5 %",".230","1.35",".271","86.0 %","78","114","114","3.29","4.75","-1.46","5.03","4.75"
"Angels","7.64","2.18","3.50","1.64","20.1 %","5.8 %","14.4 %",".248","1.21",".274","62.5 %","121","105","104","5.45","4.79","0.66","4.78","4.22"
"Athletics","12.27","3.93","3.13","1.96","31.7 %","10.1 %","21.5 %",".200","1.20",".244","69.0 %","121","107","95","5.40","4.80","0.60","4.35","3.55"
"Red Sox","9.49","4.75","2.00","1.48","24.1 %","12.0 %","12.0 %",".224","1.38",".266","80.6 %","80","109","105","3.86","4.93","-1.07","4.82","4.57"
"Mets","9.72","5.04","1.93","1.44","26.7 %","13.9 %","12.9 %",".167","1.12",".189","90.6 %","70","119","106","2.88","5.17","-2.29","4.69","4.46"
"Brewers","8.64","5.40","1.60","1.44","19.5 %","12.2 %","7.3 %",".302","1.88",".359","69.1 %","154","121","127","6.84","5.41","1.43","5.64","5.10"
"Tigers","7.48","5.82","1.29","1.25","17.8 %","13.9 %","4.0 %",".256","1.66",".292","61.0 %","125","117","133","5.82","5.43","0.39","6.11","5.63"
"Nationals","7.04","4.30","1.64","1.57","18.2 %","11.1 %","7.1 %",".184","1.17",".185","62.5 %","109","119","127","5.09","5.47","-0.39","5.72","5.17"
"Marlins","9.23","4.10","2.25","2.05","24.3 %","10.8 %","13.5 %",".214","1.25",".231","93.8 %","82","130","107","3.42","5.61","-2.19","4.76","4.34"
"Diamondbacks","6.75","4.50","1.50","1.80","16.1 %","10.8 %","5.4 %",".293","1.70",".317","68.0 %","143","136","121","6.30","5.96","0.34","5.35","5.21"
"Royals","5.19","6.75","0.77","1.04","11.8 %","15.3 %","-3.5 %",".268","1.85",".288","56.3 %","121","133","145","5.71","5.98","-0.27","6.66","6.33"
"Orioles","9.82","2.45","4.00","3.38","24.1 %","6.0 %","18.1 %",".323","1.64",".358","80.4 %","137","142","90","6.44","6.83","-0.38","4.12","3.74"
"Braves","6.05","5.12","1.18","2.33","14.6 %","12.4 %","2.3 %",".299","1.76",".305","71.4 %","157","162","143","6.98","7.09","-0.11","6.30","5.80"
"Reds","10.29","6.00","1.71","3.43","26.1 %","15.2 %","10.9 %",".195","1.38",".156","79.8 %","143","178","123","6.43","8.02","-1.59","5.44","4.87"
