"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Giants","10.88","1.13","9.67","0.00","34.1 %","3.5 %","30.6 %",".146","0.63",".226","86.7 %","18","27","46","0.75","1.17","-0.42","2.08","2.32"
"Braves","11.69","4.43","2.64","0.40","30.5 %","11.6 %","19.0 %",".202","1.25",".296","79.0 %","54","61","89","2.42","2.68","-0.26","3.97","3.79"
"Rockies","8.61","2.74","3.14","0.39","24.7 %","7.9 %","16.9 %",".146","0.83",".186","73.9 %","47","59","95","2.35","2.78","-0.43","4.20","3.94"
"Astros","12.38","2.25","5.50","1.13","33.9 %","6.2 %","27.7 %",".197","1.00",".270","68.2 %","71","64","70","3.38","2.84","0.54","3.20","2.83"
"Dodgers","10.96","3.13","3.50","0.78","27.5 %","7.8 %","19.6 %",".242","1.30",".328","62.9 %","112","77","87","4.70","3.34","1.35","3.86","3.62"
"Cubs","9.00","6.43","1.40","0.00","23.0 %","16.4 %","6.6 %",".196","1.43",".270","85.0 %","41","75","105","1.93","3.36","-1.43","4.78","5.24"
"Athletics","8.79","3.14","2.80","0.63","23.7 %","8.5 %","15.3 %",".208","1.12",".263","64.1 %","99","77","119","4.40","3.42","0.97","5.43","4.54"
"Diamondbacks","12.50","2.50","5.00","1.50","35.2 %","7.0 %","28.2 %",".212","1.06",".289","74.3 %","91","78","61","4.00","3.44","0.56","2.71","2.77"
"Phillies","9.60","3.30","2.91","0.90","24.4 %","8.4 %","16.0 %",".275","1.47",".353","62.8 %","109","76","94","4.80","3.48","1.32","4.17","3.98"
"White Sox","8.55","4.95","1.73","0.45","22.4 %","12.9 %","9.4 %",".205","1.30",".264","74.2 %","70","81","103","3.15","3.76","-0.61","4.71","4.70"
"Royals","8.28","2.16","3.83","1.08","21.5 %","5.6 %","15.9 %",".290","1.40",".351","72.3 %","99","84","99","4.68","3.77","0.91","4.52","4.11"
"Nationals","9.00","4.80","1.88","0.60","22.7 %","12.1 %","10.6 %",".193","1.27",".244","69.9 %","80","86","110","3.60","3.88","-0.28","4.87","4.69"
"Rays","11.95","4.43","2.70","1.33","28.4 %","10.5 %","17.9 %",".294","1.72",".400","58.4 %","159","90","79","7.08","3.95","3.13","3.60","3.74"
"Brewers","7.66","4.38","1.75","0.73","20.4 %","11.7 %","8.7 %",".187","1.18",".221","76.3 %","74","90","107","3.28","4.02","-0.74","4.74","4.82"
"Padres","10.80","4.24","2.55","1.16","28.6 %","11.2 %","17.4 %",".198","1.20",".255","60.5 %","109","92","78","4.63","4.03","0.60","3.47","3.71"
"Mariners","10.44","4.68","2.23","1.08","26.1 %","11.7 %","14.4 %",".229","1.40",".297","64.0 %","122","95","102","5.40","4.25","1.15","4.68","4.30"
"Indians","8.39","3.65","2.30","1.09","22.3 %","9.7 %","12.6 %",".217","1.22",".258","82.1 %","61","93","108","2.92","4.27","-1.35","4.95","4.45"
"Red Sox","12.21","4.81","2.54","1.48","29.7 %","11.7 %","18.0 %",".240","1.48",".322","61.7 %","123","99","93","5.92","4.49","1.43","4.23","3.89"
"Yankees","11.51","3.98","2.89","1.77","29.6 %","10.2 %","19.3 %",".253","1.43",".327","81.2 %","96","97","84","4.43","4.54","-0.12","3.84","3.71"
"Cardinals","11.74","4.70","2.50","1.57","30.9 %","12.4 %","18.6 %",".193","1.22",".245","86.1 %","83","108","104","3.52","4.69","-1.17","4.59","3.91"
"Reds","10.72","4.37","2.45","1.59","29.0 %","11.8 %","17.2 %",".198","1.19",".240","89.3 %","71","104","86","3.18","4.71","-1.54","3.82","3.86"
"Tigers","8.24","6.41","1.29","0.92","22.0 %","17.1 %","4.9 %",".206","1.42",".250","91.3 %","39","104","123","1.83","4.84","-3.01","5.64","5.60"
"Blue Jays","10.27","4.56","2.25","1.52","25.5 %","11.3 %","14.2 %",".250","1.48",".311","70.1 %","124","106","94","5.70","4.90","0.80","4.30","4.20"
"Pirates","11.68","3.65","3.20","2.19","28.6 %","8.9 %","19.6 %",".255","1.46",".313","100.0 %","68","113","111","2.92","5.00","-2.08","4.90","3.98"
"Angels","9.00","4.50","2.00","1.64","21.8 %","10.9 %","10.9 %",".258","1.55",".302","68.0 %","127","114","112","5.73","5.21","0.51","5.11","4.63"
"Orioles","9.00","3.10","2.90","1.86","22.3 %","7.7 %","14.6 %",".274","1.45",".317","60.1 %","145","110","107","6.83","5.25","1.58","4.89","4.23"
"Twins","12.94","7.88","1.64","1.69","27.7 %","16.9 %","10.8 %",".284","2.06",".390","58.4 %","193","122","121","9.56","5.78","3.79","5.70","4.88"
"Rangers","8.00","3.50","2.29","2.00","20.0 %","8.8 %","11.3 %",".246","1.33",".265","75.9 %","109","129","117","5.50","6.16","-0.66","5.37","4.60"
"Mets","9.71","5.16","1.88","2.43","22.9 %","12.1 %","10.7 %",".309","1.85",".361","73.1 %","147","145","120","6.07","6.28","-0.21","5.32","4.72"
"Marlins","9.11","4.39","2.08","3.38","21.6 %","10.4 %","11.2 %",".278","1.61",".282","72.7 %","185","186","134","7.76","7.98","-0.21","5.94","4.74"
