"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Astros","199","10.6 %","17.1 %","0.62",".278",".362",".563",".924",".284","6.0",".273","-0.1","-0.2","0.7","36","10.6",".382","144"
"Rockies","234","8.1 %","21.8 %","0.37",".303",".365",".536",".900",".232","5.1",".345","0.3","0.0","1.0","41","11.1",".375","118"
"Blue Jays","241","9.5 %","27.4 %","0.35",".286",".358",".526",".884",".239","5.2",".362","-0.4","0.1","-0.2","40","9.7",".367","130"
"Yankees","232","9.5 %","24.6 %","0.39",".266",".345",".531",".876",".266","3.2",".301","0.1","0.0","-0.6","38","8.7",".364","128"
"Cubs","274","7.7 %","19.0 %","0.40",".276",".344",".502",".846",".226","3.9",".302","0.3","-0.2","-0.1","42","7.9",".353","118"
"White Sox","252","3.6 %","29.8 %","0.12",".311",".332",".508",".840",".197","4.0",".406","0.2","0.1","-0.2","37","5.7",".346","119"
"Orioles","289","7.6 %","20.1 %","0.38",".275",".340",".465",".805",".190","6.1",".316","0.3","0.0","0.8","41","4.8",".339","110"
"Mariners","250","12.8 %","22.8 %","0.56",".264",".357",".421",".779",".157","2.1",".318","0.8","0.4","-0.4","35","3.2",".335","111"
"Twins","307","8.8 %","18.9 %","0.47",".258",".324",".476",".800",".218","2.7",".277","-0.2","0.3","-0.6","42","3.2",".332","107"
"Marlins","231","7.4 %","15.6 %","0.47",".274",".338",".442",".780",".168","4.4",".307","-0.2","-0.4","-0.4","31","2.1",".331","105"
"Athletics","235","11.5 %","23.0 %","0.50",".228",".323",".447",".770",".218","4.4",".261","0.4","-0.2","0.3","30","0.8",".324","104"
"Mets","223","9.9 %","17.9 %","0.55",".234",".323",".431",".754",".198","2.7",".245","-0.3","0.0","-0.1","28","-0.2",".319","103"
"Indians","265","9.1 %","20.8 %","0.44",".269",".344",".402",".745",".132","4.5",".331","0.1","-0.2","0.0","33","-0.5",".318","93"
"Nationals","219","9.1 %","13.7 %","0.67",".254",".327",".399",".726",".145","5.0",".270","-0.3","-0.1","0.2","26","-1.9",".310","86"
"Brewers","251","9.2 %","33.1 %","0.28",".231",".309",".421",".730",".190","6.2",".321","-0.1","0.0","0.5","29","-2.2",".310","88"
"Braves","224","10.7 %","21.0 %","0.51",".240",".318",".378",".696",".138","3.3",".281","0.0","0.2","-0.4","24","-4.5",".297","78"
"Dodgers","194","5.7 %","27.3 %","0.21",".247",".307",".374",".681",".126","5.9",".333","0.2","0.3","0.9","19","-5.2",".289","80"
"Red Sox","260","10.4 %","23.5 %","0.44",".216",".302",".357",".659",".141","3.5",".261","-0.3","0.2","-0.4","25","-7.9",".285","71"
"Cardinals","256","9.8 %","30.5 %","0.32",".199",".285",".372",".656",".173","5.1",".259","0.4","0.1","0.4","24","-8.2",".283","75"
"Giants","252","8.3 %","29.0 %","0.29",".243",".307",".354",".661",".111","3.6",".336","0.2","0.4","-0.6","24","-8.1",".283","75"
"Diamondbacks","217","6.9 %","23.0 %","0.30",".223",".294",".358",".652",".135","6.2",".279","0.5","-0.1","0.3","20","-7.1",".282","69"
"Tigers","264","7.6 %","21.6 %","0.35",".235",".298",".366",".663",".130","4.1",".287","-0.4","-0.2","-0.2","25","-8.6",".282","72"
"Pirates","228","5.3 %","15.8 %","0.33",".249",".294",".338",".632",".089","3.4",".294","0.1","0.0","-1.0","20","-9.2",".273","67"
"Royals","266","6.4 %","30.5 %","0.21",".240",".295",".331",".626",".091","4.0",".348","0.0","-0.1","-0.4","22","-11.6",".269","63"
"Angels","214","6.1 %","29.9 %","0.20",".234",".291",".310",".601",".076","3.8",".331","0.1","-0.3","0.0","17","-10.2",".265","63"
"Rays","202","8.9 %","25.2 %","0.35",".217",".282",".322",".604",".106","4.7",".271","0.1","0.2","0.5","15","-10.0",".263","65"
"Padres","250","10.8 %","30.4 %","0.36",".182",".274",".323",".597",".141","2.6",".241","0.1","0.0","-1.4","19","-12.4",".262","60"
"Phillies","217","5.5 %","26.7 %","0.21",".215",".269",".340",".609",".125","4.8",".275","0.3","0.1","0.5","16","-11.2",".260","57"
"Reds","219","9.6 %","27.4 %","0.35",".201",".280",".309",".589",".108","3.0",".254","-0.4","0.0","-0.3","16","-11.4",".260","54"
"Rangers","171","7.0 %","29.2 %","0.24",".204",".263",".293",".556",".089","2.8",".276","-0.3","-0.2","0.1","10","-11.2",".244","40"
