"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Diamondbacks","244","6.1 %","18.4 %","0.33",".344",".383",".604",".986",".260","5.7",".386","0.2","-0.2","0.4","49","18.2",".406","151"
"Mariners","200","12.0 %","22.0 %","0.55",".291",".380",".547",".927",".256","5.0",".328","-0.2","0.2","0.9","36","11.3",".385","146"
"Cubs","254","10.6 %","23.2 %","0.46",".306",".387",".505",".892",".198","3.9",".368","-0.1","-0.2","0.2","45","12.7",".378","133"
"Twins","208","9.1 %","18.3 %","0.50",".309",".389",".503",".892",".193","4.3",".360","-0.2","0.0","-0.2","36","10.0",".375","135"
"Brewers","236","13.1 %","22.9 %","0.57",".270",".369",".485",".854",".215","4.5",".321","0.1","-0.3","0.9","37","7.4",".356","118"
"Phillies","208","15.4 %","19.7 %","0.78",".276",".394",".447",".841",".171","1.9",".331","0.1","0.2","-0.1","32","5.8",".352","119"
"Dodgers","229","10.9 %","19.7 %","0.56",".275",".352",".497",".850",".223","4.7",".301","0.2","0.2","-0.6","35","6.0",".350","119"
"Nationals","190","10.0 %","28.9 %","0.35",".253",".335",".464",".799",".211","3.7",".320","0.1","0.0","0.1","27","2.9",".338","105"
"Braves","237","15.6 %","19.4 %","0.80",".258",".381",".402",".783",".144","2.2",".306","0.2","0.2","-1.1","33","3.6",".338","107"
"White Sox","199","9.5 %","23.6 %","0.40",".260",".338",".441",".779",".181","3.9",".317","0.2","-0.1","0.3","27","2.2",".333","109"
"Padres","231","13.0 %","20.3 %","0.64",".241",".338",".437",".775",".196","3.3",".264","0.3","-0.1","0.5","31","1.4",".327","103"
"Yankees","228","10.1 %","27.2 %","0.37",".240",".329",".425",".754",".185","2.6",".295","0.1","-0.1","-0.4","29","0.3",".321","100"
"Mets","235","6.8 %","27.7 %","0.25",".265",".328",".433",".760",".167","4.6",".345","-0.3","-0.2","-0.2","30","0.2",".321","102"
"Rangers","253","8.7 %","27.7 %","0.31",".240",".317",".427",".744",".187","6.5",".306","0.2","0.2","0.6","31","-0.7",".317","87"
"Astros","214","8.4 %","17.8 %","0.47",".254",".319",".404",".723",".150","2.4",".287","-0.2","-0.2","-0.6","25","-1.9",".310","95"
"Orioles","229","8.7 %","27.1 %","0.32",".238",".319",".406",".725",".168","3.9",".299","0.0","-0.1","-0.2","27","-2.2",".309","89"
"Pirates","240","10.4 %","17.5 %","0.60",".245",".333",".365",".699",".120","5.6",".293","0.1","-0.2","1.3","27","-3.2",".304","86"
"Red Sox","268","10.1 %","18.7 %","0.54",".241",".320",".380",".699",".139","4.3",".280","-0.1","-0.1","0.2","29","-4.7",".300","81"
"Cardinals","202","10.4 %","28.2 %","0.37",".199",".294",".403",".697",".205","4.7",".234","0.1","0.0","0.1","22","-3.9",".298","85"
"Marlins","216","6.9 %","25.5 %","0.27",".244",".307",".376",".683",".132","3.4",".309","-0.3","-0.5","0.5","23","-4.6",".295","83"
"Rays","233","8.6 %","23.2 %","0.37",".244",".313",".364",".677",".120","4.1",".303","0.1","0.1","0.9","24","-5.6",".292","83"
"Athletics","251","9.6 %","18.7 %","0.51",".223",".307",".362",".668",".138","2.7",".249","0.3","-0.5","0.0","25","-6.8",".288","81"
"Royals","185","4.9 %","22.2 %","0.22",".225",".265",".410",".675",".185","6.4",".252","-0.1","0.1","0.1","17","-6.2",".281","70"
"Tigers","232","12.1 %","23.7 %","0.51",".210",".310",".320",".630",".110","4.1",".276","-0.8","0.3","0.7","21","-8.3",".278","69"
"Blue Jays","255","8.2 %","27.5 %","0.30",".201",".278",".367",".645",".166","2.1",".250","-0.2","0.1","-0.5","22","-9.7",".276","70"
"Angels","212","7.5 %","18.9 %","0.40",".203",".278",".354",".632",".151","3.4",".221","-0.2","-0.4","0.5","18","-9.1",".270","70"
"Indians","215","12.1 %","28.8 %","0.42",".204",".299",".301",".600",".097","4.2",".285","0.1","0.0","0.5","17","-10.4",".264","58"
"Giants","210","4.8 %","21.9 %","0.22",".215",".263",".344",".607",".128","3.3",".255","-0.3","0.1","-0.1","16","-10.8",".260","60"
"Rockies","210","7.6 %","28.1 %","0.27",".178",".244",".277",".522",".099","0.9",".227","0.1","0.1","-1.0","10","-16.3",".230","25"
"Reds","243","7.0 %","27.2 %","0.26",".161",".226",".250",".476",".089","0.9",".213","-0.4","-0.3","-0.5","8","-23.1",".210","22"
