"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Rockies","204","9.3 %","23.5 %","0.40",".333",".401",".622","1.023",".289","5.7",".407","0.1","0.0","-0.3","43","17.0",".417","144"
"Astros","267","9.4 %","18.0 %","0.52",".318",".382",".593",".975",".275","4.7",".328","-0.2","-0.2","0.2","52","18.6",".401","156"
"Twins","287","9.8 %","17.8 %","0.55",".306",".376",".552",".928",".246","3.3",".326","-0.3","0.1","-0.2","52","16.0",".385","141"
"Red Sox","250","14.0 %","20.0 %","0.70",".261",".365",".474",".839",".213","3.0",".285","-0.1","-0.1","-1.1","39","7.8",".356","118"
"Mets","192","9.9 %","25.0 %","0.40",".280",".365",".452",".817",".173","2.7",".351","-0.3","-0.1","0.1","29","4.9",".350","121"
"Angels","238","8.4 %","15.5 %","0.54",".270",".335",".498",".832",".227","5.4",".277","-0.1","-0.3","0.0","35","5.4",".346","120"
"Rays","241","9.5 %","24.9 %","0.38",".269",".344",".454",".798",".185","3.7",".333","0.3","0.1","0.5","34","3.8",".338","114"
"Giants","237","10.5 %","24.9 %","0.42",".252",".333",".457",".790",".205","5.2",".308","0.0","0.2","-0.6","33","2.9",".334","109"
"Dodgers","261","11.1 %","19.2 %","0.58",".253",".349",".443",".792",".190","5.4",".276","0.1","0.2","0.9","36","2.8",".332","107"
"Pirates","226","6.6 %","19.9 %","0.33",".266",".327",".420",".748",".155","4.9",".314","-0.1","-0.1","-0.4","28","-0.3",".318","97"
"Indians","262","9.2 %","21.8 %","0.42",".272",".340",".384",".723",".112","2.6",".337","0.4","0.0","-1.1","31","-1.7",".312","90"
"Cubs","280","13.9 %","21.1 %","0.66",".226",".339",".387",".727",".162","2.5",".262","0.5","-0.2","-1.0","33","-2.3",".310","89"
"Padres","222","5.4 %","24.8 %","0.22",".267",".308",".427",".735",".160","4.1",".324","-0.4","-0.3","0.5","26","-2.2",".308","90"
"Reds","283","8.1 %","20.8 %","0.39",".238",".319",".393",".712",".155","6.1",".281","-0.5","-0.1","-0.3","33","-3.0",".308","85"
"White Sox","248","5.6 %","27.0 %","0.21",".261",".311",".407",".719",".146","4.4",".340","0.4","0.1","0.4","28","-2.9",".306","91"
"Brewers","251","12.7 %","25.5 %","0.50",".238",".336",".355",".691",".117","3.1",".311","0.1","-0.1","0.0","27","-4.1",".301","83"
"Cardinals","266","11.3 %","19.5 %","0.58",".234",".328",".351",".679",".117","1.9",".276","0.1","-0.1","-0.6","28","-5.4",".297","82"
"Mariners","259","7.3 %","23.6 %","0.31",".217",".278",".409",".687",".191","3.7",".246","-0.4","0.4","-0.8","26","-7.0",".289","82"
"Rangers","222","11.7 %","32.9 %","0.36",".192",".294",".373",".667",".181","4.2",".252","0.3","0.2","0.7","22","-6.2",".288","68"
"Orioles","228","7.0 %","27.6 %","0.25",".212",".278",".394",".672",".183","3.2",".252","0.0","-0.1","0.5","22","-6.7",".286","73"
"Royals","218","6.4 %","24.3 %","0.26",".217",".284",".384",".668",".167","5.4",".254","-0.1","0.1","-0.4","21","-6.5",".286","73"
"Diamondbacks","281","8.9 %","26.0 %","0.34",".220",".302",".348",".650",".128","4.2",".285","0.4","-0.1","0.5","27","-8.6",".284","72"
"Phillies","232","10.8 %","18.1 %","0.60",".223",".313",".327",".640",".104","3.0",".266","0.2","0.2","-0.1","22","-7.3",".283","70"
"Yankees","245","5.7 %","22.0 %","0.26",".237",".291",".379",".670",".143","4.8",".283","-0.1","-0.4","0.1","23","-7.8",".283","74"
"Athletics","233","10.7 %","23.2 %","0.46",".209",".297",".335",".632",".126","4.0",".253","0.3","-0.2","0.5","21","-8.4",".278","74"
"Braves","248","2.4 %","21.4 %","0.11",".238",".266",".389",".655",".151","5.4",".279","0.2","0.2","-0.4","22","-9.4",".276","66"
"Tigers","247","4.0 %","24.3 %","0.17",".207",".247",".397",".644",".190","5.5",".241","-0.1","0.2","0.1","20","-11.1",".268","62"
"Marlins","228","8.3 %","26.3 %","0.32",".210",".278",".263",".541",".054","3.5",".288","-0.1","-0.3","0.7","13","-15.2",".243","50"
"Nationals","248","5.6 %","27.8 %","0.20",".174",".237",".254",".491",".080","3.2",".229","0.1","0.1","0.1","9","-21.7",".219","28"
"Blue Jays","197","7.6 %","25.9 %","0.29",".148",".213",".253",".466",".104","1.7",".181","-0.2","-0.2","-0.5","5","-19.5",".206","22"
