"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Astros","281","10.3 %","17.1 %","0.60",".323",".399",".629","1.028",".306","5.0",".339","0.2","-0.3","0.2","60","24.6",".421","170"
"Mets","262","9.2 %","22.1 %","0.41",".286",".362",".545",".907",".260","3.2",".316","-0.4","0.0","0.0","46","12.7",".376","138"
"Yankees","286","9.8 %","23.8 %","0.41",".270",".343",".559",".901",".289","5.9",".302","0.1","0.2","0.4","48","12.4",".370","133"
"Rangers","249","7.6 %","21.3 %","0.36",".313",".378",".491",".869",".179","4.7",".374","-0.3","-0.2","0.2","42","10.4",".368","122"
"Nationals","231","8.2 %","22.9 %","0.36",".268",".338",".512",".850",".244","5.1",".306","-0.3","-0.1","0.5","36","7.0",".355","117"
"Rays","235","9.8 %","19.6 %","0.50",".286",".362",".461",".823",".175","4.3",".338","0.0","0.2","-1.9","35","5.5",".347","121"
"Phillies","266","7.9 %","25.2 %","0.31",".257",".321",".510",".831",".253","4.9",".289","0.0","0.2","1.5","39","5.5",".344","111"
"Braves","261","13.4 %","29.9 %","0.45",".233",".337",".480",".817",".247","3.0",".280","0.1","0.3","-0.2","38","4.7",".341","109"
"Brewers","275","12.4 %","22.9 %","0.54",".251",".352",".455",".806",".203","6.4",".292","0.2","-0.2","1.2","39","4.3",".338","107"
"Indians","246","10.6 %","23.2 %","0.46",".259",".350",".443",".793",".184","4.4",".309","-0.5","-0.2","0.0","34","3.2",".335","104"
"Athletics","278","7.9 %","27.3 %","0.29",".263",".331",".458",".789",".195","5.0",".329","0.4","-0.2","0.3","38","3.3",".334","112"
"White Sox","229","8.7 %","23.1 %","0.38",".264",".333",".453",".786",".189","3.0",".308","0.1","0.1","0.1","31","1.9",".330","107"
"Cardinals","237","10.5 %","18.1 %","0.58",".235",".332",".426",".758",".191","4.3",".260","0.3","0.1","0.6","31","0.7",".323","101"
"Royals","227","7.5 %","25.6 %","0.29",".246",".302",".454",".756",".208","3.2",".283","-0.1","-0.1","0.1","28","-0.9",".315","94"
"Reds","230","11.7 %","26.1 %","0.45",".231",".326",".402",".728",".171","4.2",".286","-0.1","-0.1","0.0","28","-1.3",".313","89"
"Tigers","240","6.7 %","28.3 %","0.24",".258",".318",".382",".700",".124","4.6",".349","-0.3","-0.2","0.1","26","-3.8",".302","85"
"Twins","231","9.1 %","23.4 %","0.39",".228",".304",".393",".698",".165","2.1",".274","-0.2","0.2","-0.1","25","-4.5",".297","81"
"Marlins","264","9.1 %","23.9 %","0.38",".243",".317",".349",".666",".106","4.8",".314","-0.3","-0.3","0.0","27","-6.5",".291","81"
"Pirates","259","7.7 %","21.6 %","0.36",".247",".309",".372",".681",".126","6.2",".309","0.0","0.1","0.0","26","-6.5",".291","80"
"Blue Jays","219","9.6 %","29.7 %","0.32",".215",".298",".377",".675",".162","5.8",".285","-0.2","0.0","0.5","22","-5.7",".290","79"
"Dodgers","217","7.8 %","21.2 %","0.37",".206",".284",".387",".670",".180","4.2",".223","0.1","0.2","0.7","21","-6.1",".287","77"
"Angels","223","11.7 %","22.9 %","0.51",".198",".291",".376",".667",".178","4.4",".219","-0.1","-0.1","0.7","22","-6.5",".286","77"
"Orioles","221","9.0 %","23.1 %","0.39",".208",".286",".376",".662",".168","1.6",".232","0.1","0.0","-0.1","21","-6.7",".285","73"
"Padres","265","12.1 %","26.8 %","0.45",".219",".321",".307",".628",".088","4.9",".297","-0.1","0.0","0.2","24","-9.0",".280","72"
"Cubs","262","7.6 %","28.6 %","0.27",".208",".276",".373",".649",".165","5.7",".260","0.1","-0.1","0.5","23","-10.4",".274","66"
"Mariners","202","8.9 %","35.1 %","0.25",".167",".254",".361",".615",".194","5.6",".210","0.6","0.3","0.0","16","-9.8",".264","65"
"Diamondbacks","259","10.8 %","26.3 %","0.41",".189",".287",".304",".591",".115","3.8",".247","0.6","-0.1","1.3","20","-12.9",".262","58"
"Red Sox","247","7.3 %","23.9 %","0.31",".214",".271",".328",".599",".114","3.5",".267","-0.2","0.1","0.3","18","-13.2",".258","53"
"Giants","254","8.7 %","29.5 %","0.29",".205",".281",".284",".564",".079","4.6",".291","0.1","0.2","0.4","16","-15.6",".249","53"
"Rockies","209","10.0 %","26.8 %","0.38",".184",".269",".297",".567",".114","3.0",".238","0.3","0.0","0.1","13","-13.3",".246","37"
