"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Mets","247","10.9 %","19.4 %","0.56",".304",".384",".500",".884",".196","3.3",".344","-0.4","0.1","0.0","42","11.2",".372","138"
"Astros","254","9.4 %","20.5 %","0.46",".286",".362",".527",".889",".241","6.1",".329","-0.1","-0.3","0.2","43","11.1",".370","136"
"Dodgers","216","9.3 %","18.5 %","0.50",".242",".321",".542",".863",".300","4.1",".218","0.1","0.2","0.3","33","6.2",".353","120"
"White Sox","277","9.7 %","24.5 %","0.40",".277",".354",".488",".841",".211","4.3",".339","0.0","0.1","0.3","42","7.6",".352","123"
"Rangers","274","6.9 %","24.1 %","0.29",".287",".350",".462",".812",".174","2.7",".349","-0.4","-0.2","-0.6","40","5.8",".345","106"
"Athletics","228","11.8 %","19.3 %","0.61",".237",".346",".448",".795",".211","6.8",".266","0.2","-0.2","0.3","32","3.4",".337","114"
"Diamondbacks","234","10.7 %","22.6 %","0.47",".259",".348",".444",".792",".185","4.9",".313","0.7","0.0","0.2","33","3.2",".336","106"
"Marlins","241","10.0 %","20.7 %","0.48",".270",".356",".422",".777",".152","3.0",".329","-0.2","-0.3","-0.2","33","3.0",".334","108"
"Nationals","266","7.5 %","24.1 %","0.31",".267",".328",".457",".785",".189","3.9",".325","-0.4","-0.1","0.5","36","2.8",".332","101"
"Braves","213","14.6 %","29.1 %","0.50",".212",".333",".453",".786",".240","5.7",".252","0.1","0.2","0.7","29","2.2",".332","103"
"Brewers","232","12.1 %","28.4 %","0.42",".236",".338",".437",".775",".201","5.8",".293","0.2","-0.1","1.3","31","2.0",".330","101"
"Cubs","224","11.2 %","25.0 %","0.45",".234",".335",".453",".788",".219","4.6",".279","0.1","-0.2","0.1","30","1.8",".329","102"
"Cardinals","269","9.7 %","16.0 %","0.60",".257",".335",".439",".773",".181","6.9",".287","0.3","0.1","1.1","36","2.1",".329","104"
"Yankees","224","8.9 %","22.3 %","0.40",".238",".313",".470",".783",".233","3.5",".257","0.1","0.2","0.3","30","1.7",".329","105"
"Phillies","277","6.9 %","26.4 %","0.26",".251",".303",".490",".793",".239","6.5",".293","0.0","0.2","1.7","36","1.2",".325","97"
"Royals","224","8.9 %","23.7 %","0.38",".277",".345",".401",".746",".124","4.6",".354","0.0","-0.1","-0.2","28","0.3",".321","97"
"Indians","275","11.3 %","26.9 %","0.42",".252",".336",".420",".756",".168","5.5",".325","-0.4","-0.1","0.6","35","0.0",".320","94"
"Rays","248","6.9 %","19.0 %","0.36",".247",".319",".434",".752",".187","6.9",".278","0.0","0.2","0.4","30","-0.8",".316","101"
"Pirates","226","9.7 %","22.6 %","0.43",".239",".333",".396",".729",".157","5.2",".298","-0.1","0.0","0.1","26","-2.0",".310","92"
"Angels","225","11.1 %","23.6 %","0.47",".221",".308",".412",".720",".191","4.4",".250","0.0","-0.1","0.3","26","-2.7",".306","93"
"Reds","260","9.6 %","27.7 %","0.35",".229",".312",".398",".710",".169","2.5",".287","0.0","-0.1","-0.8","29","-3.4",".305","84"
"Twins","272","11.4 %","25.0 %","0.46",".224",".324",".359",".682",".135","2.3",".284","-0.3","0.2","-0.2","30","-4.7",".300","84"
"Tigers","263","3.8 %","27.8 %","0.14",".260",".295",".382",".677",".122","2.2",".343","-0.3","-0.3","-0.4","26","-7.1",".289","76"
"Red Sox","207","8.7 %","23.7 %","0.37",".209",".282",".401",".683",".193","1.9",".233","-0.1","0.0","-0.5","20","-5.6",".288","72"
"Orioles","256","5.5 %","19.1 %","0.29",".247",".286",".385",".671",".138","2.2",".277","0.1","0.0","0.1","24","-7.7",".285","73"
"Padres","223","12.1 %","22.9 %","0.53",".207",".314",".290",".604",".083","3.0",".261","-0.1","0.0","0.2","19","-8.7",".275","69"
"Rockies","217","7.4 %","27.2 %","0.27",".208",".269",".365",".634",".157","3.2",".261","0.2","0.0","0.3","18","-9.7",".268","51"
"Blue Jays","209","7.2 %","32.1 %","0.22",".175",".244",".339",".583",".164","5.1",".229","-0.2","0.0","0.3","14","-12.8",".249","51"
"Mariners","224","7.6 %","33.9 %","0.22",".176",".246",".302",".548",".127","5.9",".244","0.6","0.3","1.3","13","-15.6",".239","48"
"Giants","255","9.0 %","24.3 %","0.37",".190",".263",".280",".543",".091","2.9",".236","0.2","0.2","0.5","14","-18.1",".238","47"
