"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Rays","211","13.7 %","20.9 %","0.66",".315",".408",".613","1.021",".298","5.6",".352","0.0","0.2","0.3","45","18.3",".420","170"
"Blue Jays","289","9.0 %","20.4 %","0.44",".296",".365",".558",".922",".262","3.6",".326","-0.4","0.1","-0.2","52","15.8",".383","142"
"Rangers","200","6.0 %","19.0 %","0.32",".322",".369",".550",".919",".228","5.5",".365","0.2","0.1","-0.4","35","10.1",".379","130"
"Astros","232","10.3 %","16.8 %","0.62",".289",".362",".544",".906",".255","3.9",".306","-0.1","-0.3","-0.4","40","11.0",".375","139"
"Rockies","224","7.1 %","15.6 %","0.46",".308",".357",".534",".891",".226","4.8",".339","0.1","-0.1","-1.2","38","9.6",".370","115"
"Yankees","221","10.0 %","21.3 %","0.47",".281",".362",".505",".867",".224","3.3",".324","0.5","0.0","-0.2","36","8.7",".365","129"
"Diamondbacks","238","12.6 %","19.7 %","0.64",".256",".357",".478",".835",".222","4.9",".279","0.3","-0.2","0.3","36","6.5",".351","116"
"Nationals","241","12.4 %","17.0 %","0.73",".252",".361",".455",".817",".203","4.7",".270","0.0","-0.1","-0.2","36","5.5",".346","109"
"Padres","229","6.6 %","27.5 %","0.24",".284",".335",".486",".820",".202","3.2",".353","0.1","-0.1","-0.8","33","4.7",".343","113"
"Athletics","192","13.5 %","23.4 %","0.58",".241",".359",".424",".783",".184","3.4",".291","0.2","-0.1","-0.2","27","2.9",".338","114"
"Mets","250","8.0 %","21.2 %","0.38",".276",".343",".453",".796",".178","3.4",".329","-0.5","-0.1","-0.2","35","3.7",".337","111"
"Braves","276","9.1 %","23.2 %","0.39",".252",".322",".488",".810",".236","5.3",".288","0.2","0.4","0.2","38","3.4",".334","103"
"Twins","230","9.6 %","23.9 %","0.40",".246",".322",".483",".804",".236","3.1",".273","-0.2","0.3","-0.3","32","2.7",".334","107"
"Indians","210","6.2 %","21.0 %","0.30",".251",".297",".503",".799",".251","5.0",".264","-0.1","-0.1","0.7","28","1.3",".327","99"
"Dodgers","253","8.3 %","24.5 %","0.34",".236",".303",".476",".779",".240","2.6",".266","0.3","0.3","-0.5","33","1.2",".325","102"
"Giants","226","7.5 %","23.9 %","0.31",".261",".320",".449",".769",".188","2.6",".313","-0.1","0.1","-0.3","29","0.7",".324","102"
"Pirates","227","9.3 %","18.5 %","0.50",".251",".327",".429",".756",".177","5.1",".276","-0.1","0.0","1.0","29","0.6",".323","100"
"Reds","263","8.7 %","19.4 %","0.45",".265",".341",".409",".750",".143","4.1",".308","-0.7","-0.2","0.2","34","0.5",".322","93"
"Cubs","224","9.4 %","21.0 %","0.45",".258",".336",".397",".733",".139","3.9",".313","0.4","-0.1","-0.6","27","-1.0",".315","94"
"Tigers","241","9.5 %","20.7 %","0.46",".247",".325",".400",".725",".153","5.7",".296","0.0","0.1","0.7","29","-1.6",".312","92"
"Red Sox","265","7.5 %","24.2 %","0.31",".239",".298",".428",".726",".189","2.0",".274","-0.3","-0.1","0.1","30","-3.0",".307","86"
"Phillies","246","9.8 %","20.7 %","0.47",".241",".321",".395",".717",".155","3.7",".280","0.4","0.1","0.4","28","-2.9",".306","87"
"Orioles","229","10.5 %","22.3 %","0.47",".232",".319",".345",".664",".113","4.1",".286","0.3","0.1","0.7","23","-5.4",".293","79"
"Cardinals","182","4.4 %","27.5 %","0.16",".253",".293",".371",".663",".118","4.5",".333","0.4","0.1","1.1","17","-5.6",".284","75"
"Marlins","227","6.6 %","23.3 %","0.28",".225",".288",".382",".670",".157","6.4",".270","-0.4","-0.4","0.1","21","-7.6",".281","74"
"Mariners","190","11.1 %","28.4 %","0.39",".192",".289",".347",".637",".156","6.8",".243","0.4","0.2","1.3","17","-6.8",".278","74"
"Angels","214","8.4 %","23.8 %","0.35",".212",".285",".342",".627",".130","1.7",".261","-0.1","-0.1","-0.3","18","-8.7",".273","69"
"Brewers","221","5.0 %","28.1 %","0.18",".231",".271",".341",".613",".111","2.6",".303","0.0","0.1","0.1","17","-10.8",".263","58"
"Royals","215","6.0 %","19.1 %","0.32",".206",".262",".337",".598",".131","2.0",".235","-0.2","-0.1","-0.8","16","-11.5",".258","54"
"White Sox","243","5.8 %","31.3 %","0.18",".205",".253",".313",".566",".107","3.7",".283","0.4","-0.1","-0.1","14","-16.7",".240","48"
