"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Athletics","189","9.0 %","16.4 %","0.55",".325",".392",".645","1.037",".320","6.5",".333","0.2","0.0","0.3","41","16.9",".424","172"
"Giants","302","7.9 %","20.5 %","0.39",".321",".376",".561",".937",".240","3.3",".367","0.0","0.2","-1.3","56","17.8",".388","141"
"Dodgers","270","11.1 %","26.3 %","0.42",".269",".369",".546",".916",".278","5.5",".310","0.1","0.2","0.4","48","13.7",".379","137"
"Angels","234","11.5 %","22.2 %","0.52",".292",".378",".525",".902",".233","7.2",".350","-0.3","-0.2","0.9","41","11.6",".377","140"
"Royals","223","9.4 %","17.5 %","0.54",".321",".389",".500",".889",".179","6.5",".373","-0.3","-0.1","0.0","39","10.7",".375","134"
"Rays","235","6.4 %","20.9 %","0.31",".287",".336",".579",".915",".292","4.8",".301","0.5","0.1","0.7","41","11.1",".375","139"
"Brewers","241","8.7 %","23.2 %","0.38",".293",".363",".521",".883",".228","7.2",".362","0.0","0.0","0.8","40","9.7",".366","125"
"Reds","241","4.1 %","20.3 %","0.20",".294",".347",".537",".884",".243","6.9",".340","-0.4","0.0","0.0","40","9.6",".366","122"
"Diamondbacks","209","9.6 %","22.5 %","0.43",".272",".364",".506",".869",".233","5.5",".312","0.6","0.0","0.3","34","8.1",".365","125"
"Cubs","224","10.3 %","25.9 %","0.40",".284",".357",".523",".880",".239","2.8",".338","0.3","-0.2","0.1","37","8.3",".363","124"
"Astros","301","10.6 %","19.9 %","0.53",".291",".375",".471",".847",".180","4.8",".337","-0.3","-0.2","0.6","48","10.2",".359","128"
"Red Sox","246","11.4 %","21.5 %","0.53",".284",".367",".488",".856",".205","3.2",".338","-0.2","0.1","0.0","39","7.7",".356","119"
"Yankees","182","8.8 %","23.6 %","0.37",".270",".346",".472",".819",".202","2.9",".321","0.0","0.1","-1.0","27","3.9",".345","117"
"Mets","201","8.5 %","21.4 %","0.40",".274",".343",".475",".818",".201","3.9",".315","-0.4","-0.1","-0.3","30","4.2",".344","117"
"Indians","212","6.1 %","20.3 %","0.30",".269",".321",".487",".808",".218","4.7",".299","0.2","-0.1","0.5","30","3.4",".338","107"
"Rockies","262","6.1 %","23.3 %","0.26",".272",".319",".477",".797",".206","5.5",".322","0.1","0.1","0.2","36","3.1",".334","93"
"Padres","200","12.0 %","22.5 %","0.53",".259",".359",".406",".764",".147","2.2",".311","0.0","-0.1","-0.2","27","1.6",".329","105"
"Marlins","184","7.1 %","22.3 %","0.32",".253",".317",".446",".763",".193","7.1",".294","-0.5","-0.3","0.5","23","0.3",".322","100"
"Twins","194","7.7 %","25.8 %","0.30",".243",".316",".434",".750",".191","2.0",".293","-0.1","0.2","-0.3","24","-0.6",".316","94"
"Rangers","230","9.6 %","28.7 %","0.33",".215",".291",".429",".721",".215","4.6",".248","0.1","0.3","0.9","26","-3.3",".303","78"
"Blue Jays","229","5.7 %","20.1 %","0.28",".245",".297",".410",".707",".165","5.4",".277","-0.2","0.0","0.5","25","-4.0",".300","86"
"Tigers","222","5.4 %","27.0 %","0.20",".246",".293",".415",".708",".169","4.7",".317","-0.4","0.1","0.3","24","-4.0",".299","84"
"Nationals","197","9.1 %","19.3 %","0.47",".247",".328",".359",".687",".112","4.7",".295","0.1","-0.1","0.9","21","-3.7",".298","79"
"Braves","232","9.5 %","22.0 %","0.43",".221",".297",".375",".672",".154","4.4",".248","0.0","0.2","1.1","23","-6.0",".290","75"
"Cardinals","210","8.6 %","23.3 %","0.37",".217",".290",".375",".665",".158","2.7",".252","0.2","0.1","-1.2","20","-6.4",".285","77"
"Pirates","213","4.7 %","19.7 %","0.24",".245",".283",".355",".638",".110","1.6",".286","-0.2","0.0","-1.0","18","-9.2",".270","66"
"Phillies","220","8.6 %","25.9 %","0.33",".198",".269",".365",".635",".168","3.5",".237","0.2","0.1","-0.6","18","-10.0",".267","63"
"Orioles","207","4.3 %","24.6 %","0.18",".228",".266",".358",".623",".130","3.5",".273","0.0","0.0","-0.3","16","-9.9",".264","60"
"White Sox","214","6.1 %","23.8 %","0.25",".235",".282",".320",".602",".085","0.8",".297","0.2","0.3","-0.5","16","-10.7",".262","62"
"Mariners","169","4.7 %","26.0 %","0.18",".189",".231",".352",".583",".164","6.0",".232","0.3","0.1","0.1","10","-11.0",".245","52"
