"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Red Sox","284","10.9 %","18.7 %","0.58",".306",".382",".506",".888",".200","4.2",".341","-0.1","0.0","0.4","48","12.4",".370","128"
"Diamondbacks","209","8.6 %","19.6 %","0.44",".254",".316",".508",".824",".254","2.7",".266","0.3","-0.1","-0.1","30","3.4",".339","109"
"Cubs","218","10.6 %","27.5 %","0.38",".249",".336",".481",".817",".232","3.1",".294","0.1","-0.1","-0.6","30","3.1",".336","107"
"Astros","233","7.7 %","19.3 %","0.40",".266",".323",".478",".802",".213","4.7",".287","-0.2","-0.2","0.3","32","2.3",".331","109"
"Braves","271","8.9 %","17.0 %","0.52",".264",".330",".434",".764",".169","3.5",".289","0.2","0.2","-0.6","34","0.2",".321","94"
"Phillies","181","8.3 %","24.3 %","0.34",".256",".333",".406",".740",".150","4.3",".333","0.2","0.1","-0.3","23","-0.3",".318","94"
"Royals","264","9.5 %","22.3 %","0.42",".246",".322",".431",".753",".185","7.2",".298","-0.1","0.1","0.2","33","-0.5",".318","95"
"Angels","185","8.6 %","13.5 %","0.64",".261",".328",".424",".752",".164","5.6",".274","0.0","-0.4","0.5","23","-0.5",".316","98"
"Pirates","207","7.2 %","22.2 %","0.33",".266",".324",".426",".749",".160","4.0",".324","0.0","0.0","0.1","25","-0.8",".315","96"
"Yankees","184","9.2 %","22.3 %","0.41",".252",".333",".393",".726",".141","2.5",".302","0.1","0.0","-0.3","22","-0.7",".315","96"
"Rockies","275","9.8 %","23.3 %","0.42",".231",".311",".434",".745",".202","5.9",".266","0.1","0.1","0.7","34","-1.1",".315","79"
"Dodgers","233","8.2 %","22.3 %","0.37",".262",".323",".414",".738",".152","5.1",".314","0.1","0.2","0.5","28","-1.1",".314","97"
"Padres","270","5.9 %","26.3 %","0.23",".244",".296",".431",".727",".187","4.3",".291","-0.3","-0.3","0.3","31","-3.3",".306","88"
"Reds","279","10.4 %","22.2 %","0.47",".225",".317",".402",".718",".176","4.1",".256","-0.6","-0.3","0.6","32","-3.6",".305","84"
"Rangers","214","11.2 %","24.8 %","0.45",".222",".308",".402",".711",".180","5.3",".258","0.4","0.2","0.3","23","-3.6",".301","78"
"Athletics","245","11.0 %","22.9 %","0.48",".234",".327",".350",".677",".117","4.0",".301","0.3","-0.3","-0.8","26","-5.0",".296","86"
"Twins","245","9.0 %","22.9 %","0.39",".208",".287",".412",".699",".204","5.4",".234","-0.2","0.1","0.3","26","-5.3",".295","81"
"White Sox","262","8.4 %","29.4 %","0.29",".237",".318",".362",".680",".125","3.0",".327","0.1","0.0","-1.0","27","-5.9",".294","84"
"Rays","256","8.6 %","18.8 %","0.46",".231",".305",".376",".680",".144","4.9",".270","0.4","0.0","-0.2","26","-6.4",".291","83"
"Indians","175","7.4 %","24.0 %","0.31",".229",".285",".401",".686",".172","3.4",".264","0.3","0.0","-0.1","17","-4.5",".290","74"
"Nationals","272","7.4 %","25.4 %","0.29",".235",".299",".372",".671",".138","3.8",".284","0.0","0.1","0.3","26","-7.8",".287","72"
"Giants","226","6.6 %","23.5 %","0.28",".250",".298",".365",".663",".115","4.1",".314","-0.1","0.1","0.1","22","-6.9",".284","76"
"Cardinals","263","9.1 %","25.9 %","0.35",".240",".318",".326",".644",".086","4.2",".329","0.1","0.0","0.6","25","-8.3",".284","74"
"Brewers","278","7.9 %","22.3 %","0.35",".227",".288",".359",".647",".133","3.0",".269","0.0","-0.1","0.0","25","-10.1",".278","68"
"Orioles","219","5.9 %","24.7 %","0.24",".234",".286",".363",".649",".129","4.0",".294","0.1","0.0","0.3","19","-8.2",".277","67"
"Mariners","177","8.5 %","30.5 %","0.28",".193",".266",".360",".626",".168","1.9",".248","-0.2","0.2","0.1","14","-7.8",".269","69"
"Tigers","183","8.2 %","30.1 %","0.27",".222",".290",".329",".619",".108","2.9",".306","0.0","0.1","-0.8","15","-8.1",".269","64"
"Blue Jays","240","7.5 %","26.7 %","0.28",".219",".277",".338",".615",".119","2.0",".285","-0.3","-0.2","-0.1","19","-11.6",".264","62"
"Mets","276","7.6 %","27.9 %","0.27",".199",".265",".295",".560",".096","4.3",".273","-0.4","0.0","0.0","16","-18.3",".243","51"
"Marlins","179","7.3 %","22.3 %","0.33",".197",".280",".229",".509",".032","1.7",".259","0.0","-0.2","-0.5","10","-13.0",".236","46"
