"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Rockies","238","7.6 %","18.9 %","0.40",".319",".371",".532",".904",".213","4.7",".370","0.2","0.1","-0.4","41","11.1",".374","117"
"Angels","282","9.6 %","13.8 %","0.69",".278",".358",".484",".842",".206","3.3",".283","-0.2","-0.1","-0.4","43","7.9",".352","124"
"Pirates","263","7.2 %","18.3 %","0.40",".311",".371",".460",".830",".149","5.1",".368","-0.1","0.0","0.6","40","6.6",".349","115"
"Brewers","255","8.6 %","24.7 %","0.35",".264",".333",".511",".844",".247","4.7",".310","0.0","0.0","0.3","38","6.2",".348","114"
"Marlins","244","7.4 %","20.9 %","0.35",".288",".344",".468",".813",".180","3.3",".339","-0.6","-0.5","-0.8","35","4.2",".340","113"
"Braves","189","6.9 %","20.1 %","0.34",".256",".309",".512",".820",".256","7.7",".276","0.0","0.2","0.7","27","2.8",".337","106"
"Red Sox","196","8.7 %","23.0 %","0.38",".282",".342",".463",".805",".181","4.7",".344","-0.2","0.1","-0.3","28","2.9",".337","105"
"Dodgers","262","7.6 %","22.9 %","0.33",".273",".327",".483",".810",".210","4.5",".320","0.0","0.2","-0.4","36","3.2",".334","109"
"Nationals","189","10.1 %","21.2 %","0.48",".253",".332",".464",".795",".211","2.7",".286","0.0","-0.1","-0.3","26","2.2",".334","101"
"Twins","226","5.3 %","23.5 %","0.23",".262",".320",".471",".791",".209","5.2",".315","-0.3","0.2","-0.6","30","2.0",".330","105"
"Blue Jays","189","10.6 %","20.1 %","0.53",".236",".323",".442",".765",".206","4.3",".250","-0.1","0.0","0.7","24","0.7",".324","102"
"Giants","241","12.0 %","16.6 %","0.73",".257",".349",".413",".761",".155","3.5",".291","0.0","0.3","-0.8","31","0.8",".324","102"
"Padres","223","10.8 %","26.9 %","0.40",".224",".312",".454",".766",".230","3.9",".252","-0.3","-0.2","0.5","28","0.4",".322","98"
"Rays","235","8.9 %","19.6 %","0.46",".260",".342",".404",".746",".144","4.7",".308","0.2","0.4","-0.2","30","0.3",".322","103"
"Yankees","187","9.1 %","27.3 %","0.33",".263",".332",".419",".751",".156","2.1",".333","-0.4","0.0","-1.0","24","0.1",".321","99"
"Tigers","192","5.2 %","28.1 %","0.19",".264",".302",".473",".775",".209","6.8",".333","-0.1","0.1","0.3","24","-0.2",".319","97"
"Orioles","195","7.7 %","21.5 %","0.36",".239",".308",".443",".751",".205","4.2",".250","0.0","-0.2","0.2","24","-0.5",".317","96"
"Indians","213","7.0 %","16.4 %","0.43",".234",".295",".453",".748",".219","3.2",".231","0.2","0.1","0.3","25","-1.5",".312","89"
"White Sox","219","6.4 %","25.1 %","0.25",".268",".317",".419",".736",".152","3.1",".329","0.5","0.2","-1.7","26","-1.7",".311","95"
"Mariners","254","11.4 %","27.2 %","0.42",".206",".303",".422",".725",".215","4.3",".229","0.4","0.2","0.6","30","-2.4",".309","95"
"Rangers","237","8.0 %","23.6 %","0.34",".264",".329",".382",".711",".118","4.8",".331","0.1","0.2","0.9","27","-2.6",".307","81"
"Cubs","216","9.3 %","23.6 %","0.39",".236",".310",".403",".713",".168","3.5",".279","0.2","-0.1","-1.0","24","-3.3",".302","84"
"Athletics","199","7.0 %","25.1 %","0.28",".242",".298",".412",".710",".170","2.5",".294","0.2","-0.2","-0.6","22","-3.2",".301","89"
"Astros","235","8.5 %","10.2 %","0.83",".242",".306",".403",".709",".161","5.4",".240","0.2","0.2","-0.1","26","-4.1",".300","89"
"Cardinals","173","7.5 %","25.4 %","0.30",".236",".295",".414",".709",".178","3.6",".271","0.0","0.1","0.5","19","-3.0",".300","86"
"Reds","151","6.0 %","21.2 %","0.28",".259",".307",".381",".688",".122","3.8",".314","-0.2","0.0","0.3","15","-3.6",".292","83"
"Mets","226","5.3 %","24.3 %","0.22",".239",".289",".388",".676",".148","1.0",".286","-0.3","-0.1","-0.1","22","-6.1",".288","82"
"Diamondbacks","267","6.0 %","24.0 %","0.25",".228",".279",".407",".686",".179","6.0",".270","0.5","0.0","0.5","25","-8.5",".283","70"
"Phillies","255","6.3 %","21.6 %","0.29",".222",".281",".397",".678",".175","3.6",".257","0.3","0.2","-1.0","24","-8.5",".281","71"
"Royals","211","3.8 %","32.7 %","0.12",".223",".256",".356",".612",".134","5.8",".313","0.0","0.0","0.7","16","-11.0",".260","56"
