"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Red Sox","283","5.3 %","21.6 %","0.25",".337",".371",".633","1.004",".295","4.9",".387","-0.2","0.0","-0.4","57","21.7",".409","153"
"Yankees","295","8.8 %","22.4 %","0.39",".326",".383",".577",".960",".251","4.2",".393","0.1","0.0","-0.4","57","19.4",".396","151"
"Twins","286","9.1 %","20.3 %","0.45",".278",".347",".595",".943",".317","2.3",".269","-0.2","0.3","-0.1","52","15.8",".384","142"
"Nationals","273","11.4 %","19.8 %","0.57",".281",".373",".485",".858",".204","6.7",".329","0.1","-0.2","1.2","44","10.0",".362","122"
"Reds","225","6.7 %","22.2 %","0.30",".296",".354",".488",".842",".192","4.3",".352","-0.6","0.0","-0.4","35","6.8",".355","117"
"Astros","242","9.5 %","21.9 %","0.43",".265",".350",".493",".843",".227","4.0",".304","-0.2","-0.3","0.1","38","7.3",".355","126"
"Indians","307","9.1 %","16.6 %","0.55",".283",".352",".476",".828",".193","4.9",".311","0.3","0.1","-0.3","45","6.3",".344","110"
"Cardinals","277","8.3 %","22.4 %","0.37",".251",".319",".514",".833",".263","3.8",".267","0.5","0.0","0.5","40","5.5",".343","114"
"Mariners","265","8.7 %","29.1 %","0.30",".274",".348",".464",".813",".190","5.2",".375","1.1","0.2","-0.4","38","5.1",".342","117"
"Braves","202","9.4 %","26.2 %","0.36",".271",".353",".441",".794",".169","4.1",".347","0.1","0.2","0.0","29","3.5",".340","107"
"Phillies","217","6.5 %","26.7 %","0.24",".274",".324",".483",".807",".209","4.2",".338","0.4","0.1","0.1","30","2.8",".335","104"
"Rays","247","11.3 %","25.9 %","0.44",".266",".348",".436",".784",".170","4.4",".345","0.1","0.2","0.3","34","2.9",".334","111"
"Rangers","269","5.9 %","20.8 %","0.29",".269",".316",".458",".774",".189","5.0",".308","0.2","0.4","-0.6","35","0.7",".323","92"
"Orioles","301","7.0 %","25.9 %","0.27",".266",".323",".438",".761",".172","4.8",".324","0.1","0.2","1.0","39","0.7",".323","98"
"Rockies","270","10.0 %","24.1 %","0.42",".256",".330",".416",".746",".160","3.1",".321","0.1","-0.1","-0.6","34","-0.3",".318","80"
"Angels","255","9.4 %","19.6 %","0.48",".225",".302",".454",".756",".229","5.1",".234","-0.2","-0.2","0.7","31","-1.1",".315","98"
"Mets","214","9.8 %","19.6 %","0.50",".226",".318",".435",".753",".210","3.6",".235","-0.4","-0.2","-0.3","26","-1.0",".314","98"
"Blue Jays","231","9.1 %","26.0 %","0.35",".221",".299",".423",".722",".202","2.0",".255","-0.2","0.1","-0.3","26","-2.7",".307","90"
"Brewers","229","12.7 %","22.3 %","0.57",".220",".336",".366",".703",".147","3.9",".261","0.1","0.1","0.5","26","-2.6",".307","84"
"Diamondbacks","223","12.1 %","20.2 %","0.60",".232",".332",".356",".688",".124","6.2",".283","0.4","-0.1","0.4","24","-3.6",".301","83"
"Giants","246","8.5 %","23.2 %","0.37",".245",".316",".373",".688",".127","2.3",".317","0.0","-0.3","0.1","26","-5.0",".296","83"
"Pirates","268","7.5 %","20.1 %","0.37",".237",".301",".378",".678",".141","2.4",".279","-0.2","0.0","-0.4","27","-6.6",".291","77"
"Padres","225","10.7 %","24.9 %","0.43",".237",".321",".340",".662",".103","2.4",".304","0.0","-0.2","-1.3","22","-6.1",".289","78"
"Dodgers","188","11.7 %","22.9 %","0.51",".206",".305",".325",".630",".119","1.8",".250","0.1","0.2","-0.1","17","-7.1",".276","71"
"Royals","243","8.2 %","22.6 %","0.36",".229",".305",".312",".616",".083","1.4",".288","-0.3","-0.1","-0.1","21","-9.7",".274","66"
"Cubs","233","5.6 %","29.2 %","0.19",".199",".258",".380",".637",".181","4.4",".234","0.4","-0.1","0.3","19","-10.3",".269","63"
"Marlins","199","2.5 %","23.6 %","0.11",".214",".239",".380",".618",".166","1.2",".237","-0.5","-0.3","-0.1","14","-10.8",".257","58"
"White Sox","243","3.7 %","26.7 %","0.14",".215",".249",".342",".591",".127","3.6",".266","0.3","0.1","0.5","16","-14.4",".251","55"
"Athletics","252","9.1 %","25.8 %","0.35",".178",".258",".293",".551",".116","2.2",".218","0.3","-0.1","-0.3","15","-17.1",".241","50"
"Tigers","231","5.2 %","28.6 %","0.18",".181",".234",".278",".512",".097","2.8",".240","-0.2","0.2","-0.1","10","-19.6",".222","32"
