"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Angels","280","8.9 %","14.3 %","0.63",".269",".350",".486",".836",".216","4.5",".276","-0.1","0.0","0.3","42","7.0",".349","122"
"Brewers","227","9.7 %","20.7 %","0.47",".282",".351",".470",".821",".188","3.8",".327","0.1","0.0","0.7","34","5.4",".348","112"
"Twins","226","6.6 %","23.5 %","0.28",".249",".314",".512",".826",".263","4.1",".271","-0.4","0.1","-0.6","33","4.1",".341","112"
"Mets","219","7.3 %","20.5 %","0.36",".264",".330",".477",".807",".213","2.2",".284","-0.3","-0.1","0.1","31","3.8",".340","114"
"Rays","277","7.9 %","23.5 %","0.34",".275",".349",".429",".778",".154","3.3",".341","0.2","0.3","-1.7","38","3.2",".333","111"
"Tigers","231","6.9 %","23.8 %","0.29",".283",".338",".448",".786",".165","6.1",".351","-0.1","0.1","1.1","31","2.3",".332","106"
"Braves","233","9.4 %","20.6 %","0.46",".245",".325",".461",".785",".216","5.2",".275","0.0","0.2","0.5","31","2.1",".330","101"
"Indians","206","6.3 %","20.4 %","0.31",".245",".288",".532",".820",".287","4.6",".235","0.2","0.0","-0.1","28","1.9",".330","102"
"Mariners","295","13.2 %","24.4 %","0.54",".222",".336",".433",".768",".210","4.3",".248","0.5","0.2","1.0","40","2.6",".330","109"
"Pirates","221","4.5 %","20.8 %","0.22",".276",".313",".483",".796",".207","5.2",".322","-0.1","0.0","0.5","30","1.8",".329","102"
"Rangers","277","7.9 %","21.7 %","0.37",".278",".344",".400",".744",".122","6.0",".342","0.2","0.2","0.1","35","0.1",".320","90"
"Cubs","248","10.9 %","22.6 %","0.48",".247",".332",".419",".751",".172","4.7",".297","0.3","-0.1","-0.4","31","-0.5",".318","93"
"Marlins","236","6.4 %","25.4 %","0.25",".260",".318",".437",".755",".177","3.8",".331","-0.5","-0.5","-0.1","29","-0.5",".317","98"
"Nationals","223","9.0 %","20.6 %","0.43",".245",".320",".423",".743",".179","3.4",".290","0.0","-0.1","-0.5","27","-1.0",".315","89"
"Athletics","281","7.1 %","25.3 %","0.28",".254",".310",".438",".747",".184","2.7",".305","0.2","-0.3","-0.6","34","-1.3",".315","99"
"Red Sox","266","9.0 %","20.7 %","0.44",".249",".317",".418",".735",".169","6.0",".296","-0.3","0.1","0.0","31","-2.6",".309","86"
"Padres","259","10.8 %","25.1 %","0.43",".229",".315",".410",".725",".181","4.7",".270","-0.2","-0.2","0.5","30","-2.8",".307","89"
"Dodgers","238","8.4 %","25.2 %","0.33",".249",".314",".423",".736",".174","4.7",".315","0.0","0.2","0.3","27","-3.3",".304","89"
"Phillies","213","6.6 %","21.1 %","0.31",".230",".288",".429",".716",".199","4.2",".259","0.2","0.1","-1.0","22","-4.4",".296","80"
"Yankees","225","9.3 %","21.3 %","0.44",".219",".289",".398",".687",".179","1.9",".238","-0.4","0.1","-0.5","23","-5.6",".291","81"
"Astros","299","9.7 %","11.4 %","0.85",".227",".302",".381",".683",".154","5.8",".227","0.2","0.2","0.8","30","-8.1",".289","80"
"Rockies","223","5.8 %","26.5 %","0.22",".241",".294",".384",".678",".143","5.4",".312","0.3","0.0","0.3","22","-6.3",".287","59"
"Giants","226","8.4 %","21.7 %","0.39",".234",".301",".371",".672",".137","2.9",".278","0.1","0.3","-0.1","22","-6.6",".286","78"
"Orioles","238","5.0 %","29.0 %","0.17",".219",".274",".397",".672",".178","3.9",".264","-0.1","-0.2","0.5","23","-7.2",".285","73"
"White Sox","177","5.6 %","26.0 %","0.22",".235",".282",".386",".668",".151","1.8",".289","0.3","0.1","-1.0","17","-5.4",".285","77"
"Blue Jays","214","7.9 %","18.2 %","0.44",".215",".285",".369",".654",".154","4.0",".230","-0.2","0.0","0.3","20","-7.0",".282","73"
"Diamondbacks","219","7.3 %","19.2 %","0.38",".204",".265",".373",".638",".169","4.5",".217","0.4","0.0","-0.4","18","-9.9",".267","61"
"Royals","211","3.8 %","31.3 %","0.12",".233",".262",".356",".618",".124","4.7",".321","0.0","0.0","0.7","16","-10.4",".263","58"
"Cardinals","164","6.1 %","32.9 %","0.19",".184",".233",".296",".529",".112","4.4",".245","0.1","0.1","1.1","7","-13.3",".226","39"
"Reds","178","6.7 %","24.2 %","0.28",".183",".242",".287",".528",".104","3.4",".233","-0.4","-0.1","0.5","7","-15.0",".223","29"
