"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Astros","187","9.6 %","13.9 %","0.69",".256",".342",".543",".885",".287","3.1",".230","-0.1","-0.2","0.1","31","7.5",".366","134"
"White Sox","201","3.5 %","29.9 %","0.12",".325",".348",".495",".843",".170","3.7",".450","0.1","0.1","-0.3","31","5.6",".352","123"
"Dodgers","202","8.4 %","23.3 %","0.36",".277",".350",".492",".842",".215","6.3",".325","0.1","0.3","0.7","31","5.5",".351","119"
"Rockies","218","8.7 %","26.6 %","0.33",".249",".324",".503",".827",".254","4.3",".273","0.3","0.0","1.5","32","4.7",".345","100"
"Orioles","317","7.3 %","18.9 %","0.38",".261",".330",".488",".818",".226","4.6",".281","0.4","0.0","-0.2","46","6.2",".342","112"
"Blue Jays","298","8.1 %","26.2 %","0.31",".250",".329",".466",".795",".216","4.0",".299","-0.3","0.0","0.0","41","3.6",".334","108"
"Royals","250","9.2 %","27.6 %","0.33",".285",".364",".411",".776",".126","5.2",".397","0.0","-0.1","1.1","34","2.6",".332","104"
"Twins","228","12.3 %","16.7 %","0.74",".242",".338",".449",".787",".207","4.0",".261","-0.2","0.3","-0.5","31","2.2",".331","107"
"Nationals","274","12.8 %","19.0 %","0.67",".266",".360",".408",".768",".142","3.2",".307","-0.3","-0.1","0.2","37","2.4",".330","100"
"Brewers","223","12.6 %","29.1 %","0.43",".235",".341",".422",".763",".187","5.3",".310","-0.1","0.1","0.0","30","1.5",".328","102"
"Indians","229","9.2 %","21.8 %","0.42",".267",".338",".441",".778",".173","5.0",".317","0.0","-0.2","0.4","30","1.3",".326","99"
"Athletics","200","11.5 %","26.5 %","0.43",".257",".345",".417",".762",".160","3.0",".339","0.4","-0.2","0.1","26","1.1",".326","106"
"Rangers","184","6.5 %","23.4 %","0.28",".257",".310",".473",".783",".216","4.2",".282","-0.1","-0.2","-0.1","24","0.9",".325","93"
"Marlins","239","6.3 %","19.7 %","0.32",".263",".321",".461",".782",".198","6.8",".305","-0.1","-0.2","0.6","31","1.1",".325","103"
"Mets","246","10.2 %","20.3 %","0.50",".233",".327",".437",".764",".205","3.4",".253","-0.4","0.0","0.3","31","0.1",".320","101"
"Cardinals","308","9.1 %","30.5 %","0.30",".236",".316",".443",".759",".207","4.6",".305","0.3","0.1","-0.9","39","0.1",".320","99"
"Rays","249","8.4 %","30.1 %","0.28",".251",".321",".430",".752",".179","2.6",".329","0.1","0.3","-2.5","31","-0.1",".319","102"
"Red Sox","291","8.6 %","24.1 %","0.36",".248",".316",".405",".721",".156","3.9",".303","-0.2","0.2","-0.2","33","-3.3",".307","85"
"Yankees","221","6.3 %","28.1 %","0.23",".221",".276",".451",".727",".230","3.6",".252","0.1","0.1","-0.1","24","-3.6",".301","85"
"Braves","216","10.2 %","22.7 %","0.45",".220",".302",".393",".695",".173","2.6",".252","0.0","0.3","-0.1","23","-4.1",".298","80"
"Angels","228","7.5 %","27.2 %","0.27",".255",".316",".370",".686",".115","5.5",".343","0.0","-0.5","0.5","24","-4.6",".297","85"
"Diamondbacks","272","9.6 %","25.7 %","0.37",".233",".309",".383",".692",".150","5.5",".301","1.1","0.0","-0.2","28","-6.4",".293","76"
"Cubs","227","8.4 %","21.1 %","0.40",".229",".295",".385",".681",".156","0.9",".268","0.1","-0.1","-0.1","23","-5.7",".291","78"
"Reds","189","8.5 %","24.9 %","0.34",".237",".303",".337",".640",".101","3.2",".300","-0.3","0.0","0.5","17","-6.6",".280","67"
"Tigers","211","3.3 %","24.2 %","0.14",".244",".267",".368",".635",".124","3.7",".304","-0.3","-0.1","0.1","17","-9.6",".267","62"
"Phillies","284","5.3 %","24.6 %","0.21",".202",".249",".374",".623",".172","4.6",".238","0.3","0.0","0.5","21","-14.5",".261","57"
"Mariners","238","6.7 %","25.2 %","0.27",".209",".266",".327",".593",".118","3.0",".265","0.7","0.4","-0.8","17","-12.9",".257","60"
"Padres","219","9.1 %","33.3 %","0.27",".185",".271",".303",".573",".118","2.3",".265","0.2","-0.1","-0.5","15","-12.5",".254","56"
"Giants","252","6.7 %","26.2 %","0.26",".221",".271",".312",".583",".091","3.8",".287","0.3","0.3","0.0","16","-15.4",".249","53"
"Pirates","219","4.6 %","21.0 %","0.22",".206",".242",".287",".529",".081","4.6",".255","0.1","0.0","0.1","10","-17.2",".229","38"
