"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Dodgers","297","10.4 %","12.5 %","0.84",".341",".415",".588","1.003",".247","5.1",".360","0.1","0.2","0.4","61","24.0",".413","159"
"Rockies","284","10.9 %","20.8 %","0.53",".324",".399",".563",".961",".239","5.1",".382","0.3","0.0","-0.2","55","19.2",".398","138"
"Reds","284","8.1 %","20.4 %","0.40",".328",".387",".564",".951",".236","3.0",".372","-0.5","-0.1","-1.0","54","17.8",".392","139"
"Nationals","249","10.8 %","14.9 %","0.73",".316",".403",".533",".936",".217","6.1",".347","0.1","-0.1","0.2","46","15.1",".390","140"
"Diamondbacks","305","5.9 %","18.4 %","0.32",".324",".371",".535",".905",".211","5.9",".362","0.5","-0.1","0.2","53","14.5",".375","130"
"Brewers","225","6.7 %","24.9 %","0.27",".274",".320",".587",".907",".313","5.5",".302","0.0","0.0","0.1","37","8.5",".364","124"
"Athletics","225","6.7 %","19.6 %","0.34",".268",".324",".556",".881",".288","5.0",".270","0.4","-0.2","0.7","36","8.0",".361","130"
"Cubs","230","9.1 %","30.4 %","0.30",".254",".328",".541",".869",".288","1.5",".288","0.2","-0.1","-0.3","36","7.4",".357","121"
"Rays","287","9.4 %","24.4 %","0.39",".299",".371",".480",".851",".181","4.6",".382","-0.1","0.2","0.8","45","9.2",".357","128"
"Mets","279","6.5 %","20.8 %","0.31",".266",".321",".539",".860",".273","4.0",".282","-0.3","-0.2","-0.6","44","8.5",".355","124"
"Angels","294","11.9 %","18.7 %","0.64",".294",".386",".440",".826",".147","2.3",".346","-0.2","0.0","-0.9","45","8.4",".353","124"
"Padres","237","8.4 %","26.2 %","0.32",".269",".346",".486",".832",".217","3.5",".326","-0.3","-0.2","0.0","36","6.5",".351","119"
"Red Sox","237","6.3 %","25.7 %","0.25",".271",".325",".505",".829",".234","6.0",".327","-0.2","0.0","0.9","35","4.9",".344","110"
"Twins","225","8.4 %","23.1 %","0.37",".272",".339",".470",".810",".198","5.3",".329","-0.3","0.2","0.3","32","4.2",".341","112"
"Yankees","237","9.3 %","21.9 %","0.42",".267",".342",".457",".799",".190","6.3",".307","-0.5","0.0","0.7","34","3.7",".338","111"
"Marlins","269","7.4 %","17.1 %","0.43",".296",".356",".442",".797",".146","3.1",".337","-0.7","-0.5","-0.4","38","3.7",".336","108"
"Indians","281","12.1 %","20.3 %","0.60",".252",".360",".420",".780",".168","6.1",".305","0.3","0.2","0.2","39","3.4",".334","104"
"Phillies","223","9.0 %","27.4 %","0.33",".255",".321",".490",".811",".235","3.7",".310","0.2","0.2","0.1","31","2.6",".334","105"
"Orioles","229","6.1 %","22.3 %","0.27",".272",".324",".461",".786",".189","4.5",".322","0.0","-0.2","-0.6","31","2.0",".330","104"
"Mariners","270","11.1 %","24.1 %","0.46",".255",".341",".423",".763",".167","5.4",".319","0.3","0.3","1.6","36","1.9",".328","108"
"Pirates","312","4.5 %","20.2 %","0.22",".287",".330",".443",".773",".156","2.4",".342","-0.2","0.0","-0.2","41","2.1",".328","101"
"White Sox","252","4.8 %","25.8 %","0.18",".277",".323",".390",".712",".113","2.4",".360","0.5","0.2","-1.2","28","-3.5",".304","90"
"Blue Jays","222","7.2 %","27.0 %","0.27",".225",".284",".431",".715",".206","2.0",".261","-0.1","0.0","-0.3","24","-3.8",".300","85"
"Royals","259","4.2 %","25.1 %","0.17",".260",".293",".411",".704",".150","4.8",".318","-0.1","0.1","0.2","28","-5.0",".297","82"
"Astros","220","9.1 %","18.2 %","0.50",".238",".318",".368",".686",".130","4.7",".281","-0.1","0.1","0.3","23","-4.3",".297","87"
"Tigers","246","7.3 %","26.0 %","0.28",".250",".302",".406",".708",".156","4.8",".314","-0.4","0.2","1.5","26","-4.9",".297","84"
"Rangers","273","8.1 %","28.9 %","0.28",".220",".293",".382",".675",".163","5.5",".288","0.1","0.3","0.4","27","-7.8",".287","68"
"Braves","189","7.4 %","29.1 %","0.25",".244",".307",".372",".679",".128","2.8",".327","0.0","0.2","0.1","18","-5.4",".287","73"
"Giants","224","9.8 %","20.5 %","0.48",".217",".304",".333",".637",".116","1.7",".267","-0.1","0.2","-0.3","20","-8.0",".279","73"
"Cardinals","221","5.9 %","24.4 %","0.24",".205",".269",".360",".629",".155","5.0",".232","0.0","0.1","0.5","18","-9.5",".270","67"
