"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Nationals","319","11.3 %","16.0 %","0.71",".318",".402",".635","1.037",".318","5.2",".330","-0.4","-0.1","0.4","68","28.3",".423","161"
"Red Sox","187","9.1 %","20.9 %","0.44",".299",".362",".585",".948",".287","5.5",".347","0.0","-0.1","-0.3","34","10.5",".385","138"
"Dodgers","234","13.2 %","22.6 %","0.58",".267",".368",".550",".917",".282","4.2",".296","0.1","0.2","0.3","41","11.6",".377","137"
"Brewers","265","10.6 %","21.9 %","0.48",".290",".370",".515",".885",".225","3.4",".335","0.0","0.1","0.4","44","11.1",".368","126"
"Rockies","270","8.9 %","17.8 %","0.50",".298",".361",".508",".869",".210","3.6",".319","0.0","0.0","-0.2","44","9.6",".361","109"
"Mariners","228","10.5 %","18.9 %","0.56",".251",".338",".508",".845",".256","6.0",".260","0.6","0.3","-0.6","35","5.9",".350","123"
"Twins","242","5.8 %","19.0 %","0.30",".299",".343",".496",".839",".196","4.1",".343","-0.2","0.3","-0.4","37","6.1",".349","117"
"Cardinals","261","10.7 %","23.0 %","0.47",".274",".358",".461",".819",".187","4.5",".327","0.4","0.1","0.0","39","6.6",".349","118"
"Giants","242","5.8 %","24.0 %","0.24",".281",".324",".509",".833",".228","3.5",".323","-0.6","0.1","-0.1","36","5.3",".345","115"
"Diamondbacks","229","8.3 %","18.8 %","0.44",".250",".310",".534",".844",".284","6.1",".243","0.2","-0.1","0.1","34","4.8",".344","111"
"Angels","292","11.0 %","23.3 %","0.47",".258",".344",".461",".805",".203","5.2",".309","0.1","0.3","0.0","41","4.7",".338","114"
"Yankees","221","5.4 %","27.1 %","0.20",".275",".317",".478",".795",".203","2.1",".341","0.2","-0.1","0.1","30","2.4",".332","107"
"Mets","227","7.0 %","17.6 %","0.40",".283",".347",".424",".771",".141","4.9",".335","-0.5","0.0","-0.2","30","1.2",".326","106"
"Cubs","216","11.1 %","23.1 %","0.48",".229",".324",".431",".755",".202","4.1",".256","0.3","-0.1","-0.1","27","0.1",".320","97"
"Athletics","222","6.8 %","24.3 %","0.28",".256",".312",".443",".756",".187","4.1",".310","0.1","-0.4","0.1","28","-0.3",".319","100"
"Astros","280","11.1 %","18.9 %","0.58",".246",".332",".406",".738",".160","2.1",".280","-0.1","-0.2","0.1","34","-1.3",".314","99"
"White Sox","254","4.3 %","21.7 %","0.20",".256",".296",".440",".736",".184","5.3",".301","0.2","0.0","0.1","29","-2.6",".308","92"
"Orioles","257","10.1 %","18.3 %","0.55",".225",".324",".378",".703",".153","2.3",".250","0.2","0.1","-0.6","29","-3.0",".307","88"
"Braves","208","8.7 %","22.6 %","0.38",".208",".293",".415",".708",".208","4.2",".234","0.2","0.3","-0.6","23","-3.4",".301","81"
"Reds","219","7.3 %","26.9 %","0.27",".249",".312",".381",".693",".132","4.0",".316","-0.2","-0.1","0.7","23","-4.1",".298","81"
"Rangers","321","8.4 %","24.6 %","0.34",".247",".316",".375",".690",".127","4.1",".314","0.3","-0.1","0.8","34","-6.1",".298","75"
"Phillies","185","8.6 %","25.4 %","0.34",".210",".286",".377",".664",".168","4.0",".261","0.0","0.2","-0.3","18","-5.6",".285","73"
"Blue Jays","203","5.4 %","26.1 %","0.21",".208",".251",".427",".678",".219","0.8",".227","-0.3","0.0","-0.5","19","-6.6",".282","73"
"Rays","269","10.4 %","19.7 %","0.53",".207",".294",".346",".640",".139","3.3",".235","0.0","0.4","0.2","23","-11.0",".273","71"
"Indians","217","7.4 %","22.1 %","0.33",".207",".266",".374",".640",".167","3.8",".238","-0.3","-0.1","-0.1","18","-8.9",".273","63"
"Padres","213","6.1 %","25.4 %","0.24",".218",".267",".340",".607",".122","3.0",".275","-0.1","-0.2","-0.8","16","-10.8",".261","59"
"Marlins","218","5.5 %","26.6 %","0.21",".224",".266",".332",".598",".107","2.1",".297","-0.5","-0.2","-0.5","16","-11.9",".257","59"
"Tigers","259","3.9 %","38.2 %","0.10",".203",".236",".354",".589",".150","1.1",".298","-0.2","-0.2","-0.5","16","-16.1",".248","49"
"Royals","209","6.2 %","22.5 %","0.28",".193",".242",".271",".512",".078","2.8",".236","-0.1","-0.1","0.1","9","-17.3",".224","34"
"Pirates","241","7.9 %","16.6 %","0.48",".178",".249",".247",".496",".068","3.3",".203","-0.1","0.0","0.9","9","-21.0",".219","32"
